TABLE=019 | AREA=Phường Long Khánh
--- SEQUENCE=12 | SECTION=agricultural | PAGES=6009-6009 | LINES=39 ---
P=6009 | X=0090.100-0113.000 | Y=0072.010-0085.970 | 100
P=6009 | X=0090.100-0105.360 | Y=0100.010-0113.970 | 18
P=6009 | X=0090.100-0165.420 | Y=0114.010-0127.970 | Xã Phước An
P=6009 | X=0090.100-0113.000 | Y=0128.010-0141.970 | 100
P=6009 | X=0090.100-0113.000 | Y=0142.010-0155.970 | 100
P=6009 | X=0090.100-0113.000 | Y=0156.010-0169.970 | 100
P=6009 | X=0090.100-0113.000 | Y=0170.010-0183.970 | 100
P=6009 | X=0090.100-0105.360 | Y=0198.010-0211.970 | 19
P=6009 | X=0090.100-0209.880 | Y=0212.010-0225.970 | Phường Long Khánh
P=6009 | X=0090.100-0113.000 | Y=0226.010-0239.970 | 100
P=6009 | X=0090.100-0113.000 | Y=0240.010-0253.970 | 100
P=6009 | X=0090.100-0105.360 | Y=0254.010-0267.970 | 90
P=6009 | X=0090.100-0105.360 | Y=0268.010-0281.970 | 90
P=6009 | X=0090.100-0105.360 | Y=0296.010-0309.970 | 20
P=6009 | X=0090.100-0192.300 | Y=0310.010-0323.970 | Phường Bảo Vinh
P=6009 | X=0090.100-0113.000 | Y=0324.010-0337.970 | 100
P=6009 | X=0090.100-0113.000 | Y=0338.010-0351.970 | 100
P=6009 | X=0090.100-0105.360 | Y=0352.010-0365.970 | 90
P=6009 | X=0090.100-0105.360 | Y=0366.010-0379.970 | 90
P=6009 | X=0090.100-0105.360 | Y=0394.010-0407.970 | 21
P=6009 | X=0090.100-0195.070 | Y=0408.010-0421.970 | Phường Xuân Lập
P=6009 | X=0090.100-0113.000 | Y=0422.010-0435.970 | 170
P=6009 | X=0090.100-0113.000 | Y=0436.010-0449.970 | 170
P=6009 | X=0090.100-0113.000 | Y=0450.010-0463.970 | 150
P=6009 | X=0090.100-0113.000 | Y=0464.010-0477.970 | 150
P=6009 | X=0090.100-0105.360 | Y=0492.010-0505.970 | 22
P=6009 | X=0090.100-0198.450 | Y=0506.010-0519.970 | Phường Hàng Gòn
P=6009 | X=0090.100-0113.000 | Y=0520.010-0533.970 | 120
P=6009 | X=0090.100-0113.000 | Y=0534.010-0547.970 | 120
P=6009 | X=0090.100-0113.000 | Y=0548.010-0561.970 | 100
P=6009 | X=0090.100-0113.000 | Y=0562.010-0575.970 | 100
P=6009 | X=0090.100-0105.360 | Y=0590.010-0603.970 | 23
P=6009 | X=0090.100-0190.020 | Y=0604.010-0617.970 | Phường Bình Lộc
P=6009 | X=0090.100-0113.000 | Y=0618.010-0631.970 | 110
P=6009 | X=0090.100-0113.000 | Y=0632.010-0645.970 | 110
P=6009 | X=0090.100-0113.000 | Y=0646.010-0659.970 | 100
P=6009 | X=0090.100-0113.000 | Y=0660.010-0673.970 | 100
P=6009 | X=0090.100-0105.360 | Y=0688.010-0701.970 | 24
P=6009 | X=0090.100-0164.630 | Y=0702.010-0715.970 | Xã Xuân Lộc
