TABLE=020 | AREA=Phường Bảo Vinh
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5763-5764 | LINES=45 ---
P=5763 | X=0090.100-0192.300 | Y=0086.010-0099.970 | Phường Bảo Vinh
P=5763 | X=0090.100-0097.730 | Y=0128.010-0141.970 | 1
P=5763 | X=0090.100-0286.620 | Y=0142.010-0155.970 | Khu tái định cư phường Bảo Vinh
P=5763 | X=0090.100-0380.620 | Y=0198.010-0211.970 | Đường Trần Nhân Tông (Bảo Vinh B - Suối Chồn)
P=5763 | X=0090.100-0124.430 | Y=0212.010-0225.970 | 2.600
P=5763 | X=0090.100-0248.670 | Y=0254.010-0267.970 | Đường Nguyễn Trung Trực
P=5763 | X=0090.100-0124.430 | Y=0268.010-0281.970 | 3.700
P=5763 | X=0090.100-0197.070 | Y=0310.010-0323.970 | Các đường còn lại
P=5763 | X=0090.100-0124.430 | Y=0324.010-0337.970 | 2.100
P=5763 | X=0090.100-0198.450 | Y=0366.010-0379.970 | Phường Hàng Gòn
P=5763 | X=0090.100-0097.730 | Y=0408.010-0421.970 | 1
P=5763 | X=0090.100-0317.350 | Y=0422.010-0435.970 | Khu tái định cư phường Xuân Tân (cũ)
P=5763 | X=0090.100-0420.980 | Y=0478.010-0491.970 | Các đường trong Khu tái định cư phường Xuân Tân (cũ)
P=5763 | X=0090.100-0124.430 | Y=0492.010-0505.970 | 1.200
P=5763 | X=0090.100-0164.630 | Y=0534.010-0547.970 | Xã Xuân Lộc
P=5763 | X=0090.100-0097.730 | Y=0576.010-0589.970 | 1
P=5763 | X=0090.100-0515.040 | Y=0590.010-0603.970 | Khu tái định cư thị trấn Gia Ray (cũ) (phục vụ dự án cao tốc Phan Thiết
P=5763 | X=0090.100-0157.940 | Y=0604.010-0617.970 | - Dầu Giây)
P=5763 | X=0090.100-0493.300 | Y=0660.010-0673.970 | Đường Nguyễn Văn Linh (Đường số 21 đoạn qua Khu tái định cư thị
P=5763 | X=0090.100-0197.030 | Y=0674.010-0687.970 | trấn Gia Ray (cũ))
P=5763 | X=0090.100-0124.430 | Y=0688.010-0701.970 | 2.800
P=5764 | X=0090.100-0197.070 | Y=0086.010-0099.970 | Các đường còn lại
P=5764 | X=0090.100-0124.430 | Y=0100.010-0113.970 | 2.300
P=5764 | X=0090.100-0097.730 | Y=0128.010-0141.970 | 2
P=5764 | X=0090.100-0305.720 | Y=0142.010-0155.970 | Khu tái định cư thị trấn Gia Ray (cũ)
P=5764 | X=0090.100-0497.260 | Y=0198.010-0211.970 | Đường Phan Văn Trị (Từ Đường Hùng Vương đến Đường 21 tháng 3)
P=5764 | X=0090.100-0124.430 | Y=0212.010-0225.970 | 3.000
P=5764 | X=0090.100-0158.330 | Y=0254.010-0267.970 | Đường số 4
P=5764 | X=0090.100-0124.430 | Y=0268.010-0281.970 | 2.300
P=5764 | X=0090.100-0197.070 | Y=0310.010-0323.970 | Các đường còn lại
P=5764 | X=0090.100-0124.430 | Y=0324.010-0337.970 | 2.200
P=5764 | X=0090.100-0097.730 | Y=0352.010-0365.970 | 3
P=5764 | X=0090.100-0291.520 | Y=0366.010-0379.970 | Khu tái định cư xã Xuân Hiệp (cũ)
P=5764 | X=0090.100-0519.390 | Y=0422.010-0435.970 | Đường Tam Hiệp - Tân Tiến (từ Quốc lộ 1 đến hết ranh thửa đất số 426,
P=5764 | X=0090.100-0499.510 | Y=0436.010-0449.970 | tờ BĐĐC số 292 về bên phải và hết ranh thửa đất số 68, tờ BĐĐC số
P=5764 | X=0090.100-0267.460 | Y=0450.010-0463.970 | 292 về bên trái, xã Xuân Lộc)
P=5764 | X=0090.100-0124.430 | Y=0464.010-0477.970 | 1.400
P=5764 | X=0090.100-0518.320 | Y=0506.010-0519.970 | Đường vào Trạm y tế (xã Xuân Hiệp (cũ)), từ Quốc lộ 1 đến ranh hồ Gia
P=5764 | X=0090.100-0122.990 | Y=0520.010-0533.970 | Măng
P=5764 | X=0090.100-0124.430 | Y=0534.010-0547.970 | 1.400
P=5764 | X=0090.100-0197.070 | Y=0576.010-0589.970 | Các đường còn lại
P=5764 | X=0090.100-0113.000 | Y=0590.010-0603.970 | 990
