TABLE=021 | AREA=Phường Xuân Lập
--- SEQUENCE=11 | SECTION=non-agricultural | PAGES=5872-5874 | LINES=80 ---
P=5872 | X=0090.100-0318.440 | Y=0072.010-0085.970 | Nhà văn hòa đồng bào dân tộc Chơ-ro
P=5872 | X=0090.100-0214.660 | Y=0114.010-0127.970 | Đường Hồ Thị Hương
P=5872 | X=0090.100-0159.400 | Y=0128.010-0141.970 | Đường Lê A
P=5872 | X=0090.100-0233.290 | Y=0142.010-0155.970 | Mương thoát lũ Suối Cải
P=5872 | X=0090.100-0105.360 | Y=0170.010-0183.970 | 21
P=5872 | X=0090.100-0195.070 | Y=0184.010-0197.970 | Phường Xuân Lập
P=5872 | X=0090.100-0228.870 | Y=0254.010-0267.970 | Đường Lương Đình Của
P=5872 | X=0090.100-0217.270 | Y=0268.010-0281.970 | Đường Hồng Thập Tự
P=5872 | X=0090.100-0272.890 | Y=0282.010-0295.970 | Giáp ranh phường Long Khanh
P=5872 | X=0090.100-0201.880 | Y=0324.010-0337.970 | Đường Võ Văn Tần
P=5872 | X=0090.100-0262.760 | Y=0338.010-0351.970 | Đường Xuân Bình - Xuân Lập
P=5872 | X=0090.100-0233.240 | Y=0352.010-0365.970 | Đường Nguyễn Văn Trỗi
P=5872 | X=0090.100-0233.240 | Y=0394.010-0407.970 | Đường Nguyễn Văn Trỗi
P=5872 | X=0090.100-0228.870 | Y=0408.010-0421.970 | Đường Lương Định Của
P=5872 | X=0090.100-0284.330 | Y=0422.010-0435.970 | Cuối khu dân cư Khu phố Núi Đỏ
P=5872 | X=0090.100-0233.240 | Y=0464.010-0477.970 | Đường Nguyễn Văn Trỗi
P=5872 | X=0090.100-0284.330 | Y=0478.010-0491.970 | Cuối khu dân cư Khu phố Núi Đỏ
P=5872 | X=0090.100-0182.880 | Y=0492.010-0505.970 | Đường Bàu Sen
P=5872 | X=0090.100-0182.880 | Y=0534.010-0547.970 | Đường Bàu Sen
P=5872 | X=0090.100-0233.240 | Y=0548.010-0561.970 | Đường Nguyễn Văn Trỗi
P=5872 | X=0090.100-0257.620 | Y=0562.010-0575.970 | Đường Bàu Sen đi Xuân Lập
P=5872 | X=0090.100-0262.760 | Y=0604.010-0617.970 | Đường Xuân Bình - Xuân Lập
P=5872 | X=0090.100-0228.870 | Y=0618.010-0631.970 | Đường Lương Định Của
P=5872 | X=0090.100-0201.880 | Y=0632.010-0645.970 | Đường Võ Văn Tần
P=5872 | X=0090.100-0262.760 | Y=0674.010-0687.970 | Đường Xuân Bình - Xuân Lập
P=5872 | X=0090.100-0201.880 | Y=0688.010-0701.970 | Đường Võ Văn Tần
P=5872 | X=0090.100-0158.330 | Y=0702.010-0715.970 | Đường số 1
P=5873 | X=0090.100-0158.330 | Y=0100.010-0113.970 | Đường số 1
P=5873 | X=0090.100-0146.950 | Y=0114.010-0127.970 | Quốc lộ 1
P=5873 | X=0090.100-0250.700 | Y=0128.010-0141.970 | Đường Xuân Lập - Bàu Sao
P=5873 | X=0090.100-0250.700 | Y=0170.010-0183.970 | Đường Xuân Lập - Bàu Sao
P=5873 | X=0090.100-0159.700 | Y=0184.010-0197.970 | Đường Số 1
