TABLE=022 | AREA=Phường Hàng Gòn
--- SEQUENCE=9 | SECTION=non-agricultural | PAGES=5737-5738 | LINES=73 ---
P=5737 | X=0090.100-0105.360 | Y=0086.010-0099.970 | 26
P=5737 | X=0090.100-0149.680 | Y=0100.010-0113.970 | Hàng Gòn
P=5737 | X=0090.100-0198.450 | Y=0114.010-0127.970 | Phường Hàng Gòn
P=5737 | X=0090.100-0124.430 | Y=0128.010-0141.970 | 1.000
P=5737 | X=0090.100-0105.360 | Y=0156.010-0169.970 | 27
P=5737 | X=0090.100-0146.420 | Y=0170.010-0183.970 | Xuân Tây
P=5737 | X=0090.100-0175.850 | Y=0184.010-0197.970 | Xã Xuân Đông
P=5737 | X=0090.100-0113.000 | Y=0198.010-0211.970 | 950
P=5737 | X=0090.100-0105.360 | Y=0226.010-0239.970 | 28
P=5737 | X=0090.100-0143.050 | Y=0240.010-0253.970 | Phú Vinh
P=5737 | X=0090.100-0162.420 | Y=0254.010-0267.970 | Xã Phú Vinh
P=5737 | X=0090.100-0113.000 | Y=0268.010-0281.970 | 620
P=5737 | X=0090.100-0105.360 | Y=0296.010-0309.970 | 29
P=5737 | X=0090.100-0143.080 | Y=0310.010-0323.970 | Phú Bình
P=5737 | X=0090.100-0161.420 | Y=0324.010-0337.970 | Xã Phú Lâm
P=5737 | X=0090.100-0113.000 | Y=0338.010-0351.970 | 620
P=5737 | X=0090.100-0105.360 | Y=0366.010-0379.970 | 30
P=5737 | X=0090.100-0136.430 | Y=0380.010-0393.970 | Vĩnh An
P=5737 | X=0090.100-0144.650 | Y=0394.010-0407.970 | Xã Trị An
P=5737 | X=0090.100-0124.430 | Y=0408.010-0421.970 | 1.470
P=5737 | X=0090.100-0105.360 | Y=0436.010-0449.970 | 31
P=5737 | X=0090.100-0143.400 | Y=0450.010-0463.970 | Tân An 2
P=5737 | X=0090.100-0151.330 | Y=0464.010-0477.970 | Xã Tân An
