TABLE=023 | AREA=Phường Bình Lộc
--- SEQUENCE=8 | SECTION=non-agricultural | PAGES=5730-5730 | LINES=37 ---
P=5730 | X=0090.100-0165.420 | Y=0072.010-0085.970 | Xã Phước An
P=5730 | X=0090.100-0124.430 | Y=0086.010-0099.970 | 2.100
P=5730 | X=0090.100-0105.360 | Y=0114.010-0127.970 | 20
P=5730 | X=0090.100-0141.120 | Y=0128.010-0141.970 | Ông Kèo
P=5730 | X=0090.100-0169.580 | Y=0142.010-0155.970 | Xã Đại Phước
P=5730 | X=0090.100-0124.430 | Y=0156.010-0169.970 | 1.575
P=5730 | X=0090.100-0105.360 | Y=0184.010-0197.970 | 21
P=5730 | X=0090.100-0161.110 | Y=0198.010-0211.970 | Long Khánh
P=5730 | X=0090.100-0190.020 | Y=0212.010-0225.970 | Phường Bình Lộc
P=5730 | X=0090.100-0124.430 | Y=0226.010-0239.970 | 1.000
P=5730 | X=0090.100-0105.360 | Y=0254.010-0267.970 | 22
P=5730 | X=0090.100-0139.390 | Y=0268.010-0281.970 | Suối Tre
P=5730 | X=0090.100-0190.020 | Y=0282.010-0295.970 | Phường Bình Lộc
P=5730 | X=0090.100-0124.430 | Y=0296.010-0309.970 | 1.000
P=5730 | X=0090.100-0105.360 | Y=0324.010-0337.970 | 23
P=5730 | X=0090.100-0145.130 | Y=0338.010-0351.970 | Dầu Giây
P=5730 | X=0090.100-0164.490 | Y=0352.010-0365.970 | Xã Dầu Giây
P=5730 | X=0090.100-0124.430 | Y=0366.010-0379.970 | 1.270
P=5730 | X=0090.100-0105.360 | Y=0394.010-0407.970 | 24
P=5730 | X=0090.100-0145.260 | Y=0408.010-0421.970 | Xuân Lộc
P=5730 | X=0090.100-0164.630 | Y=0422.010-0435.970 | Xã Xuân Lộc
P=5730 | X=0090.100-0124.430 | Y=0436.010-0449.970 | 1.000
P=5730 | X=0090.100-0105.360 | Y=0464.010-0477.970 | 25
P=5730 | X=0090.100-0153.690 | Y=0478.010-0491.970 | Định Quán
P=5730 | X=0090.100-0151.230 | Y=0492.010-0505.970 | Xã La Ngà
P=5730 | X=0090.100-0113.000 | Y=0506.010-0519.970 | 500
P=5730 | X=0090.100-0105.360 | Y=0534.010-0547.970 | 26
P=5730 | X=0090.100-0138.590 | Y=0548.010-0561.970 | Tân Phú
P=5730 | X=0090.100-0157.960 | Y=0562.010-0575.970 | Xã Tân Phú
P=5730 | X=0090.100-0113.000 | Y=0576.010-0589.970 | 500
P=5730 | X=0090.100-0105.360 | Y=0604.010-0617.970 | 27
P=5730 | X=0090.100-0400.350 | Y=0618.010-0631.970 | Khu công nghiệp công nghệ cao Amata Long Thành
P=5730 | X=0090.100-0356.680 | Y=0632.010-0645.970 | Xã Long Thành, xã An Phước, xã Nhơn Trạch
P=5730 | X=0090.100-0124.430 | Y=0646.010-0659.970 | 2.800
P=5730 | X=0090.100-0105.360 | Y=0674.010-0687.970 | 28
P=5730 | X=0090.100-0285.590 | Y=0688.010-0701.970 | Bàu Cạn - Tân Hiệp (giai đoạn 1)
P=5730 | X=0090.100-0270.420 | Y=0702.010-0715.970 | Xã Long Phước, xã Phước Thái
