TABLE=025 | AREA=Xã Xuân Hòa
--- SEQUENCE=12 | SECTION=agricultural | PAGES=6010-6010 | LINES=40 ---
P=6010 | X=0090.100-0113.000 | Y=0072.010-0085.970 | 100
P=6010 | X=0090.100-0113.000 | Y=0086.010-0099.970 | 100
P=6010 | X=0090.100-0105.360 | Y=0100.010-0113.970 | 60
P=6010 | X=0090.100-0105.360 | Y=0114.010-0127.970 | 60
P=6010 | X=0090.100-0105.360 | Y=0142.010-0155.970 | 25
P=6010 | X=0090.100-0167.720 | Y=0156.010-0169.970 | Xã Xuân Hòa
P=6010 | X=0090.100-0113.000 | Y=0170.010-0183.970 | 100
P=6010 | X=0090.100-0113.000 | Y=0184.010-0197.970 | 100
P=6010 | X=0090.100-0105.360 | Y=0198.010-0211.970 | 60
P=6010 | X=0090.100-0105.360 | Y=0212.010-0225.970 | 60
P=6010 | X=0090.100-0105.360 | Y=0240.010-0253.970 | 26
P=6010 | X=0090.100-0181.480 | Y=0254.010-0267.970 | Xã Xuân Thành
P=6010 | X=0090.100-0113.000 | Y=0268.010-0281.970 | 100
P=6010 | X=0090.100-0113.000 | Y=0282.010-0295.970 | 100
P=6010 | X=0090.100-0105.360 | Y=0296.010-0309.970 | 60
P=6010 | X=0090.100-0105.360 | Y=0310.010-0323.970 | 60
P=6010 | X=0090.100-0105.360 | Y=0338.010-0351.970 | 27
P=6010 | X=0090.100-0166.180 | Y=0352.010-0365.970 | Xã Xuân Bắc
P=6010 | X=0090.100-0105.360 | Y=0366.010-0379.970 | 40
P=6010 | X=0090.100-0105.360 | Y=0380.010-0393.970 | 40
P=6010 | X=0090.100-0105.360 | Y=0394.010-0407.970 | 20
P=6010 | X=0090.100-0105.360 | Y=0408.010-0421.970 | 20
P=6010 | X=0090.100-0105.360 | Y=0436.010-0449.970 | 28
P=6010 | X=0090.100-0166.460 | Y=0450.010-0463.970 | Xã Xuân Phú
P=6010 | X=0090.100-0113.000 | Y=0464.010-0477.970 | 100
P=6010 | X=0090.100-0113.000 | Y=0478.010-0491.970 | 100
P=6010 | X=0090.100-0105.360 | Y=0492.010-0505.970 | 60
P=6010 | X=0090.100-0105.360 | Y=0506.010-0519.970 | 60
P=6010 | X=0090.100-0105.360 | Y=0534.010-0547.970 | 29
P=6010 | X=0090.100-0171.830 | Y=0548.010-0561.970 | Xã Xuân Định
P=6010 | X=0090.100-0113.000 | Y=0562.010-0575.970 | 100
P=6010 | X=0090.100-0113.000 | Y=0576.010-0589.970 | 100
P=6010 | X=0090.100-0105.360 | Y=0590.010-0603.970 | 60
P=6010 | X=0090.100-0105.360 | Y=0604.010-0617.970 | 60
P=6010 | X=0090.100-0105.360 | Y=0632.010-0645.970 | 30
P=6010 | X=0090.100-0158.120 | Y=0646.010-0659.970 | Xã Cẩm Mỹ
P=6010 | X=0090.100-0113.000 | Y=0660.010-0673.970 | 110
P=6010 | X=0090.100-0113.000 | Y=0674.010-0687.970 | 110
P=6010 | X=0090.100-0105.360 | Y=0688.010-0701.970 | 70
P=6010 | X=0090.100-0105.360 | Y=0702.010-0715.970 | 70
