TABLE=027 | AREA=Xã Xuân Bắc
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5765-5765 | LINES=21 ---
P=5765 | X=0090.100-0501.300 | Y=0100.010-0113.970 | Các đường trong Khu tái định cư Xuân Tâm trường bắn Quốc gia khu
P=5765 | X=0090.100-0125.760 | Y=0114.010-0127.970 | vực III
P=5765 | X=0090.100-0124.430 | Y=0128.010-0141.970 | 1.200
P=5765 | X=0090.100-0166.180 | Y=0170.010-0183.970 | Xã Xuân Bắc
P=5765 | X=0090.100-0097.730 | Y=0212.010-0225.970 | 1
P=5765 | X=0090.100-0317.200 | Y=0226.010-0239.970 | Khu tái định cư ấp 2, xã Suối Nho (cũ)
P=5765 | X=0090.100-0420.830 | Y=0282.010-0295.970 | Các đường trong Khu tái định cư ấp 2, xã Suối Nho (cũ)
P=5765 | X=0090.100-0124.430 | Y=0296.010-0309.970 | 2.200
P=5765 | X=0090.100-0158.120 | Y=0338.010-0351.970 | Xã Cẩm Mỹ
P=5765 | X=0090.100-0097.730 | Y=0380.010-0393.970 | 1
P=5765 | X=0090.100-0362.380 | Y=0394.010-0407.970 | Khu dân cư và tái định cư xã Nhân Nghĩa (cũ)
P=5765 | X=0090.100-0466.010 | Y=0450.010-0463.970 | Các đường trong Khu dân cư và tái định cư xã Nhân Nghĩa (cũ)
P=5765 | X=0090.100-0124.430 | Y=0464.010-0477.970 | 2.500
P=5765 | X=0090.100-0168.450 | Y=0506.010-0519.970 | Xã Xuân Quế
P=5765 | X=0090.100-0097.730 | Y=0548.010-0561.970 | 1
P=5765 | X=0090.100-0340.600 | Y=0562.010-0575.970 | Khu dân cư có bố trí tái định cư Xuân Quế
P=5765 | X=0090.100-0507.540 | Y=0618.010-0631.970 | Đường Nhân Nghĩa - Sông Nhạn (đoạn từ đầu khu tái định cư xã Xuân
P=5765 | X=0090.100-0297.030 | Y=0632.010-0645.970 | Quế đến đường cầu Đỏ - Suối Sâu)
P=5765 | X=0090.100-0124.430 | Y=0646.010-0659.970 | 2.100
P=5765 | X=0090.100-0197.070 | Y=0688.010-0701.970 | Các đường còn lại
P=5765 | X=0090.100-0124.430 | Y=0702.010-0715.970 | 1.500
--- SEQUENCE=13 | SECTION=agricultural | PAGES=6025-6025 | LINES=39 ---
P=6025 | X=0090.100-0113.000 | Y=0072.010-0085.970 | 110
P=6025 | X=0090.100-0113.000 | Y=0086.010-0099.970 | 110
P=6025 | X=0090.100-0105.360 | Y=0114.010-0127.970 | 27
P=6025 | X=0090.100-0166.180 | Y=0128.010-0141.970 | Xã Xuân Bắc
P=6025 | X=0090.100-0105.360 | Y=0142.010-0155.970 | 70
P=6025 | X=0090.100-0105.360 | Y=0156.010-0169.970 | 70
P=6025 | X=0090.100-0105.360 | Y=0170.010-0183.970 | 40
P=6025 | X=0090.100-0105.360 | Y=0184.010-0197.970 | 40
P=6025 | X=0090.100-0105.360 | Y=0212.010-0225.970 | 28
P=6025 | X=0090.100-0166.460 | Y=0226.010-0239.970 | Xã Xuân Phú
P=6025 | X=0090.100-0113.000 | Y=0240.010-0253.970 | 180
P=6025 | X=0090.100-0113.000 | Y=0254.010-0267.970 | 180
P=6025 | X=0090.100-0113.000 | Y=0268.010-0281.970 | 110
P=6025 | X=0090.100-0113.000 | Y=0282.010-0295.970 | 110
P=6025 | X=0090.100-0105.360 | Y=0310.010-0323.970 | 29
P=6025 | X=0090.100-0171.830 | Y=0324.010-0337.970 | Xã Xuân Định
P=6025 | X=0090.100-0113.000 | Y=0338.010-0351.970 | 180
P=6025 | X=0090.100-0113.000 | Y=0352.010-0365.970 | 180
P=6025 | X=0090.100-0113.000 | Y=0366.010-0379.970 | 110
P=6025 | X=0090.100-0113.000 | Y=0380.010-0393.970 | 110
P=6025 | X=0090.100-0105.360 | Y=0408.010-0421.970 | 30
P=6025 | X=0090.100-0158.120 | Y=0422.010-0435.970 | Xã Cẩm Mỹ
P=6025 | X=0090.100-0113.000 | Y=0436.010-0449.970 | 200
P=6025 | X=0090.100-0113.000 | Y=0450.010-0463.970 | 200
P=6025 | X=0090.100-0113.000 | Y=0464.010-0477.970 | 130
P=6025 | X=0090.100-0113.000 | Y=0478.010-0491.970 | 130
P=6025 | X=0090.100-0105.360 | Y=0506.010-0519.970 | 31
P=6025 | X=0090.100-0168.450 | Y=0520.010-0533.970 | Xã Xuân Quế
P=6025 | X=0090.100-0113.000 | Y=0534.010-0547.970 | 180
P=6025 | X=0090.100-0113.000 | Y=0548.010-0561.970 | 180
P=6025 | X=0090.100-0113.000 | Y=0562.010-0575.970 | 110
P=6025 | X=0090.100-0113.000 | Y=0576.010-0589.970 | 110
P=6025 | X=0090.100-0105.360 | Y=0604.010-0617.970 | 32
P=6025 | X=0090.100-0183.450 | Y=0618.010-0631.970 | Xã Xuân Đường
P=6025 | X=0090.100-0113.000 | Y=0632.010-0645.970 | 200
P=6025 | X=0090.100-0113.000 | Y=0646.010-0659.970 | 200
P=6025 | X=0090.100-0113.000 | Y=0660.010-0673.970 | 130
P=6025 | X=0090.100-0113.000 | Y=0674.010-0687.970 | 130
P=6025 | X=0090.100-0105.360 | Y=0702.010-0715.970 | 33
