TABLE=031 | AREA=Xã Xuân Quế
--- SEQUENCE=8 | SECTION=non-agricultural | PAGES=5731-5731 | LINES=37 ---
P=5731 | X=0090.100-0124.430 | Y=0072.010-0085.970 | 2.000
P=5731 | X=0090.100-0105.360 | Y=0100.010-0113.970 | 29
P=5731 | X=0090.100-0306.360 | Y=0114.010-0127.970 | Xuân Quế - Sông Nhạn (giai đoạn 1)
P=5731 | X=0090.100-0168.450 | Y=0128.010-0141.970 | Xã Xuân Quế
P=5731 | X=0090.100-0124.430 | Y=0142.010-0155.970 | 1.270
P=5731 | X=0090.100-0105.360 | Y=0170.010-0183.970 | 30
P=5731 | X=0090.100-0226.480 | Y=0184.010-0197.970 | Long Đức (giai đoạn 2)
P=5731 | X=0090.100-0155.820 | Y=0198.010-0211.970 | Xã Bình An
P=5731 | X=0090.100-0124.430 | Y=0212.010-0225.970 | 1.800
P=5731 | X=0090.100-0105.360 | Y=0240.010-0253.970 | 31
P=5731 | X=0090.100-0158.030 | Y=0254.010-0267.970 | Long Đức 3
P=5731 | X=0090.100-0252.150 | Y=0268.010-0281.970 | Xã Bình An, xã Long Thành
P=5731 | X=0090.100-0124.430 | Y=0282.010-0295.970 | 1.800
P=5731 | X=0090.100-0105.360 | Y=0310.010-0323.970 | 32
P=5731 | X=0090.100-0157.000 | Y=0324.010-0337.970 | Phước Bình
P=5731 | X=0090.100-0175.200 | Y=0338.010-0351.970 | Xã Phước Thái
P=5731 | X=0090.100-0124.430 | Y=0352.010-0365.970 | 2.000
P=5731 | X=0090.100-0105.360 | Y=0380.010-0393.970 | 33
P=5731 | X=0090.100-0168.430 | Y=0394.010-0407.970 | Phước Bình 2
P=5731 | X=0090.100-0175.200 | Y=0408.010-0421.970 | Xã Phước Thái
P=5731 | X=0090.100-0124.430 | Y=0422.010-0435.970 | 2.000
P=5731 | X=0090.100-0105.360 | Y=0450.010-0463.970 | 34
P=5731 | X=0090.100-0146.050 | Y=0464.010-0477.970 | Phước An
P=5731 | X=0090.100-0165.420 | Y=0478.010-0491.970 | Xã Phước An
P=5731 | X=0090.100-0124.430 | Y=0492.010-0505.970 | 1.570
P=5731 | X=0090.100-0105.360 | Y=0520.010-0533.970 | 35
P=5731 | X=0090.100-0224.630 | Y=0534.010-0547.970 | Becamex - Bình Phước
P=5731 | X=0090.100-0211.020 | Y=0548.010-0561.970 | Phường Chơn Thành
