TABLE=032 | AREA=Xã Xuân Đường
--- SEQUENCE=12 | SECTION=agricultural | PAGES=6011-6011 | LINES=39 ---
P=6011 | X=0090.100-0105.360 | Y=0086.010-0099.970 | 31
P=6011 | X=0090.100-0168.450 | Y=0100.010-0113.970 | Xã Xuân Quế
P=6011 | X=0090.100-0113.000 | Y=0114.010-0127.970 | 100
P=6011 | X=0090.100-0113.000 | Y=0128.010-0141.970 | 100
P=6011 | X=0090.100-0105.360 | Y=0142.010-0155.970 | 60
P=6011 | X=0090.100-0105.360 | Y=0156.010-0169.970 | 60
P=6011 | X=0090.100-0105.360 | Y=0184.010-0197.970 | 32
P=6011 | X=0090.100-0183.450 | Y=0198.010-0211.970 | Xã Xuân Đường
P=6011 | X=0090.100-0113.000 | Y=0212.010-0225.970 | 110
P=6011 | X=0090.100-0113.000 | Y=0226.010-0239.970 | 110
P=6011 | X=0090.100-0105.360 | Y=0240.010-0253.970 | 70
P=6011 | X=0090.100-0105.360 | Y=0254.010-0267.970 | 70
P=6011 | X=0090.100-0105.360 | Y=0282.010-0295.970 | 33
P=6011 | X=0090.100-0166.180 | Y=0296.010-0309.970 | Xã Sông Ray
P=6011 | X=0090.100-0113.000 | Y=0310.010-0323.970 | 100
P=6011 | X=0090.100-0113.000 | Y=0324.010-0337.970 | 100
P=6011 | X=0090.100-0105.360 | Y=0338.010-0351.970 | 60
P=6011 | X=0090.100-0105.360 | Y=0352.010-0365.970 | 60
P=6011 | X=0090.100-0105.360 | Y=0380.010-0393.970 | 34
P=6011 | X=0090.100-0175.850 | Y=0394.010-0407.970 | Xã Xuân Đông
P=6011 | X=0090.100-0113.000 | Y=0408.010-0421.970 | 100
P=6011 | X=0090.100-0113.000 | Y=0422.010-0435.970 | 100
P=6011 | X=0090.100-0105.360 | Y=0436.010-0449.970 | 60
P=6011 | X=0090.100-0105.360 | Y=0450.010-0463.970 | 60
P=6011 | X=0090.100-0105.360 | Y=0478.010-0491.970 | 35
P=6011 | X=0090.100-0175.320 | Y=0492.010-0505.970 | Xã Trảng Bom
P=6011 | X=0090.100-0113.000 | Y=0506.010-0519.970 | 130
P=6011 | X=0090.100-0113.000 | Y=0520.010-0533.970 | 130
P=6011 | X=0090.100-0113.000 | Y=0534.010-0547.970 | 115
P=6011 | X=0090.100-0113.000 | Y=0548.010-0561.970 | 115
P=6011 | X=0090.100-0105.360 | Y=0576.010-0589.970 | 36
P=6011 | X=0090.100-0155.590 | Y=0590.010-0603.970 | Xã An Viễn
P=6011 | X=0090.100-0113.000 | Y=0604.010-0617.970 | 130
P=6011 | X=0090.100-0113.000 | Y=0618.010-0631.970 | 130
P=6011 | X=0090.100-0113.000 | Y=0632.010-0645.970 | 120
P=6011 | X=0090.100-0113.000 | Y=0646.010-0659.970 | 120
P=6011 | X=0090.100-0105.360 | Y=0674.010-0687.970 | 37
P=6011 | X=0090.100-0164.480 | Y=0688.010-0701.970 | Xã Bàu Hàm
P=6011 | X=0090.100-0113.000 | Y=0702.010-0715.970 | 100
