TABLE=033 | AREA=Xã Sông Ray
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5766-5771 | LINES=141 ---
P=5766 | X=0090.100-0166.180 | Y=0100.010-0113.970 | Xã Sông Ray
P=5766 | X=0090.100-0097.730 | Y=0142.010-0155.970 | 1
P=5766 | X=0090.100-0300.880 | Y=0156.010-0169.970 | Khu tái định cư tại xã Lâm San (cũ)
P=5766 | X=0090.100-0403.600 | Y=0212.010-0225.970 | Các đường trong khu tái định cư tại xã Lâm San (cũ)
P=5766 | X=0090.100-0124.430 | Y=0226.010-0239.970 | 1.600
P=5766 | X=0090.100-0175.320 | Y=0268.010-0281.970 | Xã Trảng Bom
P=5766 | X=0090.100-0097.730 | Y=0310.010-0323.970 | 1
P=5766 | X=0090.100-0429.250 | Y=0324.010-0337.970 | Khu dân cư và tái định cư 5,3 ha thị trấn Trảng Bom (cũ)
P=5766 | X=0090.100-0496.160 | Y=0380.010-0393.970 | Đường An Dương Vương (từ đường Đinh Tiên Hoàng đến đường Ngô
P=5766 | X=0090.100-0133.890 | Y=0394.010-0407.970 | Quyền)
P=5766 | X=0090.100-0124.430 | Y=0408.010-0421.970 | 9.800
P=5766 | X=0090.100-0474.910 | Y=0450.010-0463.970 | Đường Hai Bà Trưng (từ đường Ngô Quyền đến đường An Dương
P=5766 | X=0090.100-0133.120 | Y=0464.010-0477.970 | Vương)
P=5766 | X=0090.100-0124.430 | Y=0478.010-0491.970 | 8.400
P=5766 | X=0090.100-0194.940 | Y=0520.010-0533.970 | Đường Lý Thái Tổ
P=5766 | X=0090.100-0124.430 | Y=0534.010-0547.970 | 9.100
P=5766 | X=0090.100-0199.390 | Y=0576.010-0589.970 | Đường Lý Nam Đế
P=5766 | X=0090.100-0124.430 | Y=0590.010-0603.970 | 9.100
P=5766 | X=0090.100-0448.300 | Y=0632.010-0645.970 | Đường 30 tháng 4 từ Quốc lộ 1 đến đường An Dương Vương
P=5766 | X=0090.100-0132.060 | Y=0646.010-0659.970 | 15.300
P=5766 | X=0090.100-0197.070 | Y=0688.010-0701.970 | Các đường còn lại
P=5766 | X=0090.100-0124.430 | Y=0702.010-0715.970 | 5.000
P=5767 | X=0090.100-0097.730 | Y=0086.010-0099.970 | 2
P=5767 | X=0090.100-0366.670 | Y=0100.010-0113.970 | Khu tái định cư 4,7 ha thị trấn Trảng Bom (cũ)
P=5767 | X=0090.100-0496.160 | Y=0156.010-0169.970 | Đường An Dương Vương (từ đường Đinh Tiên Hoàng đến đường Ngô
P=5767 | X=0090.100-0133.890 | Y=0170.010-0183.970 | Quyền)
P=5767 | X=0090.100-0124.430 | Y=0184.010-0197.970 | 9.800
P=5767 | X=0090.100-0496.240 | Y=0226.010-0239.970 | Đường Đinh Tiên Hoàng (Đoạn từ đường Hùng Vương đến đường An
P=5767 | X=0090.100-0321.050 | Y=0240.010-0253.970 | Dương Vương (hết khu dân cư 4,7 ha))
P=5767 | X=0090.100-0124.430 | Y=0254.010-0267.970 | 9.800
P=5767 | X=0090.100-0493.380 | Y=0296.010-0309.970 | Đường Hùng Vương (Đoạn từ đường Nguyễn Hoàng đến đường Ngô
P=5767 | X=0090.100-0133.890 | Y=0310.010-0323.970 | Quyền)
P=5767 | X=0090.100-0132.060 | Y=0324.010-0337.970 | 15.300
P=5767 | X=0090.100-0499.360 | Y=0366.010-0379.970 | Đường Lê Đại Hành (Đoạn từ đường Nguyễn Huệ đến đường Lý Nam
P=5767 | X=0090.100-0111.450 | Y=0380.010-0393.970 | Đế)
P=5767 | X=0090.100-0124.430 | Y=0394.010-0407.970 | 9.100
