TABLE=034 | AREA=Xã Xuân Đông
--- SEQUENCE=13 | SECTION=agricultural | PAGES=6026-6026 | LINES=40 ---
P=6026 | X=0090.100-0166.180 | Y=0072.010-0085.970 | Xã Sông Ray
P=6026 | X=0090.100-0113.000 | Y=0086.010-0099.970 | 180
P=6026 | X=0090.100-0113.000 | Y=0100.010-0113.970 | 180
P=6026 | X=0090.100-0113.000 | Y=0114.010-0127.970 | 110
P=6026 | X=0090.100-0113.000 | Y=0128.010-0141.970 | 110
P=6026 | X=0090.100-0105.360 | Y=0156.010-0169.970 | 34
P=6026 | X=0090.100-0175.850 | Y=0170.010-0183.970 | Xã Xuân Đông
P=6026 | X=0090.100-0113.000 | Y=0184.010-0197.970 | 180
P=6026 | X=0090.100-0113.000 | Y=0198.010-0211.970 | 180
P=6026 | X=0090.100-0113.000 | Y=0212.010-0225.970 | 110
P=6026 | X=0090.100-0113.000 | Y=0226.010-0239.970 | 110
P=6026 | X=0090.100-0105.360 | Y=0254.010-0267.970 | 35
P=6026 | X=0090.100-0175.320 | Y=0268.010-0281.970 | Xã Trảng Bom
P=6026 | X=0090.100-0113.000 | Y=0282.010-0295.970 | 230
P=6026 | X=0090.100-0113.000 | Y=0296.010-0309.970 | 230
P=6026 | X=0090.100-0113.000 | Y=0310.010-0323.970 | 210
P=6026 | X=0090.100-0113.000 | Y=0324.010-0337.970 | 210
P=6026 | X=0090.100-0105.360 | Y=0352.010-0365.970 | 36
P=6026 | X=0090.100-0155.590 | Y=0366.010-0379.970 | Xã An Viễn
P=6026 | X=0090.100-0113.000 | Y=0380.010-0393.970 | 230
P=6026 | X=0090.100-0113.000 | Y=0394.010-0407.970 | 230
P=6026 | X=0090.100-0113.000 | Y=0408.010-0421.970 | 220
P=6026 | X=0090.100-0113.000 | Y=0422.010-0435.970 | 220
P=6026 | X=0090.100-0105.360 | Y=0450.010-0463.970 | 37
P=6026 | X=0090.100-0164.480 | Y=0464.010-0477.970 | Xã Bàu Hàm
P=6026 | X=0090.100-0113.000 | Y=0478.010-0491.970 | 180
P=6026 | X=0090.100-0113.000 | Y=0492.010-0505.970 | 180
P=6026 | X=0090.100-0113.000 | Y=0506.010-0519.970 | 160
P=6026 | X=0090.100-0113.000 | Y=0520.010-0533.970 | 160
P=6026 | X=0090.100-0105.360 | Y=0548.010-0561.970 | 38
P=6026 | X=0090.100-0168.880 | Y=0562.010-0575.970 | Xã Bình Minh
P=6026 | X=0090.100-0113.000 | Y=0576.010-0589.970 | 230
P=6026 | X=0090.100-0113.000 | Y=0590.010-0603.970 | 230
P=6026 | X=0090.100-0113.000 | Y=0604.010-0617.970 | 210
P=6026 | X=0090.100-0113.000 | Y=0618.010-0631.970 | 210
P=6026 | X=0090.100-0105.360 | Y=0646.010-0659.970 | 39
P=6026 | X=0090.100-0178.510 | Y=0660.010-0673.970 | Xã Hưng Thịnh
P=6026 | X=0090.100-0113.000 | Y=0674.010-0687.970 | 180
P=6026 | X=0090.100-0113.000 | Y=0688.010-0701.970 | 180
P=6026 | X=0090.100-0113.000 | Y=0702.010-0715.970 | 160
