TABLE=037 | AREA=Xã Bàu Hàm
--- SEQUENCE=4 | SECTION=agricultural | PAGES=1831-1836 | LINES=370 ---
P=1831 | X=0118.900-0396.570 | Y=0078.600-0089.760 | và xã Bàu Hàm có hiện trạng là đường nhựa, bê tông xi măng:
P=1831 | X=0118.900-0350.080 | Y=0096.100-0107.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1831 | X=0118.900-0405.370 | Y=0113.600-0124.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1831 | X=0118.900-0179.940 | Y=0125.100-0136.260 | đến ≤1.000m.
P=1831 | X=0118.900-0341.750 | Y=0142.600-0153.760 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1831 | X=0118.900-0416.460 | Y=0160.350-0171.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Vĩnh Tân -
P=1831 | X=0118.900-0420.540 | Y=0171.850-0183.010 | Cây Điệp đoạn từ Cây xăng Tín Nghĩa đến Giáp ranh xã Trảng Bom
P=1831 | X=0118.900-0396.570 | Y=0183.350-0194.510 | và xã Bàu Hàm có hiện trạng là đường nhựa, bê tông xi măng:
P=1831 | X=0096.100-0112.780 | Y=0189.350-0200.510 | 137
P=1831 | X=0455.600-0472.280 | Y=0189.350-0200.510 | 250
P=1831 | X=0505.300-0521.980 | Y=0189.350-0200.510 | 160
P=1831 | X=0118.900-0404.240 | Y=0200.850-0212.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1831 | X=0118.900-0342.090 | Y=0218.350-0229.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1831 | X=0118.900-0403.810 | Y=0236.100-0247.260 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1831 | X=0118.900-0415.980 | Y=0247.600-0258.760 | Đường Vĩnh Tân - Cây Điệp đoạn từ Cây xăng Tín Nghĩa đến Giáp
P=1831 | X=0118.900-0422.120 | Y=0259.100-0270.260 | ranh xã Trảng Bom và xã Bàu Hàm có hiện trạng là đường nhựa, bê
P=1831 | X=0096.100-0178.890 | Y=0270.600-0282.010 | 138 tông xi măng:
P=1831 | X=0455.600-0472.280 | Y=0270.850-0282.010 | 480
P=1831 | X=0505.300-0521.980 | Y=0270.850-0282.010 | 310
P=1831 | X=0118.900-0349.730 | Y=0288.100-0299.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1831 | X=0118.900-0395.560 | Y=0305.600-0316.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1831 | X=0118.900-0403.810 | Y=0323.350-0334.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1831 | X=0118.900-0415.980 | Y=0334.850-0346.010 | Đường Vĩnh Tân - Cây Điệp đoạn từ Cây xăng Tín Nghĩa đến Giáp
P=1831 | X=0118.900-0422.120 | Y=0346.350-0357.510 | ranh xã Trảng Bom và xã Bàu Hàm có hiện trạng là đường nhựa, bê
P=1831 | X=0118.900-0178.890 | Y=0357.850-0369.010 | tông xi măng:
P=1831 | X=0096.100-0350.080 | Y=0372.600-0386.510 | 139 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1831 | X=0455.600-0472.280 | Y=0372.600-0383.760 | 370
P=1831 | X=0505.300-0521.980 | Y=0372.600-0383.760 | 240
P=1831 | X=0118.900-0405.370 | Y=0392.850-0404.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1831 | X=0118.900-0179.940 | Y=0404.350-0415.510 | đến ≤1.000m.
P=1831 | X=0118.900-0341.750 | Y=0421.850-0433.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1831 | X=0118.900-0403.810 | Y=0439.600-0450.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1831 | X=0118.900-0415.980 | Y=0451.100-0462.260 | Đường Vĩnh Tân - Cây Điệp đoạn từ Cây xăng Tín Nghĩa đến Giáp
P=1831 | X=0118.900-0422.120 | Y=0462.600-0473.760 | ranh xã Trảng Bom và xã Bàu Hàm có hiện trạng là đường nhựa, bê
P=1831 | X=0096.100-0178.890 | Y=0474.100-0485.510 | 140 tông xi măng:
P=1831 | X=0455.600-0472.280 | Y=0474.350-0485.510 | 250
P=1831 | X=0505.300-0521.980 | Y=0474.350-0485.510 | 160
P=1831 | X=0118.900-0404.240 | Y=0491.600-0502.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1831 | X=0118.900-0342.090 | Y=0509.100-0520.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1831 | X=0309.750-0410.790 | Y=0526.850-0538.010 | Mép ngoài đường điện
P=1831 | X=0096.100-0267.810 | Y=0538.350-0549.510 | 141 Đường Sở Quýt Đường tỉnh 768
P=1831 | X=0309.750-0413.080 | Y=0538.350-0549.510 | 220KV đầu tiên (tính từ
