TABLE=038 | AREA=Xã Bình Minh
--- SEQUENCE=3 | SECTION=agricultural | PAGES=207-731 | LINES=34060 ---
P=0207 | X=0107.200-0384.210 | Y=0078.850-0090.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0207 | X=0107.200-0333.170 | Y=0096.350-0107.510 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0207 | X=0203.350-0247.240 | Y=0114.350-0125.510 | Giáp ranh
P=0207 | X=0093.000-0149.970 | Y=0125.850-0137.010 | 57 Quốc lộ 1
P=0207 | X=0203.350-0259.470 | Y=0125.850-0137.010 | huyện Trảng
P=0207 | X=0271.400-0376.380 | Y=0125.850-0137.010 | Giáp ranh xã Bình Minh
P=0207 | X=0460.950-0477.630 | Y=0125.850-0137.010 | 730
P=0207 | X=0505.200-0521.880 | Y=0125.850-0137.010 | 670
P=0207 | X=0203.350-0243.870 | Y=0137.350-0148.510 | Bom (cũ)
P=0207 | X=0107.200-0427.780 | Y=0155.350-0166.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ Giáp
P=0207 | X=0107.200-0427.700 | Y=0166.850-0178.010 | ranh huyện Trảng Bom (cũ) đến Giáp ranh xã Bình Minh có hiện trạng là
P=0207 | X=0107.200-0242.680 | Y=0178.350-0189.510 | đường nhựa, bê tông xi măng;
P=0207 | X=0093.000-0104.120 | Y=0184.350-0195.510 | 58
P=0207 | X=0460.950-0477.630 | Y=0184.350-0195.510 | 500
P=0207 | X=0505.200-0521.880 | Y=0184.350-0195.510 | 450
P=0207 | X=0107.200-0338.030 | Y=0195.850-0207.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0207 | X=0107.200-0383.860 | Y=0213.350-0224.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0207 | X=0107.200-0427.650 | Y=0231.350-0242.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ Giáp
P=0207 | X=0107.200-0427.700 | Y=0242.850-0254.010 | ranh huyện Trảng Bom (cũ) đến Giáp ranh xã Bình Minh có hiện trạng là
P=0207 | X=0107.200-0242.680 | Y=0254.350-0265.510 | đường nhựa, bê tông xi măng:
P=0207 | X=0093.000-0338.380 | Y=0271.850-0286.010 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0207 | X=0460.950-0477.630 | Y=0274.850-0286.010 | 400
P=0207 | X=0505.200-0521.880 | Y=0274.850-0286.010 | 350
P=0207 | X=0107.200-0421.370 | Y=0289.350-0300.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến ≤
P=0207 | X=0107.200-0143.310 | Y=0300.850-0312.010 | 1.000m.
P=0207 | X=0107.200-0330.100 | Y=0318.350-0329.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0207 | X=0107.200-0427.650 | Y=0336.350-0347.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ Giáp
P=0207 | X=0107.200-0427.700 | Y=0347.850-0359.010 | ranh huyện Trảng Bom (cũ) đến Giáp ranh xã Bình Minh có hiện trạng là
P=0207 | X=0107.200-0242.680 | Y=0359.350-0370.510 | đường nhựa, bê tông xi măng:
P=0207 | X=0093.000-0104.120 | Y=0365.350-0376.510 | 60
P=0207 | X=0460.950-0477.630 | Y=0365.350-0376.510 | 290
P=0207 | X=0505.200-0521.880 | Y=0365.350-0376.510 | 250
P=0207 | X=0107.200-0392.540 | Y=0376.850-0388.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0207 | X=0107.200-0330.390 | Y=0394.350-0405.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0207 | X=0107.200-0418.770 | Y=0412.350-0423.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=0207 | X=0107.200-0412.170 | Y=0423.850-0435.010 | lộ 1 đoạn từ Giáp ranh huyện Trảng Bom (cũ) đến Giáp ranh xã Bình
P=0207 | X=0107.200-0338.210 | Y=0435.350-0446.510 | Minh có hiện trạng là đường nhựa, bê tông xi măng:
P=0207 | X=0093.000-0104.120 | Y=0441.350-0452.510 | 61
P=0207 | X=0460.950-0477.630 | Y=0441.350-0452.510 | 500
P=0207 | X=0505.200-0521.880 | Y=0441.350-0452.510 | 450
P=0207 | X=0107.200-0338.030 | Y=0452.850-0464.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0207 | X=0107.200-0383.860 | Y=0470.350-0481.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0207 | X=0107.200-0418.770 | Y=0488.350-0499.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=0207 | X=0107.200-0412.170 | Y=0499.850-0511.010 | lộ 1 đoạn từ Giáp ranh huyện Trảng Bom (cũ) đến Giáp ranh xã Bình
P=0207 | X=0107.200-0338.210 | Y=0511.350-0522.510 | Minh có hiện trạng là đường nhựa, bê tông xi măng:
P=0207 | X=0093.000-0338.380 | Y=0528.850-0543.010 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0207 | X=0460.950-0477.630 | Y=0531.850-0543.010 | 400
P=0207 | X=0505.200-0521.880 | Y=0531.850-0543.010 | 350
P=0207 | X=0107.200-0413.120 | Y=0546.350-0557.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0207 | X=0107.200-0148.780 | Y=0557.850-0569.010 | ≤1.000m.
P=0207 | X=0107.200-0330.050 | Y=0575.350-0586.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0207 | X=0107.200-0418.770 | Y=0593.350-0604.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=0207 | X=0107.200-0412.280 | Y=0604.850-0616.010 | lộ 1 đoạn từ Giáp ranh huyện Trảng Bom (cũ) đến Giáp ranh xã Bình
P=0207 | X=0107.200-0338.210 | Y=0616.350-0627.510 | Minh có hiện trạng là đường nhựa, bê tông xi măng:
P=0207 | X=0093.000-0104.120 | Y=0622.350-0633.510 | 63
P=0207 | X=0460.950-0477.630 | Y=0622.350-0633.510 | 290
P=0207 | X=0505.200-0521.880 | Y=0622.350-0633.510 | 250
P=0207 | X=0107.200-0392.540 | Y=0633.850-0645.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0207 | X=0107.200-0333.170 | Y=0651.350-0662.510 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0207 | X=0107.200-0196.010 | Y=0669.350-0680.510 | Đường Phùng Khắc
P=0207 | X=0093.000-0104.120 | Y=0675.100-0686.260 | 57
P=0207 | X=0203.350-0246.120 | Y=0675.100-0686.260 | Quốc lộ 1
P=0207 | X=0271.400-0349.090 | Y=0675.100-0686.260 | Đường Điểu Xiển
P=0207 | X=0452.650-0477.660 | Y=0675.100-0686.260 | 1.200
P=0207 | X=0505.200-0521.880 | Y=0675.100-0686.260 | 770
P=0207 | X=0107.200-0136.100 | Y=0680.850-0692.010 | Khoan
P=0207 | X=0093.000-0412.570 | Y=0698.850-0710.010 | 58 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phùng Khắc
P=0207 | X=0460.950-0477.630 | Y=0698.850-0710.010 | 780
P=0207 | X=0505.200-0521.880 | Y=0698.850-0710.010 | 510
P=0208 | X=0107.200-0422.570 | Y=0078.850-0090.010 | Khoan đoạn từ Quốc lộ 1 đến Đường Điểu Xiển có hiện trạng là đường
