TABLE=039 | AREA=Xã Hưng Thịnh
--- SEQUENCE=1 | SECTION=agricultural | PAGES=2-2 | LINES=36 ---
P=0002 | X=0089.950-0165.490 | Y=0078.600-0089.760 | 33. Xã Sông Ray
P=0002 | X=0089.950-0171.610 | Y=0096.350-0107.510 | 34. Xã Xuân Đông
P=0002 | X=0089.950-0171.020 | Y=0114.100-0125.260 | 35. Xã Trảng Bom
P=0002 | X=0089.950-0156.590 | Y=0131.850-0143.010 | 36. Xã An Viễn
P=0002 | X=0089.950-0163.260 | Y=0149.600-0160.760 | 37. Xã Bàu Hàm
P=0002 | X=0089.950-0166.580 | Y=0167.350-0178.510 | 38. Xã Bình Minh
P=0002 | X=0089.950-0174.400 | Y=0185.100-0196.260 | 39. Xã Hưng Thịnh
P=0002 | X=0089.950-0163.260 | Y=0202.850-0214.010 | 40. Xã Dầu Giây
P=0002 | X=0089.950-0162.690 | Y=0220.600-0231.760 | 41. Xã Gia Kiệm
P=0002 | X=0089.950-0173.820 | Y=0238.350-0249.510 | 42. Xã Thống Nhất
P=0002 | X=0089.950-0169.380 | Y=0256.100-0267.260 | 43. Xã Định Quán
P=0002 | X=0089.950-0162.160 | Y=0273.850-0285.010 | 44. Xã Phú Vinh
P=0002 | X=0089.950-0153.830 | Y=0291.600-0302.760 | 45. Xã La Ngà
P=0002 | X=0089.950-0160.490 | Y=0309.350-0320.510 | 46. Xã Phú Hòa
P=0002 | X=0089.950-0171.560 | Y=0327.100-0338.260 | 47. Xã Thanh Sơn
P=0002 | X=0089.950-0159.370 | Y=0344.850-0356.010 | 48. Xã Tân Phú
P=0002 | X=0089.950-0149.370 | Y=0362.600-0373.760 | 49. Xã Tà Lài
P=0002 | X=0089.950-0183.230 | Y=0380.350-0391.510 | 50. Xã Nam Cát Tiên
P=0002 | X=0089.950-0161.600 | Y=0398.100-0409.260 | 51. Xã Phú Lâm
P=0002 | X=0089.950-0158.830 | Y=0415.850-0427.010 | 52. Xã Đak Lua
P=0002 | X=0089.950-0148.240 | Y=0433.600-0444.760 | 53. Xã Trị An
P=0002 | X=0089.950-0153.810 | Y=0451.350-0462.510 | 54. Xã Tân An
P=0002 | X=0089.950-0152.710 | Y=0469.100-0480.260 | 55. Xã Phú Lý
P=0002 | X=0089.950-0199.740 | Y=0486.850-0498.010 | 56. Phường Bình Phước
P=0002 | X=0089.950-0192.630 | Y=0504.600-0515.760 | 57. Phường Đồng Xoài
P=0002 | X=0089.950-0195.420 | Y=0522.350-0533.510 | 58. Phường Minh Hưng
P=0002 | X=0089.950-0201.960 | Y=0540.100-0551.260 | 59. Phường Chơn Thành
P=0002 | X=0089.950-0162.700 | Y=0557.850-0569.010 | 60. Xã Nha Bích
P=0002 | X=0089.950-0191.520 | Y=0575.600-0586.760 | 61. Phường Bình Long
P=0002 | X=0089.950-0177.070 | Y=0593.350-0604.510 | 62. Phường An Lộc
P=0002 | X=0089.950-0199.750 | Y=0611.100-0622.260 | 63. Phường Phước Bình
P=0002 | X=0089.950-0201.430 | Y=0628.850-0640.010 | 64. Phường Phước Long
P=0002 | X=0089.950-0167.040 | Y=0646.600-0657.760 | 65. Xã Thuận Lợi
P=0002 | X=0089.950-0155.920 | Y=0664.350-0675.510 | 66. Xã Tân Lợi
P=0002 | X=0089.950-0168.260 | Y=0682.100-0693.260 | 67. Xã Đồng Tâm
P=0002 | X=0089.950-0166.050 | Y=0699.850-0711.010 | 68. Xã Đồng Phú
