TABLE=041 | AREA=Xã Gia Kiệm
--- SEQUENCE=3 | SECTION=agricultural | PAGES=732-940 | LINES=13531 ---
P=0732 | X=0106.600-0425.860 | Y=0078.600-0089.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0732 | X=0106.600-0412.550 | Y=0090.100-0101.260 | Lạc Sơn - Xuân Thiện đoạn từ Giáp ranh xã Gia Kiệm đến Đi vào hết
P=0732 | X=0106.600-0346.490 | Y=0101.600-0112.760 | 2536m có hiện trạng là đường nhựa, bê tông xi măng:
P=0732 | X=0090.050-0338.960 | Y=0119.100-0133.260 | 125 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0732 | X=0457.050-0473.240 | Y=0122.100-0133.260 | 210
P=0732 | X=0505.550-0521.740 | Y=0122.100-0133.260 | 190
P=0732 | X=0106.600-0416.080 | Y=0136.600-0147.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0732 | X=0106.600-0147.510 | Y=0148.100-0159.260 | ≤1.000m.
P=0732 | X=0106.600-0330.820 | Y=0165.600-0176.760 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0732 | X=0106.600-0425.860 | Y=0183.350-0194.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0732 | X=0106.600-0412.550 | Y=0194.850-0206.010 | Lạc Sơn - Xuân Thiện đoạn từ Giáp ranh xã Gia Kiệm đến Đi vào hết
P=0732 | X=0106.600-0346.490 | Y=0206.350-0217.510 | 2536m có hiện trạng là đường nhựa, bê tông xi măng:
P=0732 | X=0090.050-0106.240 | Y=0212.350-0223.510 | 126
P=0732 | X=0457.050-0473.240 | Y=0212.350-0223.510 | 150
P=0732 | X=0505.550-0521.740 | Y=0212.350-0223.510 | 140
P=0732 | X=0106.600-0394.060 | Y=0223.850-0235.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0732 | X=0106.600-0333.850 | Y=0241.350-0252.510 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0732 | X=0338.150-0412.610 | Y=0259.100-0270.260 | Cây xăng Hoàng
P=0732 | X=0090.050-0301.940 | Y=0264.850-0276.010 | 127Đường Lạc Sơn - Xuân Thiện Đoạn 2536m
P=0732 | X=0457.050-0473.240 | Y=0264.850-0276.010 | 410
P=0732 | X=0505.550-0521.740 | Y=0264.850-0276.010 | 350
P=0732 | X=0338.150-0379.520 | Y=0270.600-0281.760 | Minh Việt
P=0732 | X=0106.600-0405.230 | Y=0288.350-0299.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lạc Sơn -
P=0732 | X=0106.600-0411.810 | Y=0299.850-0311.010 | Xuân Thiện đoạn từ Đoạn 2536m đến Cây xăng Hoàng Minh Việt có
P=0732 | X=0106.600-0299.840 | Y=0311.350-0322.510 | hiện trạng là đường nhựa, bê tông xi măng:
P=0732 | X=0090.050-0106.240 | Y=0317.350-0328.510 | 128
P=0732 | X=0457.050-0473.240 | Y=0317.350-0328.510 | 260
P=0732 | X=0505.550-0521.740 | Y=0317.350-0328.510 | 230
P=0732 | X=0106.600-0338.610 | Y=0328.850-0340.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0732 | X=0106.600-0385.570 | Y=0346.350-0357.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0732 | X=0106.600-0405.230 | Y=0364.100-0375.260 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lạc Sơn -
P=0732 | X=0106.600-0411.410 | Y=0375.600-0386.760 | Xuân Thiện đoạn từ Đoạn 2536m đến Cây xăng Hoàng Minh Việt có
P=0732 | X=0106.600-0299.840 | Y=0387.100-0398.260 | hiện trạng là đường nhựa, bê tông xi măng:
P=0732 | X=0090.050-0338.960 | Y=0404.600-0418.760 | 129 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0732 | X=0457.050-0473.240 | Y=0407.600-0418.760 | 210
P=0732 | X=0505.550-0521.740 | Y=0407.600-0418.760 | 190
P=0732 | X=0106.600-0416.080 | Y=0422.100-0433.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0732 | X=0106.600-0147.510 | Y=0433.600-0444.760 | ≤1.000m.
P=0732 | X=0106.600-0330.820 | Y=0451.100-0462.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0732 | X=0106.600-0405.230 | Y=0468.850-0480.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lạc Sơn -
P=0732 | X=0106.600-0411.810 | Y=0480.350-0491.510 | Xuân Thiện đoạn từ Đoạn 2536m đến Cây xăng Hoàng Minh Việt có
P=0732 | X=0106.600-0299.840 | Y=0491.850-0503.010 | hiện trạng là đường nhựa, bê tông xi măng:
P=0732 | X=0090.050-0106.240 | Y=0497.850-0509.010 | 130
P=0732 | X=0457.050-0473.240 | Y=0497.850-0509.010 | 150
P=0732 | X=0505.550-0521.740 | Y=0497.850-0509.010 | 140
P=0732 | X=0106.600-0394.060 | Y=0509.350-0520.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0732 | X=0106.600-0331.180 | Y=0526.850-0538.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0732 | X=0106.600-0425.860 | Y=0544.600-0555.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0732 | X=0106.600-0422.630 | Y=0556.100-0567.260 | Lạc Sơn - Xuân Thiện đoạn từ Đoạn 2536m đến Cây xăng Hoàng Minh
P=0732 | X=0106.600-0333.150 | Y=0567.600-0578.760 | Việt có hiện trạng là đường nhựa, bê tông xi măng:
P=0732 | X=0090.050-0106.240 | Y=0573.600-0584.760 | 131
P=0732 | X=0457.050-0473.240 | Y=0573.600-0584.760 | 260
P=0732 | X=0505.550-0521.740 | Y=0573.600-0584.760 | 230
P=0732 | X=0106.600-0338.610 | Y=0585.100-0596.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0732 | X=0106.600-0385.570 | Y=0602.600-0613.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0732 | X=0106.600-0425.860 | Y=0620.350-0631.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0732 | X=0106.600-0422.630 | Y=0631.850-0643.010 | Lạc Sơn - Xuân Thiện đoạn từ Đoạn 2536m đến Cây xăng Hoàng Minh
P=0732 | X=0106.600-0333.150 | Y=0643.350-0654.510 | Việt có hiện trạng là đường nhựa, bê tông xi măng:
P=0732 | X=0090.050-0338.960 | Y=0660.850-0675.010 | 132 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0732 | X=0457.050-0473.240 | Y=0663.850-0675.010 | 210
P=0732 | X=0505.550-0521.740 | Y=0663.850-0675.010 | 190
P=0732 | X=0106.600-0416.080 | Y=0678.350-0689.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0732 | X=0106.600-0147.510 | Y=0689.850-0701.010 | ≤1.000m.
