TABLE=042 | AREA=Xã Thống Nhất
--- SEQUENCE=3 | SECTION=agricultural | PAGES=941-961 | LINES=1363 ---
P=0941 | X=0111.150-0342.330 | Y=0078.600-0089.760 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0941 | X=0111.150-0417.070 | Y=0096.100-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0941 | X=0111.150-0152.730 | Y=0107.600-0118.760 | ≤1.000m.
P=0941 | X=0111.150-0334.000 | Y=0125.100-0136.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0941 | X=0111.150-0422.630 | Y=0142.850-0154.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 763 đoạn
P=0941 | X=0111.150-0422.100 | Y=0154.350-0165.510 | từ Giáp ranh xã Thống Nhất đến Giáp Trường Tiểu học Võ Thị Sáu có
P=0941 | X=0111.150-0304.390 | Y=0165.850-0177.010 | hiện trạng là đường nhựa, bê tông xi măng:
P=0941 | X=0097.800-0103.360 | Y=0171.850-0183.010 | 4
P=0941 | X=0463.500-0474.620 | Y=0171.850-0183.010 | 90
P=0941 | X=0510.900-0522.020 | Y=0171.850-0183.010 | 50
P=0941 | X=0111.150-0396.490 | Y=0183.350-0194.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0941 | X=0111.150-0334.340 | Y=0200.850-0212.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0941 | X=0111.150-0396.060 | Y=0218.600-0229.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0941 | X=0111.150-0413.160 | Y=0230.100-0241.260 | Đường tỉnh 763 đoạn từ Giáp ranh xã Thống Nhất đến Giáp Trường
P=0941 | X=0111.150-0411.020 | Y=0241.600-0252.760 | Tiểu học Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0941 | X=0097.800-0103.360 | Y=0247.600-0258.760 | 5
P=0941 | X=0457.900-0474.580 | Y=0247.600-0258.760 | 160
P=0941 | X=0505.300-0521.980 | Y=0247.600-0258.760 | 150
P=0941 | X=0111.150-0341.980 | Y=0259.100-0270.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0941 | X=0111.150-0387.810 | Y=0276.600-0287.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0941 | X=0111.150-0396.060 | Y=0294.350-0305.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0941 | X=0111.150-0413.160 | Y=0305.850-0317.010 | Đường tỉnh 763 đoạn từ Giáp ranh xã Thống Nhất đến Giáp Trường
P=0941 | X=0111.150-0411.020 | Y=0317.350-0328.510 | Tiểu học Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0941 | X=0097.800-0342.330 | Y=0334.850-0349.010 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0941 | X=0457.900-0474.580 | Y=0337.850-0349.010 | 130
P=0941 | X=0505.300-0521.980 | Y=0337.850-0349.010 | 100
P=0941 | X=0111.150-0417.070 | Y=0352.350-0363.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0941 | X=0111.150-0152.730 | Y=0363.850-0375.010 | ≤1.000m.
P=0941 | X=0111.150-0334.000 | Y=0381.350-0392.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0941 | X=0111.150-0396.060 | Y=0399.100-0410.260 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0941 | X=0111.150-0413.160 | Y=0410.600-0421.760 | Đường tỉnh 763 đoạn từ Giáp ranh xã Thống Nhất đến Giáp Trường
P=0941 | X=0111.150-0411.020 | Y=0422.100-0433.260 | Tiểu học Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0941 | X=0097.800-0103.360 | Y=0428.100-0439.260 | 7
P=0941 | X=0463.500-0474.620 | Y=0428.100-0439.260 | 90
P=0941 | X=0510.900-0522.020 | Y=0428.100-0439.260 | 50
P=0941 | X=0111.150-0396.490 | Y=0439.600-0450.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
