TABLE=043 | AREA=Xã Định Quán
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5772-5776 | LINES=117 ---
P=5772 | X=0090.100-0381.000 | Y=0086.010-0099.970 | Các đường trong Khu tái định cư xã Phú Túc (cũ)
P=5772 | X=0090.100-0124.430 | Y=0100.010-0113.970 | 3.200
P=5772 | X=0090.100-0173.060 | Y=0142.010-0155.970 | Xã Định Quán
P=5772 | X=0090.100-0097.730 | Y=0184.010-0197.970 | 1
P=5772 | X=0090.100-0399.910 | Y=0198.010-0211.970 | Khu Tái định cư Đồi Nancy (thị trấn Định Quán (cũ))
P=5772 | X=0090.100-0351.640 | Y=0254.010-0267.970 | Các đường trong Khu Tái định cư Đồi Nancy
P=5772 | X=0090.100-0124.430 | Y=0268.010-0281.970 | 1.000
P=5772 | X=0090.100-0097.730 | Y=0296.010-0309.970 | 2
P=5772 | X=0090.100-0448.920 | Y=0310.010-0323.970 | Khu tái định cư - Đường Lý Thái Tổ (thị trấn Định Quán (cũ))
P=5772 | X=0090.100-0400.650 | Y=0366.010-0379.970 | Các đường trong Khu tái định cư - Đường Lý Thái Tổ
P=5772 | X=0090.100-0113.000 | Y=0380.010-0393.970 | 630
P=5772 | X=0090.100-0097.730 | Y=0408.010-0421.970 | 3
P=5772 | X=0090.100-0384.590 | Y=0422.010-0435.970 | Khu tái định cư Lò Gạch (thị trấn Định Quán (cũ))
P=5772 | X=0090.100-0336.320 | Y=0478.010-0491.970 | Các đường trong Khu tái định cư Lò Gạch
P=5772 | X=0090.100-0113.000 | Y=0492.010-0505.970 | 540
P=5772 | X=0090.100-0097.730 | Y=0520.010-0533.970 | 4
P=5772 | X=0090.100-0390.560 | Y=0534.010-0547.970 | Khu dân cư bệnh viện cũ (thị trấn Định Quán (cũ))
P=5772 | X=0090.100-0440.770 | Y=0590.010-0603.970 | Đường Trịnh Hoài Đức, từ đường 17/3 đến đường Gia Canh
P=5772 | X=0090.100-0124.430 | Y=0604.010-0617.970 | 1.600
P=5772 | X=0090.100-0197.070 | Y=0646.010-0659.970 | Các đường còn lại
P=5772 | X=0090.100-0124.430 | Y=0660.010-0673.970 | 1.100
P=5772 | X=0090.100-0097.730 | Y=0688.010-0701.970 | 5
P=5772 | X=0090.100-0461.650 | Y=0702.010-0715.970 | Khu tái định cư 1 và Khu tái định cư 2, thị trấn Định Quán (cũ)
P=5773 | X=0090.100-0200.150 | Y=0114.010-0127.970 | Đường Ngô Quyền
P=5773 | X=0090.100-0094.420 | Y=0156.010-0169.970 | -
P=5773 | X=0090.100-0441.770 | Y=0170.010-0183.970 | Đoạn từ đường Nguyễn Ái Quốc đến đường Trần Hưng Đạo
P=5773 | X=0090.100-0124.430 | Y=0184.010-0197.970 | 4.400
P=5773 | X=0090.100-0094.420 | Y=0212.010-0225.970 | -
P=5773 | X=0090.100-0464.730 | Y=0226.010-0239.970 | Đoạn từ đường Trần Hưng Đạo đến đường Cách Mạng Tháng 8
P=5773 | X=0090.100-0124.430 | Y=0240.010-0253.970 | 2.800
P=5773 | X=0090.100-0223.900 | Y=0282.010-0295.970 | Đường Trần Hưng Đạo
P=5773 | X=0090.100-0094.420 | Y=0324.010-0337.970 | -
P=5773 | X=0090.100-0423.880 | Y=0338.010-0351.970 | Đoạn từ đường Nguyễn Văn Linh đến đường Ngô Quyền
P=5773 | X=0090.100-0124.430 | Y=0352.010-0365.970 | 3.600
P=5773 | X=0090.100-0094.420 | Y=0380.010-0393.970 | -
P=5773 | X=0090.100-0440.980 | Y=0394.010-0407.970 | Đoạn từ đường Ngô Quyền đến đường Cách Mạng Tháng 8
P=5773 | X=0090.100-0124.430 | Y=0408.010-0421.970 | 3.500
P=5773 | X=0090.100-0193.660 | Y=0450.010-0463.970 | Đường 3 Tháng 2
P=5773 | X=0090.100-0094.420 | Y=0492.010-0505.970 | -
P=5773 | X=0090.100-0423.880 | Y=0506.010-0519.970 | Đoạn từ đường Nguyễn Văn Linh đến đường Ngô Quyền
P=5773 | X=0090.100-0124.430 | Y=0520.010-0533.970 | 4.000
P=5773 | X=0090.100-0094.420 | Y=0548.010-0561.970 | -
P=5773 | X=0090.100-0203.450 | Y=0562.010-0575.970 | Đường Chu Văn An
P=5773 | X=0090.100-0124.430 | Y=0576.010-0589.970 | 2.600
P=5773 | X=0090.100-0226.760 | Y=0618.010-0631.970 | Đường Lương Thế Vinh
P=5773 | X=0090.100-0124.430 | Y=0632.010-0645.970 | 2.200
P=5773 | X=0090.100-0229.380 | Y=0674.010-0687.970 | Đường Ngô Thời Nhiệm
P=5773 | X=0090.100-0124.430 | Y=0688.010-0701.970 | 2.200
P=5774 | X=0090.100-0212.310 | Y=0086.010-0099.970 | Đường Mạc Đĩnh Chi
P=5774 | X=0090.100-0124.430 | Y=0100.010-0113.970 | 2.200
P=5774 | X=0090.100-0200.220 | Y=0142.010-0155.970 | Đường Nguyễn Du
P=5774 | X=0090.100-0124.430 | Y=0156.010-0169.970 | 2.200
P=5774 | X=0090.100-0223.030 | Y=0198.010-0211.970 | Đường Lý Thường Kiệt
P=5774 | X=0090.100-0124.430 | Y=0212.010-0225.970 | 2.200
P=5774 | X=0090.100-0501.830 | Y=0254.010-0267.970 | Đường Trần Nhân Tông, đoạn từ Đường Trần Hưng Đạo đến hết ranh
P=5774 | X=0090.100-0401.020 | Y=0268.010-0281.970 | thửa đất số 199, tờ BĐ số 7, thị trấn Định Quán (cũ)
P=5774 | X=0090.100-0124.430 | Y=0282.010-0295.970 | 2.600
P=5774 | X=0090.100-0197.070 | Y=0324.010-0337.970 | Các đường còn lại
P=5774 | X=0090.100-0124.430 | Y=0338.010-0351.970 | 2.000
P=5774 | X=0090.100-0097.730 | Y=0366.010-0379.970 | 6
P=5774 | X=0090.100-0284.300 | Y=0380.010-0393.970 | Khu tái định cư xã Gia Canh (cũ)
P=5774 | X=0090.100-0515.240 | Y=0436.010-0449.970 | Đường Gia Canh, đoạn còn lại, từ Trường Tiểu học Trần Quốc Tuấn đến
P=5774 | X=0090.100-0515.180 | Y=0450.010-0463.970 | hết ranh thửa đất số 199, tờ BĐĐC số 270 về bên trái và hết ranh thửa
P=5774 | X=0090.100-0327.930 | Y=0464.010-0477.970 | đất số 11, tờ BĐĐC số 284 về bên phải)
P=5774 | X=0090.100-0124.430 | Y=0478.010-0491.970 | 1.000
P=5774 | X=0090.100-0197.070 | Y=0520.010-0533.970 | Các đường còn lại
P=5774 | X=0090.100-0113.000 | Y=0534.010-0547.970 | 700
P=5774 | X=0090.100-0162.420 | Y=0576.010-0589.970 | Xã Phú Vinh
P=5774 | X=0090.100-0097.730 | Y=0618.010-0631.970 | 1
P=5774 | X=0090.100-0278.120 | Y=0632.010-0645.970 | Khu tái định cư xã Phú Tân (cũ)
P=5774 | X=0090.100-0263.460 | Y=0688.010-0701.970 | Đường 120 (xã Phú Tân (cũ))
P=5774 | X=0090.100-0113.000 | Y=0702.010-0715.970 | 550
P=5775 | X=0090.100-0197.070 | Y=0100.010-0113.970 | Các đường còn lại
P=5775 | X=0090.100-0113.000 | Y=0114.010-0127.970 | 390
P=5775 | X=0090.100-0097.730 | Y=0142.010-0155.970 | 2
P=5775 | X=0090.100-0255.370 | Y=0156.010-0169.970 | Khu dân cư xã Phú Tân (cũ)
P=5775 | X=0090.100-0263.460 | Y=0212.010-0225.970 | Đường 120 (xã Phú Tân (cũ))
P=5775 | X=0090.100-0113.000 | Y=0226.010-0239.970 | 550
P=5775 | X=0090.100-0197.070 | Y=0268.010-0281.970 | Các đường còn lại
P=5775 | X=0090.100-0113.000 | Y=0282.010-0295.970 | 390
P=5775 | X=0090.100-0151.230 | Y=0324.010-0337.970 | Xã La Ngà
P=5775 | X=0090.100-0097.730 | Y=0366.010-0379.970 | 1
