TABLE=044 | AREA=Xã Phú Vinh
--- SEQUENCE=12 | SECTION=agricultural | PAGES=6013-6013 | LINES=40 ---
P=6013 | X=0090.100-0105.360 | Y=0072.010-0085.970 | 44
P=6013 | X=0090.100-0162.420 | Y=0086.010-0099.970 | Xã Phú Vinh
P=6013 | X=0090.100-0105.360 | Y=0100.010-0113.970 | 40
P=6013 | X=0090.100-0105.360 | Y=0114.010-0127.970 | 40
P=6013 | X=0090.100-0105.360 | Y=0128.010-0141.970 | 20
P=6013 | X=0090.100-0105.360 | Y=0142.010-0155.970 | 20
P=6013 | X=0090.100-0105.360 | Y=0170.010-0183.970 | 45
P=6013 | X=0090.100-0151.230 | Y=0184.010-0197.970 | Xã La Ngà
P=6013 | X=0090.100-0105.360 | Y=0198.010-0211.970 | 40
P=6013 | X=0090.100-0105.360 | Y=0212.010-0225.970 | 40
P=6013 | X=0090.100-0105.360 | Y=0226.010-0239.970 | 20
P=6013 | X=0090.100-0105.360 | Y=0240.010-0253.970 | 20
P=6013 | X=0090.100-0105.360 | Y=0268.010-0281.970 | 46
P=6013 | X=0090.100-0159.390 | Y=0282.010-0295.970 | Xã Phú Hòa
P=6013 | X=0090.100-0105.360 | Y=0296.010-0309.970 | 40
P=6013 | X=0090.100-0105.360 | Y=0310.010-0323.970 | 40
P=6013 | X=0090.100-0105.360 | Y=0324.010-0337.970 | 20
P=6013 | X=0090.100-0105.360 | Y=0338.010-0351.970 | 20
P=6013 | X=0090.100-0105.360 | Y=0366.010-0379.970 | 47
P=6013 | X=0090.100-0173.260 | Y=0380.010-0393.970 | Xã Thanh Sơn
P=6013 | X=0090.100-0105.360 | Y=0394.010-0407.970 | 20
P=6013 | X=0090.100-0105.360 | Y=0408.010-0421.970 | 20
P=6013 | X=0090.100-0105.360 | Y=0422.010-0435.970 | 20
P=6013 | X=0090.100-0105.360 | Y=0436.010-0449.970 | 20
P=6013 | X=0090.100-0105.360 | Y=0464.010-0477.970 | 48
P=6013 | X=0090.100-0157.960 | Y=0478.010-0491.970 | Xã Tân Phú
P=6013 | X=0090.100-0105.360 | Y=0492.010-0505.970 | 30
P=6013 | X=0090.100-0105.360 | Y=0506.010-0519.970 | 30
P=6013 | X=0090.100-0105.360 | Y=0520.010-0533.970 | 25
P=6013 | X=0090.100-0105.360 | Y=0534.010-0547.970 | 25
P=6013 | X=0090.100-0105.360 | Y=0562.010-0575.970 | 49
P=6013 | X=0090.100-0145.290 | Y=0576.010-0589.970 | Xã Tà Lài
P=6013 | X=0090.100-0105.360 | Y=0590.010-0603.970 | 25
P=6013 | X=0090.100-0105.360 | Y=0604.010-0617.970 | 25
P=6013 | X=0090.100-0105.360 | Y=0618.010-0631.970 | 20
P=6013 | X=0090.100-0105.360 | Y=0632.010-0645.970 | 20
P=6013 | X=0090.100-0105.360 | Y=0660.010-0673.970 | 50
P=6013 | X=0090.100-0191.130 | Y=0674.010-0687.970 | Xã Nam Cát Tiên
P=6013 | X=0090.100-0105.360 | Y=0688.010-0701.970 | 25
P=6013 | X=0090.100-0105.360 | Y=0702.010-0715.970 | 25
