TABLE=045 | AREA=Xã La Ngà
--- SEQUENCE=3 | SECTION=agricultural | PAGES=962-1251 | LINES=19200 ---
P=0962 | X=0111.150-0342.330 | Y=0078.600-0089.760 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0962 | X=0111.150-0417.070 | Y=0096.100-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0962 | X=0111.150-0152.730 | Y=0107.600-0118.760 | ≤1.000m.
P=0962 | X=0111.150-0334.000 | Y=0125.100-0136.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0962 | X=0111.150-0415.980 | Y=0142.850-0154.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 101 đoạn từ
P=0962 | X=0111.150-0415.560 | Y=0154.350-0165.510 | Giáp ranh xã La Ngà đến Tu viện Thánh Gioan Granda có hiện trạng
P=0962 | X=0111.150-0257.170 | Y=0165.850-0177.010 | là đường nhựa, bê tông xi măng:
P=0962 | X=0092.200-0108.880 | Y=0171.850-0183.010 | 165
P=0962 | X=0463.500-0474.620 | Y=0171.850-0183.010 | 80
P=0962 | X=0510.900-0522.020 | Y=0171.850-0183.010 | 50
P=0962 | X=0111.150-0396.490 | Y=0183.350-0194.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0962 | X=0111.150-0334.340 | Y=0200.850-0212.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0962 | X=0111.150-0396.060 | Y=0218.600-0229.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0962 | X=0111.150-0409.940 | Y=0230.100-0241.260 | Đường 101 đoạn từ Giáp ranh xã La Ngà đến Tu viện Thánh Gioan
P=0962 | X=0111.150-0353.840 | Y=0241.600-0252.760 | Granda có hiện trạng là đường nhựa, bê tông xi măng:
P=0962 | X=0092.200-0108.880 | Y=0247.600-0258.760 | 166
P=0962 | X=0457.900-0474.580 | Y=0247.600-0258.760 | 150
P=0962 | X=0505.300-0521.980 | Y=0247.600-0258.760 | 130
P=0962 | X=0111.150-0341.980 | Y=0259.100-0270.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
