TABLE=046 | AREA=Xã Phú Hòa
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5777-5780 | LINES=93 ---
P=5777 | X=0090.100-0124.430 | Y=0072.010-0085.970 | 1.300
P=5777 | X=0090.100-0159.390 | Y=0114.010-0127.970 | Xã Phú Hòa
P=5777 | X=0090.100-0097.730 | Y=0156.010-0169.970 | 1
P=5777 | X=0090.100-0210.430 | Y=0170.010-0183.970 | Khu tái định cư ấp 3
P=5777 | X=0090.100-0283.870 | Y=0226.010-0239.970 | Các đường trong Khu tái định cư
P=5777 | X=0090.100-0124.430 | Y=0240.010-0253.970 | 1.500
P=5777 | X=0090.100-0173.260 | Y=0282.010-0295.970 | Xã Thanh Sơn
P=5777 | X=0090.100-0097.730 | Y=0324.010-0337.970 | 1
P=5777 | X=0090.100-0329.860 | Y=0338.010-0351.970 | Khu tái định cư trung tâm xã Thanh Sơn
P=5777 | X=0090.100-0433.500 | Y=0394.010-0407.970 | Các đường trong Khu tái định cư trung tâm xã Thanh Sơn
P=5777 | X=0090.100-0113.000 | Y=0408.010-0421.970 | 430
P=5777 | X=0090.100-0097.730 | Y=0436.010-0449.970 | 2
P=5777 | X=0090.100-0347.420 | Y=0450.010-0463.970 | Khu tái định cư Làng Cá Bè (xã Thanh Sơn)
P=5777 | X=0090.100-0355.850 | Y=0506.010-0519.970 | Các đường trong Khu tái định cư Làng Cá Bè
P=5777 | X=0090.100-0113.000 | Y=0520.010-0533.970 | 120
P=5777 | X=0090.100-0157.960 | Y=0562.010-0575.970 | Xã Tân Phú
P=5777 | X=0090.100-0097.730 | Y=0604.010-0617.970 | 1
P=5777 | X=0090.100-0364.220 | Y=0618.010-0631.970 | Khu tái định cư (9,7ha) (thị trấn Tân Phú (cũ))
P=5777 | X=0090.100-0500.520 | Y=0674.010-0687.970 | Đường D1 đi khu tái định cư 9,7 ha (từ đường Phạm Ngọc Thạch đến
P=5777 | X=0090.100-0161.670 | Y=0688.010-0701.970 | Nguyễn Du)
P=5777 | X=0090.100-0124.430 | Y=0702.010-0715.970 | 1.600
P=5778 | X=0090.100-0483.600 | Y=0100.010-0113.970 | Đường Hùng Vương (từ đường Phạm Ngọc Thạch đến Nguyễn Du)
P=5778 | X=0090.100-0124.430 | Y=0114.010-0127.970 | 2.600
P=5778 | X=0090.100-0506.730 | Y=0156.010-0169.970 | Đường Phạm Ngọc Thạch (từ Quốc lộ 20 đến hết ranh thửa đất số 83,
P=5778 | X=0090.100-0503.290 | Y=0170.010-0183.970 | tờ BĐĐC số 2 về bên phải và hết ranh thửa đất số 508, tờ BĐĐC số 2
P=5778 | X=0090.100-0291.000 | Y=0184.010-0197.970 | về bên trái, thị trấn Tân Phú (cũ))
P=5778 | X=0090.100-0124.430 | Y=0198.010-0211.970 | 2.900
P=5778 | X=0090.100-0514.940 | Y=0240.010-0253.970 | Đường Nguyễn Du (Nguyễn Tất Thành đến hết ranh thửa đất số 113 tờ
