TABLE=047 | AREA=Xã Thanh Sơn
--- SEQUENCE=11 | SECTION=agricultural | PAGES=5976-5976 | LINES=27 ---
P=5976 | X=0090.100-0396.150 | Y=0100.010-0113.970 | Đường Thanh Sơn (Phía rẽ phải từ ngã ba Bến phà)
P=5976 | X=0090.100-0200.470 | Y=0114.010-0127.970 | Ngã ba đường mới
P=5976 | X=0090.100-0521.440 | Y=0128.010-0141.970 | Bên trái, đến hết ranh thửa đất số 1, tờ BĐĐC số 52, xã Thanh Sơn; Bên
P=5976 | X=0090.100-0484.230 | Y=0142.010-0155.970 | phải, đến hết ranh thửa đất số 56, tờ BĐĐC số 124, xã Thanh Sơn
P=5976 | X=0090.100-0396.150 | Y=0184.010-0197.970 | Đường Thanh Sơn (Phía rẽ phải từ ngã ba Bến phà)
P=5976 | X=0090.100-0200.470 | Y=0198.010-0211.970 | Ngã ba đường mới
P=5976 | X=0090.100-0445.110 | Y=0212.010-0225.970 | Trường Tiểu học Liên Sơn (chỉ áp dụng đối với đường nhựa)
P=5976 | X=0090.100-0390.580 | Y=0254.010-0267.970 | Đường Thanh Sơn (Phía rẽ trái từ ngã ba Bến phà)
P=5976 | X=0090.100-0186.150 | Y=0268.010-0281.970 | Ngã ba Bến phà
P=5976 | X=0090.100-0166.590 | Y=0282.010-0295.970 | Cầu Thiết Kế
P=5976 | X=0090.100-0390.580 | Y=0324.010-0337.970 | Đường Thanh Sơn (Phía rẽ trái từ ngã ba Bến phà)
P=5976 | X=0090.100-0166.590 | Y=0338.010-0351.970 | Cầu Thiết Kế
P=5976 | X=0090.100-0185.480 | Y=0352.010-0365.970 | Ngã ba Cây Sao
P=5976 | X=0090.100-0390.580 | Y=0394.010-0407.970 | Đường Thanh Sơn (Phía rẽ trái từ ngã ba Bến phà)
P=5976 | X=0090.100-0185.480 | Y=0408.010-0421.970 | Ngã ba Cây Sao
P=5976 | X=0090.100-0504.290 | Y=0422.010-0435.970 | Hết ranh thửa đất số 17, tờ BĐĐC số 146 về bên trái và đến hết ranh
