TABLE=049 | AREA=Xã Tà Lài
--- SEQUENCE=11 | SECTION=agricultural | PAGES=5977-5985 | LINES=251 ---
P=5977 | X=0090.100-0307.140 | Y=0072.010-0085.970 | Hết trường tiểu học Phạm Văn Đồng
P=5977 | X=0090.100-0169.140 | Y=0114.010-0127.970 | Đường Tà Lài
P=5977 | X=0090.100-0307.140 | Y=0128.010-0141.970 | Hết trường tiểu học Phạm Văn Đồng
P=5977 | X=0090.100-0206.800 | Y=0142.010-0155.970 | Giáp ranh xã Tà Lài
P=5977 | X=0090.100-0485.890 | Y=0184.010-0197.970 | Đường từ ngã 3 đi bến đò Phú Tân đến ngã ba giáp ranh xã Tà Lài
P=5977 | X=0090.100-0417.190 | Y=0226.010-0239.970 | Đường chợ Phú Lộc đi xã Phú Tân huyện Định Quán cũ
P=5977 | X=0090.100-0125.460 | Y=0240.010-0253.970 | Ngã 3
P=5977 | X=0090.100-0346.690 | Y=0254.010-0267.970 | Bến đò Phú Tân đến giáp ranh xã Phú Vinh
P=5977 | X=0090.100-0424.680 | Y=0296.010-0309.970 | Đoạn giao từ đường Tà Lài đến ngã 3 đi bến đò Phú Tân
P=5977 | X=0090.100-0249.080 | Y=0338.010-0351.970 | Đường Phú Lộc - Phú Xuân
P=5977 | X=0090.100-0169.140 | Y=0352.010-0365.970 | Đường Tà Lài
P=5977 | X=0090.100-0263.390 | Y=0366.010-0379.970 | Đường Phú Xuân - Núi Tượng
P=5977 | X=0090.100-0263.390 | Y=0408.010-0421.970 | Đường Phú Xuân - Núi Tượng
P=5977 | X=0090.100-0249.080 | Y=0422.010-0435.970 | Đường Phú Lộc - Phú Xuân
P=5977 | X=0090.100-0221.520 | Y=0436.010-0449.970 | Ngã ba đi xã Phú Lâm
P=5977 | X=0090.100-0263.390 | Y=0478.010-0491.970 | Đường Phú Xuân - Núi Tượng
P=5977 | X=0090.100-0249.080 | Y=0492.010-0505.970 | Đường Phú Lộc - Phú Xuân
P=5977 | X=0090.100-0506.880 | Y=0506.010-0519.970 | Hết ranh thửa đất số 1, tờ BĐĐC số 103 về bên phải và hết ranh thửa
P=5977 | X=0090.100-0310.040 | Y=0520.010-0533.970 | đất số 5, tờ BĐĐC số 103 về bên trái
P=5977 | X=0090.100-0263.390 | Y=0562.010-0575.970 | Đường Phú Xuân - Núi Tượng
P=5977 | X=0090.100-0249.080 | Y=0576.010-0589.970 | Đường Phú Lộc - Phú Xuân
P=5977 | X=0090.100-0506.880 | Y=0590.010-0603.970 | Hết ranh thửa đất số 2, tờ BĐĐC số 101 về bên phải và hết ranh thửa
P=5977 | X=0090.100-0317.680 | Y=0604.010-0617.970 | đất số 69, tờ BĐĐC số 112 về bên trái
P=5977 | X=0090.100-0266.050 | Y=0646.010-0659.970 | Đường Phú Xuân - Thanh Sơn
P=5977 | X=0090.100-0177.240 | Y=0660.010-0673.970 | Chợ Ngọc Lâm
P=5977 | X=0090.100-0222.930 | Y=0674.010-0687.970 | Giáp ranh xã Phú Lâm
P=5978 | X=0090.100-0220.460 | Y=0072.010-0085.970 | Đường Chợ Ngọc Lâm
P=5978 | X=0090.100-0154.580 | Y=0086.010-0099.970 | Quốc lộ 20
P=5978 | X=0090.100-0263.390 | Y=0100.010-0113.970 | Đường Phú Xuân - Núi Tượng
P=5978 | X=0090.100-0222.160 | Y=0142.010-0155.970 | Đường số 1 Ngọc Lâm
P=5978 | X=0090.100-0154.580 | Y=0156.010-0169.970 | Quốc lộ 20
P=5978 | X=0090.100-0218.670 | Y=0170.010-0183.970 | Đường chợ Ngọc Lâm
P=5978 | X=0090.100-0196.530 | Y=0212.010-0225.970 | Đường Thọ Lâm 3
P=5978 | X=0090.100-0154.580 | Y=0226.010-0239.970 | Quốc lộ 20
P=5978 | X=0090.100-0491.090 | Y=0240.010-0253.970 | Hết ranh thửa đất số 203, tờ BĐĐC số 178 về bên phải và hết ranh
P=5978 | X=0090.100-0356.360 | Y=0254.010-0267.970 | thửa đất số 204, tờ BĐĐC số 178 về bên trái
P=5978 | X=0090.100-0154.580 | Y=0296.010-0309.970 | Quốc lộ 20
P=5978 | X=0090.100-0314.140 | Y=0310.010-0323.970 | Giáp ranh xã Phú Vinh và xã Phú Hòa
P=5978 | X=0090.100-0362.370 | Y=0324.010-0337.970 | Hết Trường Tiểu học Nguyễn Thị Định cơ sở 2
P=5978 | X=0090.100-0154.580 | Y=0366.010-0379.970 | Quốc lộ 20
P=5978 | X=0090.100-0362.370 | Y=0380.010-0393.970 | Hết Trường Tiểu học Nguyễn Thị Định cơ sở 2
P=5978 | X=0090.100-0253.830 | Y=0394.010-0407.970 | Hết cây xăng (thuộc khu 2)
