TABLE=050 | AREA=Xã Nam Cát Tiên
--- SEQUENCE=11 | SECTION=agricultural | PAGES=5986-5988 | LINES=84 ---
P=5986 | X=0090.100-0299.630 | Y=0072.010-0085.970 | Đường Phú Lập đi xã Nam Cát Tiên
P=5986 | X=0090.100-0171.660 | Y=0086.010-0099.970 | Đường ấp 2-4
P=5986 | X=0090.100-0252.640 | Y=0100.010-0113.970 | Giáp ranh xã Nam Cát Tiên
P=5986 | X=0090.100-0171.660 | Y=0142.010-0155.970 | Đường ấp 2-4
P=5986 | X=0090.100-0169.140 | Y=0156.010-0169.970 | Đường Tà Lài
P=5986 | X=0090.100-0281.390 | Y=0170.010-0183.970 | Đường Phú Lập đi Nam Cát Tiên
P=5986 | X=0090.100-0169.140 | Y=0212.010-0225.970 | Đường Tà Lài
P=5986 | X=0090.100-0219.470 | Y=0226.010-0239.970 | Giáp ranh xã Tân Phú
P=5986 | X=0090.100-0219.000 | Y=0240.010-0253.970 | Ngã ba chùa Bửu Tân
P=5986 | X=0090.100-0169.140 | Y=0282.010-0295.970 | Đường Tà Lài
P=5986 | X=0090.100-0219.000 | Y=0296.010-0309.970 | Ngã ba chùa Bửu Tân
P=5986 | X=0090.100-0292.530 | Y=0310.010-0323.970 | Đường Km12 (cổng văn hóa ấp 2)
P=5986 | X=0090.100-0169.140 | Y=0352.010-0365.970 | Đường Tà Lài
P=5986 | X=0090.100-0292.530 | Y=0366.010-0379.970 | Đường Km12 (cổng văn hóa ấp 2)
P=5986 | X=0090.100-0171.660 | Y=0380.010-0393.970 | Đường ấp 2-4
P=5986 | X=0090.100-0169.140 | Y=0422.010-0435.970 | Đường Tà Lài
P=5986 | X=0090.100-0171.660 | Y=0436.010-0449.970 | Đường ấp 2-4
P=5986 | X=0090.100-0171.660 | Y=0450.010-0463.970 | Đường ấp 3-4
P=5986 | X=0090.100-0169.140 | Y=0492.010-0505.970 | Đường Tà Lài
P=5986 | X=0090.100-0171.660 | Y=0506.010-0519.970 | Đường ấp 3-4
P=5986 | X=0090.100-0179.320 | Y=0520.010-0533.970 | Sông Đồng Nai
P=5986 | X=0090.100-0263.390 | Y=0562.010-0575.970 | Đường Phú Xuân - Núi Tượng
P=5986 | X=0090.100-0340.590 | Y=0576.010-0589.970 | Ngã ba trường Trung học cơ sở Núi Tượng
