TABLE=051 | AREA=Xã Phú Lâm
--- SEQUENCE=11 | SECTION=agricultural | PAGES=5989-5992 | LINES=113 ---
P=5989 | X=0090.100-0161.420 | Y=0072.010-0085.970 | Xã Phú Lâm
P=5989 | X=0090.100-0266.050 | Y=0142.010-0155.970 | Đường Phú Xuân - Thanh Sơn
P=5989 | X=0090.100-0219.470 | Y=0156.010-0169.970 | Giáp ranh xã Tân Phú
P=5989 | X=0090.100-0261.000 | Y=0170.010-0183.970 | Đường Phú Lâm - Thanh Sơn
P=5989 | X=0090.100-0231.400 | Y=0212.010-0225.970 | Đường nhà thờ Kim Lân
P=5989 | X=0090.100-0154.580 | Y=0226.010-0239.970 | Quốc lộ 20
P=5989 | X=0090.100-0252.640 | Y=0240.010-0253.970 | Giáp ranh xã Nam Cát Tiên
P=5989 | X=0090.100-0154.580 | Y=0282.010-0295.970 | Quốc lộ 20
P=5989 | X=0090.100-0219.470 | Y=0296.010-0309.970 | Giáp ranh xã Tân Phú
P=5989 | X=0090.100-0260.770 | Y=0310.010-0323.970 | Ngã tư Cây Xoài xã Phú Lâm
P=5989 | X=0090.100-0154.580 | Y=0352.010-0365.970 | Quốc lộ 20
P=5989 | X=0090.100-0260.770 | Y=0366.010-0379.970 | Ngã tư Cây Xoài xã Phú Lâm
P=5989 | X=0090.100-0268.090 | Y=0380.010-0393.970 | Ngã tư Cây Dừa (xã Phú Lâm)
P=5989 | X=0090.100-0154.580 | Y=0422.010-0435.970 | Quốc lộ 20
P=5989 | X=0090.100-0268.090 | Y=0436.010-0449.970 | Ngã tư Cây Dừa (xã Phú Lâm)
P=5989 | X=0090.100-0238.690 | Y=0450.010-0463.970 | Hẻm SONY (xã Phú Lâm)
P=5989 | X=0090.100-0154.580 | Y=0492.010-0505.970 | Quốc lộ 20
P=5989 | X=0090.100-0238.690 | Y=0506.010-0519.970 | Hẻm SONY (xã Phú Lâm)
P=5989 | X=0090.100-0181.860 | Y=0520.010-0533.970 | Đường Phú Yên
P=5989 | X=0090.100-0154.580 | Y=0562.010-0575.970 | Quốc lộ 20
P=5989 | X=0090.100-0181.860 | Y=0576.010-0589.970 | Đường Phú Yên
P=5989 | X=0090.100-0208.450 | Y=0590.010-0603.970 | Đường Phú Thắng 2
P=5989 | X=0090.100-0154.580 | Y=0632.010-0645.970 | Quốc lộ 20
P=5989 | X=0090.100-0208.450 | Y=0646.010-0659.970 | Đường Phú Thắng 2
P=5989 | X=0090.100-0179.580 | Y=0660.010-0673.970 | Đường Km 138
P=5989 | X=0090.100-0154.580 | Y=0702.010-0715.970 | Quốc lộ 20
P=5990 | X=0090.100-0179.580 | Y=0072.010-0085.970 | Đường Km 138
P=5990 | X=0090.100-0378.950 | Y=0086.010-0099.970 | Hết ranh xã Phú Lâm (giáp ranh tỉnh Lâm Đồng)
P=5990 | X=0090.100-0179.580 | Y=0128.010-0141.970 | Đường Km 138
P=5990 | X=0090.100-0154.580 | Y=0142.010-0155.970 | Quốc lộ 20
P=5990 | X=0090.100-0241.100 | Y=0156.010-0169.970 | Giáp ranh tỉnh Lâm Đồng
P=5990 | X=0090.100-0176.900 | Y=0198.010-0211.970 | Đường Phú Lợi
P=5990 | X=0090.100-0154.580 | Y=0212.010-0225.970 | Quốc lộ 20
P=5990 | X=0090.100-0241.100 | Y=0226.010-0239.970 | Giáp ranh tỉnh Lâm Đồng
P=5990 | X=0090.100-0208.450 | Y=0268.010-0281.970 | Đường Phú Thắng 2
P=5990 | X=0090.100-0154.580 | Y=0282.010-0295.970 | Quốc lộ 20
