TABLE=054 | AREA=Xã Tân An
--- SEQUENCE=2 | SECTION=agricultural | PAGES=192-197 | LINES=389 ---
P=0192 | X=0115.350-0346.530 | Y=0078.850-0090.010 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0192 | X=0115.350-0421.270 | Y=0096.350-0107.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0192 | X=0115.350-0156.930 | Y=0107.850-0119.010 | ≤1.000m.
P=0192 | X=0115.350-0338.200 | Y=0125.350-0136.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0192 | X=0115.350-0401.820 | Y=0143.350-0154.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 768
P=0192 | X=0115.350-0423.030 | Y=0154.850-0166.010 | đoạn từ Đường Đoàn Văn Cự đến Giáp ranh xã Tân An có hiện trạng
P=0192 | X=0115.350-0261.370 | Y=0166.350-0177.510 | là đường nhựa, bê tông xi măng:
P=0192 | X=0094.250-0110.930 | Y=0172.350-0183.510 | 207
P=0192 | X=0445.650-0462.330 | Y=0172.350-0183.510 | 290
P=0192 | X=0505.200-0521.880 | Y=0172.350-0183.510 | 180
P=0192 | X=0115.350-0400.690 | Y=0183.850-0195.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0192 | X=0115.350-0338.540 | Y=0201.350-0212.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0192 | X=0115.350-0400.260 | Y=0219.350-0230.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0192 | X=0115.350-0420.180 | Y=0230.850-0242.010 | Đường tỉnh 768 đoạn từ Đường Đoàn Văn Cự đến Giáp ranh xã Tân
P=0192 | X=0115.350-0336.910 | Y=0242.350-0253.510 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=0192 | X=0094.250-0110.930 | Y=0248.350-0259.510 | 208
P=0192 | X=0445.650-0462.330 | Y=0248.350-0259.510 | 500
P=0192 | X=0505.200-0521.880 | Y=0248.350-0259.510 | 330
P=0192 | X=0115.350-0346.180 | Y=0259.850-0271.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0192 | X=0115.350-0392.010 | Y=0277.350-0288.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0192 | X=0115.350-0400.260 | Y=0295.350-0306.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0192 | X=0115.350-0420.180 | Y=0306.850-0318.010 | Đường tỉnh 768 đoạn từ Đường Đoàn Văn Cự đến Giáp ranh xã Tân
P=0192 | X=0115.350-0336.910 | Y=0318.350-0329.510 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=0192 | X=0094.250-0346.530 | Y=0335.850-0350.010 | 209 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0192 | X=0445.650-0462.330 | Y=0338.850-0350.010 | 400
P=0192 | X=0505.200-0521.880 | Y=0338.850-0350.010 | 260
P=0192 | X=0115.350-0421.270 | Y=0353.350-0364.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0192 | X=0115.350-0156.930 | Y=0364.850-0376.010 | ≤1.000m.
P=0192 | X=0115.350-0338.200 | Y=0382.350-0393.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0192 | X=0115.350-0400.260 | Y=0400.350-0411.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0192 | X=0115.350-0420.180 | Y=0411.850-0423.010 | Đường tỉnh 768 đoạn từ Đường Đoàn Văn Cự đến Giáp ranh xã Tân
P=0192 | X=0115.350-0336.910 | Y=0423.350-0434.510 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=0192 | X=0094.250-0110.930 | Y=0429.350-0440.510 | 210
P=0192 | X=0445.650-0462.330 | Y=0429.350-0440.510 | 290
P=0192 | X=0505.200-0521.880 | Y=0429.350-0440.510 | 180
P=0192 | X=0115.350-0400.690 | Y=0440.850-0452.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0192 | X=0115.350-0341.320 | Y=0458.350-0469.510 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0192 | X=0115.350-0174.170 | Y=0476.350-0487.510 | Đường Bưng
P=0192 | X=0094.250-0110.930 | Y=0482.100-0493.260 | 211
