TABLE=057 | AREA=Phường Đồng Xoài
--- SEQUENCE=4 | SECTION=agricultural | PAGES=1945-1957 | LINES=1440 ---
P=1945 | X=0121.700-0248.840 | Y=0078.600-0089.760 | Các tuyến đường giao thông
P=1945 | X=0121.700-0244.380 | Y=0090.100-0101.260 | còn lại trên địa bàn phường
P=1945 | X=0097.500-0300.750 | Y=0101.600-0112.760 | 691 đã được đầu tư mặt đường Toàn tuyến
P=1945 | X=0414.850-0431.530 | Y=0101.600-0112.760 | 370
P=1945 | X=0459.500-0476.180 | Y=0101.600-0112.760 | 295
P=1945 | X=0505.300-0521.980 | Y=0101.600-0112.760 | 175
P=1945 | X=0121.700-0248.940 | Y=0113.100-0124.260 | nhựa, bê tông xi măng có bề
P=1945 | X=0121.700-0234.280 | Y=0124.600-0135.760 | rộng mặt đường dưới 4m
P=1945 | X=0121.700-0248.840 | Y=0142.350-0153.510 | Các tuyến đường giao thông
P=1945 | X=0121.700-0244.380 | Y=0153.850-0165.010 | còn lại trên địa bàn phường
P=1945 | X=0121.700-0222.190 | Y=0165.350-0176.510 | chưa được đầu tư mặt
P=1945 | X=0097.500-0114.180 | Y=0171.100-0182.260 | 692
P=1945 | X=0250.750-0300.750 | Y=0171.100-0182.260 | Toàn tuyến
P=1945 | X=0414.850-0431.530 | Y=0171.100-0182.260 | 370
P=1945 | X=0459.500-0476.180 | Y=0171.100-0182.260 | 295
P=1945 | X=0505.300-0521.980 | Y=0171.100-0182.260 | 175
P=1945 | X=0121.700-0226.630 | Y=0176.850-0188.010 | đường nhựa, bê tông xi
P=1945 | X=0121.700-0248.830 | Y=0188.350-0199.510 | măng có bề rộng mặt đường
P=1945 | X=0121.700-0159.380 | Y=0199.850-0211.010 | dưới 4m
P=1945 | X=0090.100-0198.220 | Y=0217.600-0228.760 | 57. Phường Đồng Xoài
P=1945 | X=0255.350-0315.740 | Y=0235.350-0246.510 | Đoạn đường
P=1945 | X=0407.650-0480.010 | Y=0235.350-0246.510 | Giá đất Giá đất
P=1945 | X=0370.700-0404.560 | Y=0241.100-0252.260 | Giá đất
P=1945 | X=0485.250-0519.110 | Y=0241.100-0252.260 | Giá đất
P=1945 | X=0411.850-0437.370 | Y=0246.850-0258.010 | trồng
P=1945 | X=0452.550-0473.620 | Y=0246.850-0258.010 | nuôi
P=1945 | X=0120.550-0197.020 | Y=0252.600-0263.760 | Tên đường giao
P=1945 | X=0374.850-0400.370 | Y=0252.600-0263.760 | trồng
P=1945 | X=0490.550-0513.880 | Y=0252.600-0263.760 | rừng
P=1945 | X=0097.050-0109.250 | Y=0258.350-0269.510 | TT
P=1945 | X=0416.300-0432.960 | Y=0258.350-0269.510 | cây
P=1945 | X=0450.350-0475.870 | Y=0258.350-0269.510 | trồng
P=1945 | X=0144.950-0172.680 | Y=0264.100-0275.260 | thông
P=1945 | X=0370.700-0404.580 | Y=0264.100-0275.260 | cây lâu
P=1945 | X=0493.600-0510.820 | Y=0264.100-0275.260 | sản
P=1945 | X=0220.950-0265.920 | Y=0267.200-0278.360 | Điểm đầu
P=1945 | X=0303.800-0351.570 | Y=0267.200-0278.360 | Điểm cuối
P=1945 | X=0412.650-0436.510 | Y=0269.850-0281.010 | hằng
P=1945 | X=0452.550-0473.640 | Y=0269.850-0281.010 | thủy
P=1945 | X=0377.350-0397.900 | Y=0275.600-0286.760 | năm
P=1945 | X=0491.950-0512.500 | Y=0275.600-0286.760 | xuất
P=1945 | X=0414.350-0434.900 | Y=0281.350-0292.510 | năm
P=1945 | X=0454.500-0471.700 | Y=0281.350-0292.510 | sản
P=1945 | X=0285.550-0357.750 | Y=0299.100-0310.260 | Hết đoạn có giải
P=1945 | X=0285.550-0357.260 | Y=0310.600-0321.760 | phân cách cứng
P=1945 | X=0201.300-0283.440 | Y=0316.350-0327.510 | Giáp ranh phường
P=1945 | X=0100.350-0105.910 | Y=0322.100-0333.260 | 1
P=1945 | X=0116.300-0198.980 | Y=0322.100-0333.260 | Đường Quốc lộ 14
P=1945 | X=0285.550-0366.670 | Y=0322.100-0333.260 | (thửa đất số 61 và
P=1945 | X=0388.800-0405.480 | Y=0322.100-0333.260 | 800
P=1945 | X=0427.100-0443.780 | Y=0322.100-0333.260 | 640
P=1945 | X=0465.800-0482.480 | Y=0322.100-0333.260 | 380
P=1945 | X=0510.900-0522.020 | Y=0322.100-0333.260 | 39
P=1945 | X=0201.300-0255.080 | Y=0327.850-0339.010 | Bình Phước
P=1945 | X=0285.550-0362.130 | Y=0333.600-0344.760 | thửa đất số 19 tờ
P=1945 | X=0285.550-0346.670 | Y=0345.100-0356.260 | bản đồ số 47)
P=1945 | X=0285.550-0358.770 | Y=0362.850-0374.010 | Hẻm vào trường
P=1945 | X=0201.300-0273.520 | Y=0368.600-0379.760 | Hết đoạn có giải
P=1945 | X=0285.550-0343.870 | Y=0374.350-0385.510 | Tiểu học Tân
P=1945 | X=0201.300-0273.010 | Y=0380.100-0391.260 | phân cách cứng
P=1945 | X=0285.550-0365.550 | Y=0385.850-0397.010 | Thành và phía đối
P=1945 | X=0100.350-0105.910 | Y=0391.600-0402.760 | 2
P=1945 | X=0116.300-0282.420 | Y=0391.600-0402.760 | Đường Quốc lộ 14 (thửa đất số 61 và
P=1945 | X=0388.800-0405.480 | Y=0391.600-0402.760 | 800
P=1945 | X=0427.100-0443.780 | Y=0391.600-0402.760 | 640
P=1945 | X=0465.800-0482.480 | Y=0391.600-0402.760 | 380
P=1945 | X=0510.900-0522.020 | Y=0391.600-0402.760 | 39
P=1945 | X=0285.550-0361.120 | Y=0397.350-0408.510 | diện (thửa đất số
P=1945 | X=0201.300-0277.950 | Y=0403.100-0414.260 | thửa đất số 19 tờ
P=1945 | X=0285.550-0358.200 | Y=0408.850-0420.010 | 64, tờ bản đồ số
P=1945 | X=0201.300-0262.420 | Y=0414.600-0425.760 | bản đồ số 47)
P=1945 | X=0285.550-0300.000 | Y=0420.350-0431.510 | 75)
P=1945 | X=0285.550-0365.520 | Y=0438.100-0449.260 | Hết ranh phía Tây
P=1945 | X=0201.300-0274.520 | Y=0443.850-0455.010 | Hẻm vào trường
P=1945 | X=0285.550-0361.680 | Y=0449.600-0460.760 | Ủy ban nhân dân
P=1945 | X=0201.300-0259.620 | Y=0455.350-0466.510 | Tiểu học Tân
P=1945 | X=0285.550-0360.540 | Y=0461.100-0472.260 | xã Tân Thành cũ
P=1945 | X=0201.300-0281.300 | Y=0466.850-0478.010 | Thành và phía đối
P=1945 | X=0100.350-0105.910 | Y=0472.600-0483.760 | 3
P=1945 | X=0116.300-0198.980 | Y=0472.600-0483.760 | Đường Quốc lộ 14
P=1945 | X=0285.550-0346.140 | Y=0472.600-0483.760 | (phía đối diện
P=1945 | X=0388.800-0405.480 | Y=0472.600-0483.760 | 530
P=1945 | X=0427.100-0443.780 | Y=0472.600-0483.760 | 420
P=1945 | X=0465.800-0482.480 | Y=0472.600-0483.760 | 250
P=1945 | X=0510.900-0522.020 | Y=0472.600-0483.760 | 39
P=1945 | X=0201.300-0276.870 | Y=0478.350-0489.510 | diện (thửa đất số
P=1945 | X=0285.550-0353.250 | Y=0484.100-0495.260 | đường vào khu
P=1945 | X=0201.300-0273.950 | Y=0489.850-0501.010 | 64, tờ bản đồ số
P=1945 | X=0285.550-0342.240 | Y=0495.600-0506.760 | dân cư Tuấn
P=1945 | X=0201.300-0215.750 | Y=0501.350-0512.510 | 75)
P=1945 | X=0285.550-0314.990 | Y=0507.100-0518.260 | Trang)
P=1945 | X=0201.300-0281.270 | Y=0524.850-0536.010 | Hết ranh phía Tây
P=1945 | X=0201.300-0277.430 | Y=0536.350-0547.510 | Ủy ban nhân dân
P=1945 | X=0201.300-0276.290 | Y=0547.850-0559.010 | xã Tân Thành cũ
P=1945 | X=0285.550-0363.880 | Y=0553.600-0564.760 | Giáp ranh xã Nha
P=1945 | X=0100.350-0105.910 | Y=0559.350-0570.510 | 4
P=1945 | X=0116.300-0261.860 | Y=0559.350-0570.510 | Đường Quốc lộ 14 (phía đối diện
P=1945 | X=0388.800-0405.480 | Y=0559.350-0570.510 | 530
P=1945 | X=0427.100-0443.780 | Y=0559.350-0570.510 | 420
P=1945 | X=0465.800-0482.480 | Y=0559.350-0570.510 | 250
P=1945 | X=0510.900-0522.020 | Y=0559.350-0570.510 | 39
P=1945 | X=0285.550-0305.560 | Y=0565.100-0576.260 | Bích
P=1945 | X=0201.300-0269.000 | Y=0570.850-0582.010 | đường vào khu
P=1945 | X=0201.300-0257.990 | Y=0582.350-0593.510 | dân cư Tuấn
P=1945 | X=0201.300-0230.740 | Y=0593.850-0605.010 | Trang)
P=1945 | X=0116.300-0191.200 | Y=0611.600-0622.760 | Đường Phan Bội
P=1945 | X=0285.550-0358.800 | Y=0611.600-0622.760 | Đường Tôn Đức
P=1945 | X=0100.350-0105.910 | Y=0617.350-0628.510 | 5
P=1945 | X=0201.300-0283.980 | Y=0617.350-0628.510 | Đường Quốc lộ 14
P=1945 | X=0388.800-0405.480 | Y=0617.350-0628.510 | 430
P=1945 | X=0427.100-0443.780 | Y=0617.350-0628.510 | 340
P=1945 | X=0465.800-0482.480 | Y=0617.350-0628.510 | 200
P=1945 | X=0510.900-0522.020 | Y=0617.350-0628.510 | 39
P=1945 | X=0116.300-0140.200 | Y=0623.100-0634.260 | Châu
P=1945 | X=0285.550-0313.890 | Y=0623.100-0634.260 | Thắng
P=1945 | X=0116.300-0195.100 | Y=0640.850-0652.010 | Đường Phan Chu
P=1945 | X=0285.550-0358.800 | Y=0640.850-0652.010 | Đường Tôn Đức
P=1945 | X=0100.350-0105.910 | Y=0646.600-0657.760 | 6
P=1945 | X=0201.300-0283.980 | Y=0646.600-0657.760 | Đường Quốc lộ 14
P=1945 | X=0388.800-0405.480 | Y=0646.600-0657.760 | 430
P=1945 | X=0427.100-0443.780 | Y=0646.600-0657.760 | 340
P=1945 | X=0465.800-0482.480 | Y=0646.600-0657.760 | 200
P=1945 | X=0510.900-0522.020 | Y=0646.600-0657.760 | 39
P=1945 | X=0116.300-0139.070 | Y=0652.350-0663.510 | Trinh
P=1945 | X=0285.550-0313.890 | Y=0652.350-0663.510 | Thắng
P=1945 | X=0116.300-0193.440 | Y=0670.100-0681.260 | Đường Trần Hữu
P=1945 | X=0285.550-0358.800 | Y=0670.100-0681.260 | Đường Tôn Đức
P=1945 | X=0100.350-0105.910 | Y=0675.850-0687.010 | 7
P=1945 | X=0201.300-0283.980 | Y=0675.850-0687.010 | Đường Quốc lộ 14
P=1945 | X=0388.800-0405.480 | Y=0675.850-0687.010 | 430
P=1945 | X=0427.100-0443.780 | Y=0675.850-0687.010 | 340
P=1945 | X=0465.800-0482.480 | Y=0675.850-0687.010 | 200
P=1945 | X=0510.900-0522.020 | Y=0675.850-0687.010 | 39
P=1945 | X=0116.300-0129.080 | Y=0681.600-0692.760 | Độ
P=1945 | X=0285.550-0313.890 | Y=0681.600-0692.760 | Thắng
P=1945 | X=0100.350-0105.910 | Y=0699.350-0710.510 | 8
P=1945 | X=0116.300-0176.760 | Y=0699.350-0710.510 | Đường Phạm
P=1945 | X=0201.300-0358.800 | Y=0699.350-0710.510 | Đường Quốc lộ 14 Đường Tôn Đức
P=1945 | X=0388.800-0405.480 | Y=0699.350-0710.510 | 430
P=1945 | X=0427.100-0443.780 | Y=0699.350-0710.510 | 340
P=1945 | X=0465.800-0482.480 | Y=0699.350-0710.510 | 200
P=1945 | X=0510.900-0522.020 | Y=0699.350-0710.510 | 39
P=1946 | X=0116.300-0170.190 | Y=0078.600-0089.760 | Ngọc Thạch
P=1946 | X=0285.550-0313.890 | Y=0078.600-0089.760 | Thắng
P=1946 | X=0116.300-0176.760 | Y=0096.350-0107.510 | Đường Phạm
P=1946 | X=0201.300-0274.550 | Y=0096.350-0107.510 | Đường Tôn Đức
P=1946 | X=0285.550-0359.380 | Y=0096.350-0107.510 | Đường Vành đai
P=1946 | X=0100.350-0105.910 | Y=0102.100-0113.260 | 9
P=1946 | X=0388.800-0405.480 | Y=0102.100-0113.260 | 430
P=1946 | X=0427.100-0443.780 | Y=0102.100-0113.260 | 340
P=1946 | X=0465.800-0482.480 | Y=0102.100-0113.260 | 200
P=1946 | X=0510.900-0522.020 | Y=0102.100-0113.260 | 39
P=1946 | X=0116.300-0170.190 | Y=0107.850-0119.010 | Ngọc Thạch
P=1946 | X=0201.300-0229.640 | Y=0107.850-0119.010 | Thắng
P=1946 | X=0285.550-0328.880 | Y=0107.850-0119.010 | phía Nam
P=1946 | X=0116.300-0165.670 | Y=0125.600-0136.760 | Đường Hải
P=1946 | X=0097.600-0108.720 | Y=0131.350-0142.510 | 10
P=1946 | X=0201.300-0344.350 | Y=0131.350-0142.510 | Đường Quốc lộ 14 Đường số 37
P=1946 | X=0388.800-0405.480 | Y=0131.350-0142.510 | 430
P=1946 | X=0427.100-0443.780 | Y=0131.350-0142.510 | 340
P=1946 | X=0465.800-0482.480 | Y=0131.350-0142.510 | 200
P=1946 | X=0510.900-0522.020 | Y=0131.350-0142.510 | 39
P=1946 | X=0116.300-0193.430 | Y=0137.100-0148.260 | Thượng Lãn Ông
P=1946 | X=0116.300-0165.650 | Y=0154.850-0166.010 | Đường Hải
P=1946 | X=0285.550-0358.800 | Y=0154.850-0166.010 | Đường Tôn Đức
P=1946 | X=0097.600-0108.720 | Y=0160.600-0171.760 | 11
P=1946 | X=0201.300-0260.100 | Y=0160.600-0171.760 | Đường số 37
P=1946 | X=0388.800-0405.480 | Y=0160.600-0171.760 | 430
P=1946 | X=0427.100-0443.780 | Y=0160.600-0171.760 | 340
P=1946 | X=0465.800-0482.480 | Y=0160.600-0171.760 | 200
P=1946 | X=0510.900-0522.020 | Y=0160.600-0171.760 | 39
P=1946 | X=0116.300-0193.520 | Y=0166.350-0177.510 | Thượng Lãn Ông
P=1946 | X=0285.550-0313.890 | Y=0166.350-0177.510 | Thắng
P=1946 | X=0116.300-0189.550 | Y=0184.100-0195.260 | Đường Tôn Đức
P=1946 | X=0201.300-0276.220 | Y=0184.100-0195.260 | Đường Phan Bội
P=1946 | X=0097.600-0108.720 | Y=0189.850-0201.010 | 12
P=1946 | X=0285.550-0366.560 | Y=0189.850-0201.010 | Đường số 32 (N7)
P=1946 | X=0388.800-0405.480 | Y=0189.850-0201.010 | 430
P=1946 | X=0427.100-0443.780 | Y=0189.850-0201.010 | 340
P=1946 | X=0465.800-0482.480 | Y=0189.850-0201.010 | 200
P=1946 | X=0510.900-0522.020 | Y=0189.850-0201.010 | 39
P=1946 | X=0116.300-0144.640 | Y=0195.600-0206.760 | Thắng
P=1946 | X=0201.300-0225.200 | Y=0195.600-0206.760 | Châu
P=1946 | X=0116.300-0346.010 | Y=0213.350-0224.510 | Đường Trần Huy Đường Phan Bội Đường Phạm
P=1946 | X=0097.600-0108.720 | Y=0219.100-0230.260 | 13
P=1946 | X=0388.800-0405.480 | Y=0219.100-0230.260 | 430
P=1946 | X=0427.100-0443.780 | Y=0219.100-0230.260 | 340
P=1946 | X=0465.800-0482.480 | Y=0219.100-0230.260 | 200
P=1946 | X=0510.900-0522.020 | Y=0219.100-0230.260 | 39
P=1946 | X=0116.300-0135.200 | Y=0224.850-0236.010 | Liệu
P=1946 | X=0201.300-0225.200 | Y=0224.850-0236.010 | Châu
P=1946 | X=0285.550-0339.440 | Y=0224.850-0236.010 | Ngọc Thạch
P=1946 | X=0116.300-0346.010 | Y=0242.600-0253.760 | Đường Trần Xuân Đường Phan Bội Đường Phạm
P=1946 | X=0097.600-0108.720 | Y=0248.350-0259.510 | 14
P=1946 | X=0388.800-0405.480 | Y=0248.350-0259.510 | 430
P=1946 | X=0427.100-0443.780 | Y=0248.350-0259.510 | 340
P=1946 | X=0465.800-0482.480 | Y=0248.350-0259.510 | 200
P=1946 | X=0510.900-0522.020 | Y=0248.350-0259.510 | 39
P=1946 | X=0116.300-0139.640 | Y=0254.100-0265.260 | Soạn
P=1946 | X=0201.300-0225.200 | Y=0254.100-0265.260 | Châu
P=1946 | X=0285.550-0339.440 | Y=0254.100-0265.260 | Ngọc Thạch
P=1946 | X=0116.300-0346.010 | Y=0271.850-0283.010 | Đường Phan Văn Đường Phan Bội Đường Phạm
P=1946 | X=0097.600-0108.720 | Y=0277.600-0288.760 | 15
P=1946 | X=0388.800-0405.480 | Y=0277.600-0288.760 | 430
P=1946 | X=0427.100-0443.780 | Y=0277.600-0288.760 | 340
P=1946 | X=0465.800-0482.480 | Y=0277.600-0288.760 | 200
P=1946 | X=0510.900-0522.020 | Y=0277.600-0288.760 | 39
P=1946 | X=0116.300-0127.950 | Y=0283.350-0294.510 | Trị
P=1946 | X=0201.300-0225.200 | Y=0283.350-0294.510 | Châu
P=1946 | X=0285.550-0339.440 | Y=0283.350-0294.510 | Ngọc Thạch
P=1946 | X=0201.300-0346.010 | Y=0301.100-0312.260 | Đường Phan Bội Đường Phạm
P=1946 | X=0097.600-0187.860 | Y=0306.850-0318.010 | 16 Đường Bùi Viện
P=1946 | X=0388.800-0405.480 | Y=0306.850-0318.010 | 430
P=1946 | X=0427.100-0443.780 | Y=0306.850-0318.010 | 340
P=1946 | X=0465.800-0482.480 | Y=0306.850-0318.010 | 200
P=1946 | X=0510.900-0522.020 | Y=0306.850-0318.010 | 39
P=1946 | X=0201.300-0225.200 | Y=0312.600-0323.760 | Châu
P=1946 | X=0285.550-0339.440 | Y=0312.600-0323.760 | Ngọc Thạch
P=1946 | X=0116.300-0190.670 | Y=0330.350-0341.510 | Đường Ngô Đức
P=1946 | X=0201.300-0346.010 | Y=0330.350-0341.510 | Đường Phan Bội Đường Phạm
P=1946 | X=0097.600-0108.720 | Y=0336.100-0347.260 | 17
P=1946 | X=0388.800-0405.480 | Y=0336.100-0347.260 | 430
P=1946 | X=0427.100-0443.780 | Y=0336.100-0347.260 | 340
P=1946 | X=0465.800-0482.480 | Y=0336.100-0347.260 | 200
P=1946 | X=0510.900-0522.020 | Y=0336.100-0347.260 | 39
P=1946 | X=0116.300-0128.520 | Y=0341.850-0353.010 | Kế
P=1946 | X=0201.300-0225.200 | Y=0341.850-0353.010 | Châu
P=1946 | X=0285.550-0339.440 | Y=0341.850-0353.010 | Ngọc Thạch
P=1946 | X=0201.300-0346.010 | Y=0359.600-0370.760 | Đường Phan Bội Đường Phạm
P=1946 | X=0097.600-0184.630 | Y=0365.350-0376.510 | 18 Đặng Trần Côn
P=1946 | X=0388.800-0405.480 | Y=0365.350-0376.510 | 430
P=1946 | X=0427.100-0443.780 | Y=0365.350-0376.510 | 340
P=1946 | X=0465.800-0482.480 | Y=0365.350-0376.510 | 200
P=1946 | X=0510.900-0522.020 | Y=0365.350-0376.510 | 39
P=1946 | X=0201.300-0225.200 | Y=0371.100-0382.260 | Châu
P=1946 | X=0285.550-0339.440 | Y=0371.100-0382.260 | Ngọc Thạch
P=1946 | X=0201.300-0261.760 | Y=0388.850-0400.010 | Đường Phạm
P=1946 | X=0285.550-0334.900 | Y=0388.850-0400.010 | Đường Hải
P=1946 | X=0097.600-0192.870 | Y=0394.600-0405.760 | 19 Đường Nam Cao
P=1946 | X=0388.800-0405.480 | Y=0394.600-0405.760 | 430
P=1946 | X=0427.100-0443.780 | Y=0394.600-0405.760 | 340
P=1946 | X=0465.800-0482.480 | Y=0394.600-0405.760 | 200
P=1946 | X=0510.900-0522.020 | Y=0394.600-0405.760 | 39
P=1946 | X=0201.300-0255.190 | Y=0400.350-0411.510 | Ngọc Thạch
P=1946 | X=0285.550-0362.770 | Y=0400.350-0411.510 | Thượng Lãn Ông
P=1946 | X=0201.300-0250.650 | Y=0418.100-0429.260 | Đường Hải
P=1946 | X=0097.600-0175.100 | Y=0423.850-0435.010 | 20 Đường số 37
P=1946 | X=0285.550-0366.560 | Y=0423.850-0435.010 | Đường số 32 (N7)
P=1946 | X=0388.800-0405.480 | Y=0423.850-0435.010 | 430
P=1946 | X=0427.100-0443.780 | Y=0423.850-0435.010 | 340
P=1946 | X=0465.800-0482.480 | Y=0423.850-0435.010 | 200
P=1946 | X=0510.900-0522.020 | Y=0423.850-0435.010 | 39
P=1946 | X=0201.300-0278.430 | Y=0429.600-0440.760 | Thượng Lãn Ông
P=1946 | X=0116.300-0182.230 | Y=0447.350-0458.510 | Đường Dương
P=1946 | X=0097.600-0108.720 | Y=0453.100-0464.260 | 21
P=1946 | X=0201.300-0338.800 | Y=0453.100-0464.260 | Đường Nam Cao Cuối đường
P=1946 | X=0388.800-0405.480 | Y=0453.100-0464.260 | 430
P=1946 | X=0427.100-0443.780 | Y=0453.100-0464.260 | 340
P=1946 | X=0465.800-0482.480 | Y=0453.100-0464.260 | 200
P=1946 | X=0510.900-0522.020 | Y=0453.100-0464.260 | 39
P=1946 | X=0116.300-0139.640 | Y=0458.850-0470.010 | Khuê
P=1946 | X=0116.300-0193.440 | Y=0476.600-0487.760 | Đường Trần Hữu
P=1946 | X=0116.300-0186.300 | Y=0488.100-0499.260 | Độ nối dài (giáp
P=1946 | X=0097.600-0108.720 | Y=0493.850-0505.010 | 22
P=1946 | X=0201.300-0333.760 | Y=0493.850-0505.010 | Đường Quốc lộ 14 Hết đường
P=1946 | X=0388.800-0405.480 | Y=0493.850-0505.010 | 430
P=1946 | X=0427.100-0443.780 | Y=0493.850-0505.010 | 340
P=1946 | X=0465.800-0482.480 | Y=0493.850-0505.010 | 200
P=1946 | X=0510.900-0522.020 | Y=0493.850-0505.010 | 39
P=1946 | X=0116.300-0181.770 | Y=0499.600-0510.760 | trường chuyên
P=1946 | X=0116.300-0178.520 | Y=0511.100-0522.260 | Quang Trung)
P=1946 | X=0116.300-0196.790 | Y=0528.850-0540.010 | Đường nhựa ranh
P=1946 | X=0285.550-0350.470 | Y=0528.850-0540.010 | Ngã ba đường
P=1946 | X=0116.300-0196.790 | Y=0540.350-0551.510 | giữa phường Tiến
P=1946 | X=0285.550-0361.110 | Y=0540.350-0551.510 | Trần Hưng Đạo -
P=1946 | X=0097.600-0108.720 | Y=0546.100-0557.260 | 23
P=1946 | X=0201.300-0262.960 | Y=0546.100-0557.260 | Cầu Suối Cốc
P=1946 | X=0388.800-0405.480 | Y=0546.100-0557.260 | 430
P=1946 | X=0427.100-0443.780 | Y=0546.100-0557.260 | 340
P=1946 | X=0465.800-0482.480 | Y=0546.100-0557.260 | 200
P=1946 | X=0510.900-0522.020 | Y=0546.100-0557.260 | 39
P=1946 | X=0116.300-0196.220 | Y=0551.850-0563.010 | Thành và phường
P=1946 | X=0285.550-0361.580 | Y=0551.850-0563.010 | phường Tân Phú
P=1946 | X=0116.300-0174.060 | Y=0563.350-0574.510 | Tân Phú (cũ)
P=1946 | X=0285.550-0302.770 | Y=0563.350-0574.510 | (cũ)
P=1946 | X=0201.300-0267.320 | Y=0581.100-0592.260 | Đường N6 khu
P=1946 | X=0116.300-0196.230 | Y=0586.850-0598.010 | Đường nhựa Tiến
P=1946 | X=0285.550-0364.980 | Y=0586.850-0598.010 | Giáp ranh xã Tiến
P=1946 | X=0097.600-0108.720 | Y=0592.600-0603.760 | 24
P=1946 | X=0201.300-0265.220 | Y=0592.600-0603.760 | dân cư Quang
