TABLE=058 | AREA=Phường Minh Hưng
--- SEQUENCE=4 | SECTION=agricultural | PAGES=1958-1989 | LINES=4199 ---
P=1958 | X=0116.300-0153.980 | Y=0078.600-0089.760 | dưới 4m
P=1958 | X=0090.100-0201.560 | Y=0096.350-0107.510 | 58. Phường Minh Hưng
P=1958 | X=0268.750-0329.140 | Y=0114.350-0125.510 | Đoạn đường
P=1958 | X=0393.000-0516.260 | Y=0114.350-0125.510 | Giá đất Giá đất Giá đất
P=1958 | X=0127.550-0204.010 | Y=0125.850-0137.010 | Tên đường giao
P=1958 | X=0397.200-0422.720 | Y=0125.850-0137.010 | trồng
P=1958 | X=0441.800-0467.320 | Y=0125.850-0137.010 | trồng
P=1958 | X=0488.800-0509.870 | Y=0125.850-0137.010 | nuôi
P=1958 | X=0099.550-0111.750 | Y=0131.600-0142.760 | TT
P=1958 | X=0151.950-0179.680 | Y=0137.350-0148.510 | thông
P=1958 | X=0393.000-0512.120 | Y=0137.350-0148.510 | cây lâu cây hằng trồng
P=1958 | X=0232.100-0277.070 | Y=0140.600-0151.760 | Điểm đầu
P=1958 | X=0319.400-0367.140 | Y=0140.600-0151.760 | Điểm cuối
P=1958 | X=0399.700-0420.250 | Y=0148.850-0160.010 | năm
P=1958 | X=0444.300-0519.880 | Y=0148.850-0160.010 | năm thủy sản
P=1958 | X=0298.900-0383.310 | Y=0166.850-0178.010 | Phía Bắc: Hết ranh
P=1958 | X=0298.900-0385.450 | Y=0178.350-0189.510 | giới thửa đất số 69,
P=1958 | X=0210.250-0288.560 | Y=0184.100-0195.260 | Phía Bắc: Ngã ba
P=1958 | X=0298.900-0377.110 | Y=0189.850-0201.010 | tờ bản đồ số 140;
P=1958 | X=0210.250-0297.950 | Y=0195.600-0206.760 | đường Ngô Đức Kế
P=1958 | X=0102.850-0108.410 | Y=0201.350-0212.510 | 1
P=1958 | X=0121.400-0188.520 | Y=0201.350-0212.510 | Đường ĐT 751
P=1958 | X=0298.900-0381.100 | Y=0201.350-0212.510 | Phía Nam: Ngã ba
P=1958 | X=0415.600-0432.280 | Y=0201.350-0212.510 | 700
