TABLE=059 | AREA=Phường Chơn Thành
--- SEQUENCE=7 | SECTION=non-agricultural | PAGES=5187-5202 | LINES=645 ---
P=5187 | X=0090.100-0124.430 | Y=0072.010-0085.970 | 1.000
P=5187 | X=0090.100-0113.000 | Y=0086.010-0099.970 | 730
P=5187 | X=0090.100-0113.000 | Y=0100.010-0113.970 | 620
P=5187 | X=0090.100-0105.360 | Y=0128.010-0141.970 | 13
P=5187 | X=0090.100-0398.080 | Y=0142.010-0155.970 | Đường Ngô Đức Kế (Ranh giới phường Chơn Thành)
P=5187 | X=0090.100-0176.640 | Y=0156.010-0169.970 | Đường ĐT 751
P=5187 | X=0090.100-0346.850 | Y=0170.010-0183.970 | Ngã ba đường Ngô Đức Kế và Đường số 3A
P=5187 | X=0090.100-0124.430 | Y=0184.010-0197.970 | 1.200
P=5187 | X=0090.100-0113.000 | Y=0198.010-0211.970 | 840
P=5187 | X=0090.100-0113.000 | Y=0212.010-0225.970 | 720
P=5187 | X=0090.100-0105.360 | Y=0240.010-0253.970 | 14
P=5187 | X=0090.100-0398.080 | Y=0254.010-0267.970 | Đường Ngô Đức Kế (Ranh giới phường Chơn Thành)
P=5187 | X=0090.100-0346.850 | Y=0268.010-0281.970 | Ngã ba đường Ngô Đức Kế và Đường số 3A
P=5187 | X=0090.100-0149.370 | Y=0282.010-0295.970 | Hết tuyến
P=5187 | X=0090.100-0113.000 | Y=0296.010-0309.970 | 960
P=5187 | X=0090.100-0113.000 | Y=0310.010-0323.970 | 670
P=5187 | X=0090.100-0113.000 | Y=0324.010-0337.970 | 580
P=5187 | X=0090.100-0105.360 | Y=0352.010-0365.970 | 15
P=5187 | X=0090.100-0296.770 | Y=0366.010-0379.970 | Đường số 1 - Khu phố Minh Long 6
P=5187 | X=0090.100-0176.640 | Y=0380.010-0393.970 | Đường ĐT 751
P=5187 | X=0090.100-0149.370 | Y=0394.010-0407.970 | Hết tuyến
P=5187 | X=0090.100-0113.000 | Y=0408.010-0421.970 | 960
P=5187 | X=0090.100-0113.000 | Y=0422.010-0435.970 | 670
P=5187 | X=0090.100-0113.000 | Y=0436.010-0449.970 | 580
P=5187 | X=0090.100-0105.360 | Y=0464.010-0477.970 | 16
P=5187 | X=0090.100-0296.770 | Y=0478.010-0491.970 | Đường số 2 - Khu phố Minh Long 6
P=5187 | X=0090.100-0176.640 | Y=0492.010-0505.970 | Đường ĐT 751
P=5187 | X=0090.100-0170.690 | Y=0506.010-0519.970 | Đường ĐH 06
P=5187 | X=0090.100-0113.000 | Y=0520.010-0533.970 | 870
P=5187 | X=0090.100-0113.000 | Y=0534.010-0547.970 | 610
P=5187 | X=0090.100-0113.000 | Y=0548.010-0561.970 | 520
P=5187 | X=0090.100-0105.360 | Y=0576.010-0589.970 | 17
P=5187 | X=0090.100-0296.770 | Y=0590.010-0603.970 | Đường số 3 - Khu phố Minh Long 6
P=5187 | X=0090.100-0176.640 | Y=0604.010-0617.970 | Đường ĐT 751
P=5187 | X=0090.100-0521.090 | Y=0618.010-0631.970 | Ngã tư Đường số 3 và Đường số 3A (Nhà Văn hóa Khu phố Minh Long 6)
P=5187 | X=0090.100-0124.430 | Y=0632.010-0645.970 | 1.100
P=5187 | X=0090.100-0113.000 | Y=0646.010-0659.970 | 790
P=5187 | X=0090.100-0113.000 | Y=0660.010-0673.970 | 680
P=5187 | X=0090.100-0105.360 | Y=0688.010-0701.970 | 18
P=5187 | X=0090.100-0304.980 | Y=0702.010-0715.970 | Đường số 3A - Khu phố Minh Long 6
P=5188 | X=0090.100-0203.560 | Y=0072.010-0085.970 | Đường Ngô Đức Kế
P=5188 | X=0090.100-0158.330 | Y=0086.010-0099.970 | Đường số 7
P=5188 | X=0090.100-0113.000 | Y=0100.010-0113.970 | 960
