TABLE=060 | AREA=Xã Nha Bích
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5783-5783 | LINES=19 ---
P=5783 | X=0090.100-0097.730 | Y=0086.010-0099.970 | 2
P=5783 | X=0090.100-0399.340 | Y=0100.010-0113.970 | Khu tái định cư 10ha - Ấp Suối Ngang - Xã Nha Bích
P=5783 | X=0090.100-0236.710 | Y=0156.010-0169.970 | Đường D1 (Đường nhựa)
P=5783 | X=0090.100-0124.430 | Y=0170.010-0183.970 | 1.200
P=5783 | X=0090.100-0349.540 | Y=0212.010-0225.970 | Các đường đất còn lại trong khu tái định cư
P=5783 | X=0090.100-0113.000 | Y=0226.010-0239.970 | 700
P=5783 | X=0090.100-0205.770 | Y=0268.010-0281.970 | Phường Phước Bình
P=5783 | X=0090.100-0097.730 | Y=0310.010-0323.970 | 1
P=5783 | X=0090.100-0244.870 | Y=0324.010-0337.970 | Khu tái định cư Khu phố 9
P=5783 | X=0090.100-0454.590 | Y=0380.010-0393.970 | Các tuyến đường ngang Khu tái định cư Khu phố 9 (3 nhánh)
P=5783 | X=0090.100-0124.430 | Y=0394.010-0407.970 | 2.300
P=5783 | X=0090.100-0152.870 | Y=0436.010-0449.970 | Xã Tân Lợi
P=5783 | X=0090.100-0097.730 | Y=0478.010-0491.970 | 1
P=5783 | X=0090.100-0410.320 | Y=0492.010-0505.970 | Khu tái định cư khu trung tâm hành chính (các xã cũ)
P=5783 | X=0090.100-0432.960 | Y=0548.010-0561.970 | Các thửa đất trong khu trung tâm hành chính (các xã cũ)
P=5783 | X=0090.100-0113.000 | Y=0562.010-0575.970 | 900
P=5783 | X=0090.100-0171.450 | Y=0604.010-0617.970 | Xã Đồng Tâm
P=5783 | X=0090.100-0097.730 | Y=0646.010-0659.970 | 1
P=5783 | X=0090.100-0215.550 | Y=0660.010-0673.970 | Khu tái định cư K84C
--- SEQUENCE=13 | SECTION=agricultural | PAGES=6030-6030 | LINES=34 ---
P=6030 | X=0090.100-0113.000 | Y=0072.010-0085.970 | 200
P=6030 | X=0090.100-0113.000 | Y=0086.010-0099.970 | 120
P=6030 | X=0090.100-0105.360 | Y=0128.010-0141.970 | 60
P=6030 | X=0090.100-0162.930 | Y=0142.010-0155.970 | Xã Nha Bích
P=6030 | X=0090.100-0113.000 | Y=0156.010-0169.970 | 250
P=6030 | X=0090.100-0113.000 | Y=0170.010-0183.970 | 121
P=6030 | X=0090.100-0105.360 | Y=0184.010-0197.970 | 72
P=6030 | X=0090.100-0105.360 | Y=0226.010-0239.970 | 61
P=6030 | X=0090.100-0198.640 | Y=0240.010-0253.970 | Phường Bình Long
P=6030 | X=0090.100-0113.000 | Y=0254.010-0267.970 | 112
P=6030 | X=0090.100-0105.360 | Y=0268.010-0281.970 | 90
P=6030 | X=0090.100-0105.360 | Y=0282.010-0295.970 | 63
P=6030 | X=0090.100-0105.360 | Y=0324.010-0337.970 | 62
P=6030 | X=0090.100-0179.080 | Y=0338.010-0351.970 | Phường An Lộc
P=6030 | X=0090.100-0113.000 | Y=0352.010-0365.970 | 210
P=6030 | X=0090.100-0113.000 | Y=0366.010-0379.970 | 168
P=6030 | X=0090.100-0113.000 | Y=0380.010-0393.970 | 118
P=6030 | X=0090.100-0105.360 | Y=0422.010-0435.970 | 63
P=6030 | X=0090.100-0205.770 | Y=0436.010-0449.970 | Phường Phước Bình
P=6030 | X=0090.100-0113.000 | Y=0450.010-0463.970 | 140
P=6030 | X=0090.100-0113.000 | Y=0464.010-0477.970 | 112
P=6030 | X=0090.100-0105.360 | Y=0478.010-0491.970 | 90
P=6030 | X=0090.100-0105.360 | Y=0520.010-0533.970 | 64
P=6030 | X=0090.100-0208.240 | Y=0534.010-0547.970 | Phường Phước Long
P=6030 | X=0090.100-0113.000 | Y=0548.010-0561.970 | 210
P=6030 | X=0090.100-0113.000 | Y=0562.010-0575.970 | 168
P=6030 | X=0090.100-0113.000 | Y=0576.010-0589.970 | 134
P=6030 | X=0090.100-0105.360 | Y=0590.010-0603.970 | 37
P=6030 | X=0090.100-0105.360 | Y=0618.010-0631.970 | 65
P=6030 | X=0090.100-0168.060 | Y=0632.010-0645.970 | Xã Thuận Lợi
P=6030 | X=0090.100-0105.360 | Y=0646.010-0659.970 | 98
P=6030 | X=0090.100-0105.360 | Y=0660.010-0673.970 | 78
P=6030 | X=0090.100-0105.360 | Y=0674.010-0687.970 | 63
P=6030 | X=0090.100-0105.360 | Y=0688.010-0701.970 | 54
