TABLE=063 | AREA=Phường Phước Bình
--- SEQUENCE=9 | SECTION=non-agricultural | PAGES=5739-5739 | LINES=37 ---
P=5739 | X=0090.100-0129.070 | Y=0072.010-0085.970 | Đa Kia
P=5739 | X=0090.100-0148.430 | Y=0086.010-0099.970 | Xã Đa Kia
P=5739 | X=0090.100-0113.000 | Y=0100.010-0113.970 | 580
P=5739 | X=0090.100-0105.360 | Y=0128.010-0141.970 | 45
P=5739 | X=0090.100-0143.560 | Y=0142.010-0155.970 | Nha Bích
P=5739 | X=0090.100-0162.930 | Y=0156.010-0169.970 | Xã Nha Bích
P=5739 | X=0090.100-0113.000 | Y=0170.010-0183.970 | 650
P=5739 | X=0090.100-0105.360 | Y=0198.010-0211.970 | 46
P=5739 | X=0090.100-0157.000 | Y=0212.010-0225.970 | Phước Bình
P=5739 | X=0090.100-0205.770 | Y=0226.010-0239.970 | Phường Phước Bình
P=5739 | X=0090.100-0113.000 | Y=0240.010-0253.970 | 650
P=5739 | X=0090.100-0105.360 | Y=0268.010-0281.970 | 47
P=5739 | X=0090.100-0158.280 | Y=0282.010-0295.970 | Long Giang
P=5739 | X=0090.100-0205.770 | Y=0296.010-0309.970 | Phường Phước Bình
P=5739 | X=0090.100-0113.000 | Y=0310.010-0323.970 | 650
P=5739 | X=0090.100-0105.360 | Y=0338.010-0351.970 | 48
P=5739 | X=0090.100-0146.050 | Y=0352.010-0365.970 | Phước An
P=5739 | X=0090.100-0167.510 | Y=0366.010-0379.970 | Xã Tân Quan
P=5739 | X=0090.100-0113.000 | Y=0380.010-0393.970 | 580
P=5739 | X=0090.100-0105.360 | Y=0408.010-0421.970 | 49
P=5739 | X=0090.100-0148.150 | Y=0422.010-0435.970 | Hưng Phú
P=5739 | X=0090.100-0161.650 | Y=0436.010-0449.970 | Xã Tân Khai
P=5739 | X=0090.100-0113.000 | Y=0450.010-0463.970 | 580
P=5739 | X=0090.100-0105.360 | Y=0478.010-0491.970 | 50
P=5739 | X=0090.100-0136.120 | Y=0492.010-0505.970 | Đại Tân
P=5739 | X=0090.100-0165.600 | Y=0506.010-0519.970 | Xã Minh Đức
P=5739 | X=0090.100-0113.000 | Y=0520.010-0533.970 | 580
P=5739 | X=0090.100-0105.360 | Y=0548.010-0561.970 | 51
P=5739 | X=0090.100-0140.090 | Y=0562.010-0575.970 | Lộc Thái
P=5739 | X=0090.100-0161.370 | Y=0576.010-0589.970 | Xã Lộc Ninh
P=5739 | X=0090.100-0113.000 | Y=0590.010-0603.970 | 580
P=5739 | X=0090.100-0105.360 | Y=0618.010-0631.970 | 52
P=5739 | X=0090.100-0136.770 | Y=0632.010-0645.970 | Lộc Tấn
P=5739 | X=0090.100-0156.140 | Y=0646.010-0659.970 | Xã Lộc Tấn
P=5739 | X=0090.100-0113.000 | Y=0660.010-0673.970 | 500
P=5739 | X=0090.100-0105.360 | Y=0688.010-0701.970 | 53
P=5739 | X=0090.100-0151.960 | Y=0702.010-0715.970 | Lộc Thạnh
