TABLE=064 | AREA=Phường Phước Long
--- SEQUENCE=12 | SECTION=agricultural | PAGES=6016-6016 | LINES=38 ---
P=6016 | X=0090.100-0105.360 | Y=0100.010-0113.970 | 64
P=6016 | X=0090.100-0208.240 | Y=0114.010-0127.970 | Phường Phước Long
P=6016 | X=0090.100-0113.000 | Y=0128.010-0141.970 | 120
P=6016 | X=0090.100-0105.360 | Y=0142.010-0155.970 | 80
P=6016 | X=0090.100-0105.360 | Y=0156.010-0169.970 | 20
P=6016 | X=0090.100-0105.360 | Y=0170.010-0183.970 | 15
P=6016 | X=0090.100-0105.360 | Y=0198.010-0211.970 | 65
P=6016 | X=0090.100-0168.060 | Y=0212.010-0225.970 | Xã Thuận Lợi
P=6016 | X=0090.100-0105.360 | Y=0226.010-0239.970 | 50
P=6016 | X=0090.100-0105.360 | Y=0240.010-0253.970 | 40
P=6016 | X=0090.100-0105.360 | Y=0254.010-0267.970 | 20
P=6016 | X=0090.100-0105.360 | Y=0268.010-0281.970 | 22
P=6016 | X=0090.100-0105.360 | Y=0296.010-0309.970 | 66
P=6016 | X=0090.100-0152.870 | Y=0310.010-0323.970 | Xã Tân Lợi
P=6016 | X=0090.100-0105.360 | Y=0324.010-0337.970 | 75
P=6016 | X=0090.100-0105.360 | Y=0338.010-0351.970 | 60
P=6016 | X=0090.100-0105.360 | Y=0352.010-0365.970 | 20
P=6016 | X=0090.100-0105.360 | Y=0366.010-0379.970 | 22
P=6016 | X=0090.100-0105.360 | Y=0394.010-0407.970 | 67
P=6016 | X=0090.100-0171.450 | Y=0408.010-0421.970 | Xã Đồng Tâm
P=6016 | X=0090.100-0105.360 | Y=0422.010-0435.970 | 75
P=6016 | X=0090.100-0105.360 | Y=0436.010-0449.970 | 60
P=6016 | X=0090.100-0105.360 | Y=0450.010-0463.970 | 20
P=6016 | X=0090.100-0105.360 | Y=0464.010-0477.970 | 19
P=6016 | X=0090.100-0105.360 | Y=0492.010-0505.970 | 68
P=6016 | X=0090.100-0167.530 | Y=0506.010-0519.970 | Xã Đồng Phú
P=6016 | X=0090.100-0105.360 | Y=0520.010-0533.970 | 75
P=6016 | X=0090.100-0105.360 | Y=0534.010-0547.970 | 60
P=6016 | X=0090.100-0105.360 | Y=0548.010-0561.970 | 20
P=6016 | X=0090.100-0105.360 | Y=0562.010-0575.970 | 22
P=6016 | X=0090.100-0105.360 | Y=0590.010-0603.970 | 69
P=6016 | X=0090.100-0161.370 | Y=0604.010-0617.970 | Xã Lộc Ninh
P=6016 | X=0090.100-0105.360 | Y=0618.010-0631.970 | 45
P=6016 | X=0090.100-0105.360 | Y=0632.010-0645.970 | 30
P=6016 | X=0090.100-0105.360 | Y=0646.010-0659.970 | 18
P=6016 | X=0090.100-0105.360 | Y=0660.010-0673.970 | 18
P=6016 | X=0090.100-0105.360 | Y=0688.010-0701.970 | 70
P=6016 | X=0090.100-0171.330 | Y=0702.010-0715.970 | Xã Lộc Thành
