TABLE=067 | AREA=Xã Đồng Tâm
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5784-5784 | LINES=23 ---
P=5784 | X=0090.100-0321.130 | Y=0072.010-0085.970 | Các tuyến đường trong khu tái định cư
P=5784 | X=0090.100-0113.000 | Y=0086.010-0099.970 | 700
P=5784 | X=0090.100-0097.730 | Y=0114.010-0127.970 | 2
P=5784 | X=0090.100-0508.480 | Y=0128.010-0141.970 | Khu tái định cư Tân Phước (nằm trong quy hoạch Khu trung tâm hành
P=5784 | X=0090.100-0354.250 | Y=0142.010-0155.970 | chính xã Tân Phước cũ nay là xã Đồng Tâm)
P=5784 | X=0090.100-0150.190 | Y=0198.010-0211.970 | Đường D8
P=5784 | X=0090.100-0124.430 | Y=0212.010-0225.970 | 1.800
P=5784 | X=0090.100-0197.070 | Y=0254.010-0267.970 | Các đường còn lại
P=5784 | X=0090.100-0124.430 | Y=0268.010-0281.970 | 1.500
P=5784 | X=0090.100-0097.730 | Y=0296.010-0309.970 | 3
P=5784 | X=0090.100-0508.050 | Y=0310.010-0323.970 | Khu tái định cư Đồng Tâm (nằm trong quy hoạch Khu trung tâm hành
P=5784 | X=0090.100-0211.500 | Y=0324.010-0337.970 | chính xã Đồng Tâm)
P=5784 | X=0090.100-0149.930 | Y=0380.010-0393.970 | Đường N4
P=5784 | X=0090.100-0124.430 | Y=0394.010-0407.970 | 1.500
P=5784 | X=0090.100-0174.410 | Y=0436.010-0449.970 | Đường N6, D4
P=5784 | X=0090.100-0124.430 | Y=0450.010-0463.970 | 1.200
P=5784 | X=0090.100-0197.070 | Y=0492.010-0505.970 | Các đường còn lại
P=5784 | X=0090.100-0124.430 | Y=0506.010-0519.970 | 1.000
P=5784 | X=0090.100-0160.940 | Y=0548.010-0561.970 | Xã Bù Đăng
P=5784 | X=0090.100-0097.730 | Y=0590.010-0603.970 | 1
P=5784 | X=0090.100-0273.750 | Y=0604.010-0617.970 | Khu tái định cư Lý Thường Kiệt
P=5784 | X=0090.100-0345.770 | Y=0660.010-0673.970 | Đường D3 - Khu tái định cư Lý Thường Kiệt
P=5784 | X=0090.100-0124.430 | Y=0674.010-0687.970 | 2.000
--- SEQUENCE=13 | SECTION=agricultural | PAGES=6031-6031 | LINES=40 ---
P=6031 | X=0090.100-0105.360 | Y=0072.010-0085.970 | 66
P=6031 | X=0090.100-0152.870 | Y=0086.010-0099.970 | Xã Tân Lợi
P=6031 | X=0090.100-0113.000 | Y=0100.010-0113.970 | 110
P=6031 | X=0090.100-0105.360 | Y=0114.010-0127.970 | 88
P=6031 | X=0090.100-0105.360 | Y=0128.010-0141.970 | 70
P=6031 | X=0090.100-0105.360 | Y=0142.010-0155.970 | 54
P=6031 | X=0090.100-0105.360 | Y=0170.010-0183.970 | 67
P=6031 | X=0090.100-0171.450 | Y=0184.010-0197.970 | Xã Đồng Tâm
P=6031 | X=0090.100-0113.000 | Y=0198.010-0211.970 | 113
P=6031 | X=0090.100-0105.360 | Y=0212.010-0225.970 | 90
P=6031 | X=0090.100-0105.360 | Y=0226.010-0239.970 | 72
P=6031 | X=0090.100-0105.360 | Y=0240.010-0253.970 | 47
P=6031 | X=0090.100-0105.360 | Y=0268.010-0281.970 | 68
P=6031 | X=0090.100-0167.530 | Y=0282.010-0295.970 | Xã Đồng Phú
P=6031 | X=0090.100-0105.360 | Y=0296.010-0309.970 | 90
P=6031 | X=0090.100-0105.360 | Y=0310.010-0323.970 | 72
P=6031 | X=0090.100-0105.360 | Y=0324.010-0337.970 | 58
P=6031 | X=0090.100-0105.360 | Y=0338.010-0351.970 | 54
P=6031 | X=0090.100-0105.360 | Y=0366.010-0379.970 | 69
P=6031 | X=0090.100-0161.370 | Y=0380.010-0393.970 | Xã Lộc Ninh
P=6031 | X=0090.100-0105.360 | Y=0394.010-0407.970 | 60
P=6031 | X=0090.100-0105.360 | Y=0408.010-0421.970 | 48
P=6031 | X=0090.100-0105.360 | Y=0422.010-0435.970 | 38
P=6031 | X=0090.100-0105.360 | Y=0436.010-0449.970 | 38
P=6031 | X=0090.100-0105.360 | Y=0464.010-0477.970 | 70
P=6031 | X=0090.100-0171.330 | Y=0478.010-0491.970 | Xã Lộc Thành
P=6031 | X=0090.100-0105.360 | Y=0492.010-0505.970 | 60
P=6031 | X=0090.100-0105.360 | Y=0506.010-0519.970 | 48
P=6031 | X=0090.100-0105.360 | Y=0520.010-0533.970 | 38
P=6031 | X=0090.100-0105.360 | Y=0534.010-0547.970 | 38
P=6031 | X=0090.100-0105.360 | Y=0562.010-0575.970 | 71
P=6031 | X=0090.100-0165.690 | Y=0576.010-0589.970 | Xã Lộc Hưng
P=6031 | X=0090.100-0105.360 | Y=0590.010-0603.970 | 70
P=6031 | X=0090.100-0105.360 | Y=0604.010-0617.970 | 56
P=6031 | X=0090.100-0105.360 | Y=0618.010-0631.970 | 45
P=6031 | X=0090.100-0105.360 | Y=0632.010-0645.970 | 44
P=6031 | X=0090.100-0105.360 | Y=0660.010-0673.970 | 72
P=6031 | X=0090.100-0156.140 | Y=0674.010-0687.970 | Xã Lộc Tấn
P=6031 | X=0090.100-0105.360 | Y=0688.010-0701.970 | 70
P=6031 | X=0090.100-0105.360 | Y=0702.010-0715.970 | 56
