TABLE=070 | AREA=Xã Lộc Thành
--- SEQUENCE=1 | SECTION=non-agricultural | PAGES=3-5 | LINES=108 ---
P=0003 | X=0089.950-0161.050 | Y=0078.600-0089.760 | 69. Xã Lộc Ninh
P=0003 | X=0089.950-0168.830 | Y=0096.350-0107.510 | 70. Xã Lộc Thành
P=0003 | X=0089.950-0165.520 | Y=0114.100-0125.260 | 71. Xã Lộc Hưng
P=0003 | X=0089.950-0157.710 | Y=0131.850-0143.010 | 72. Xã Lộc Tấn
P=0003 | X=0089.950-0168.830 | Y=0149.600-0160.760 | 73. Xã Lộc Thạnh
P=0003 | X=0089.950-0170.500 | Y=0167.350-0178.510 | 74. Xã Lộc Quang
P=0003 | X=0089.950-0161.590 | Y=0185.100-0196.260 | 75. Xã Tân Khai
P=0003 | X=0089.950-0166.620 | Y=0202.850-0214.010 | 76. Xã Tân Hưng
P=0003 | X=0089.950-0166.040 | Y=0220.600-0231.760 | 77. Xã Tân Quan
P=0003 | X=0089.950-0164.940 | Y=0238.350-0249.510 | 78. Xã Minh Đức
P=0003 | X=0089.950-0173.610 | Y=0256.100-0267.260 | 79. Xã Phước Sơn
P=0003 | X=0089.950-0177.150 | Y=0273.850-0285.010 | 80. Xã Nghĩa Trung
P=0003 | X=0089.950-0160.490 | Y=0291.600-0302.760 | 81. Xã Bù Đăng
P=0003 | X=0089.950-0160.360 | Y=0309.350-0320.510 | 82. Xã Thọ Sơn
P=0003 | X=0089.950-0166.100 | Y=0327.100-0338.260 | 83. Xã Đắk Nhau
P=0003 | X=0089.950-0157.130 | Y=0344.850-0356.010 | 84. Xã Bom Bo
P=0003 | X=0089.950-0174.400 | Y=0362.600-0373.760 | 85. Xã Thiện Hưng
P=0003 | X=0089.950-0161.030 | Y=0380.350-0391.510 | 86. Xã Tân Tiến
P=0003 | X=0089.950-0179.860 | Y=0398.100-0409.260 | 87. Xã Hưng Phước
P=0003 | X=0089.950-0150.820 | Y=0415.850-0427.010 | 88. Xã Đắk Ơ
P=0003 | X=0089.950-0168.820 | Y=0433.600-0444.760 | 89. Xã Phú Nghĩa
P=0003 | X=0089.950-0151.600 | Y=0451.350-0462.510 | 90. Xã Đa Kia
P=0003 | X=0089.950-0174.350 | Y=0469.100-0480.260 | 91. Xã Bù Gia Mập
P=0003 | X=0089.950-0168.270 | Y=0486.850-0498.010 | 92. Xã Phú Riềng
P=0003 | X=0089.950-0168.260 | Y=0504.600-0515.760 | 93. Xã Phú Trung
P=0003 | X=0089.950-0159.390 | Y=0522.350-0533.510 | 94. Xã Long Hà
P=0003 | X=0089.950-0162.140 | Y=0540.100-0551.260 | 95. Xã Bình Tân
P=0003 | X=0089.950-0385.360 | Y=0557.850-0569.010 | PHỤ LỤC II: BẢNG GIÁ CÁC LOẠI ĐẤT TẠI CÁC ĐẢO, CÙ LAO
P=0003 | X=0089.950-0369.100 | Y=0575.600-0586.760 | PHỤ LỤC III: BẢNG GIÁ CÁC LOẠI ĐẤT PHI NÔNG NGHIỆP
P=0003 | X=0089.950-0181.530 | Y=0593.350-0604.510 | 1. Phường Biên Hòa
P=0003 | X=0089.950-0183.740 | Y=0611.100-0622.260 | 2. Phường Trấn Biên
P=0003 | X=0089.950-0183.720 | Y=0628.850-0640.010 | 3. Phường Tam Hiệp
P=0003 | X=0089.950-0185.980 | Y=0646.600-0657.760 | 4. Phường Long Bình
P=0003 | X=0089.950-0184.290 | Y=0664.350-0675.510 | 5. Phường Trảng Dài
P=0003 | X=0089.950-0170.960 | Y=0682.100-0693.260 | 6. Phường Hố Nai
P=0003 | X=0089.950-0190.450 | Y=0699.850-0711.010 | 7. Phường Long Hưng
P=0004 | X=0089.950-0183.160 | Y=0078.600-0089.760 | 8. Phường Tân Triều
P=0004 | X=0089.950-0190.870 | Y=0096.350-0107.510 | 9. Phường Phước Tân
P=0004 | X=0089.950-0199.190 | Y=0114.100-0125.260 | 10. Phường Tam Phước
P=0004 | X=0089.950-0174.950 | Y=0131.850-0143.010 | 11. Xã Long Thành
P=0004 | X=0089.950-0157.140 | Y=0149.600-0160.760 | 12. Xã Bình An
P=0004 | X=0089.950-0167.050 | Y=0167.350-0178.510 | 13. Xã An Phước
P=0004 | X=0089.950-0177.070 | Y=0185.100-0196.260 | 14. Xã Long Phước
P=0004 | X=0089.950-0174.270 | Y=0202.850-0214.010 | 15. Xã Phước Thái
P=0004 | X=0089.950-0174.820 | Y=0220.600-0231.760 | 16. Xã Nhơn Trạch
P=0004 | X=0089.950-0169.830 | Y=0238.350-0249.510 | 17. Xã Đại Phước
