TABLE=071 | AREA=Xã Lộc Hưng
--- SEQUENCE=12 | SECTION=agricultural | PAGES=6017-6017 | LINES=39 ---
P=6017 | X=0090.100-0105.360 | Y=0072.010-0085.970 | 45
P=6017 | X=0090.100-0105.360 | Y=0086.010-0099.970 | 30
P=6017 | X=0090.100-0105.360 | Y=0100.010-0113.970 | 18
P=6017 | X=0090.100-0105.360 | Y=0114.010-0127.970 | 18
P=6017 | X=0090.100-0105.360 | Y=0142.010-0155.970 | 71
P=6017 | X=0090.100-0165.690 | Y=0156.010-0169.970 | Xã Lộc Hưng
P=6017 | X=0090.100-0105.360 | Y=0170.010-0183.970 | 45
P=6017 | X=0090.100-0105.360 | Y=0184.010-0197.970 | 30
P=6017 | X=0090.100-0105.360 | Y=0198.010-0211.970 | 18
P=6017 | X=0090.100-0105.360 | Y=0212.010-0225.970 | 18
P=6017 | X=0090.100-0105.360 | Y=0240.010-0253.970 | 72
P=6017 | X=0090.100-0156.140 | Y=0254.010-0267.970 | Xã Lộc Tấn
P=6017 | X=0090.100-0105.360 | Y=0268.010-0281.970 | 45
P=6017 | X=0090.100-0105.360 | Y=0282.010-0295.970 | 30
P=6017 | X=0090.100-0105.360 | Y=0296.010-0309.970 | 18
P=6017 | X=0090.100-0105.360 | Y=0310.010-0323.970 | 18
P=6017 | X=0090.100-0105.360 | Y=0338.010-0351.970 | 73
P=6017 | X=0090.100-0171.330 | Y=0352.010-0365.970 | Xã Lộc Thạnh
P=6017 | X=0090.100-0105.360 | Y=0366.010-0379.970 | 45
P=6017 | X=0090.100-0105.360 | Y=0380.010-0393.970 | 30
P=6017 | X=0090.100-0105.360 | Y=0394.010-0407.970 | 18
P=6017 | X=0090.100-0105.360 | Y=0408.010-0421.970 | 18
P=6017 | X=0090.100-0105.360 | Y=0436.010-0449.970 | 74
P=6017 | X=0090.100-0173.470 | Y=0450.010-0463.970 | Xã Lộc Quang
P=6017 | X=0090.100-0105.360 | Y=0464.010-0477.970 | 45
P=6017 | X=0090.100-0105.360 | Y=0478.010-0491.970 | 30
P=6017 | X=0090.100-0105.360 | Y=0492.010-0505.970 | 18
P=6017 | X=0090.100-0105.360 | Y=0506.010-0519.970 | 18
P=6017 | X=0090.100-0105.360 | Y=0534.010-0547.970 | 75
P=6017 | X=0090.100-0161.650 | Y=0548.010-0561.970 | Xã Tân Khai
P=6017 | X=0090.100-0105.360 | Y=0562.010-0575.970 | 70
P=6017 | X=0090.100-0105.360 | Y=0576.010-0589.970 | 50
P=6017 | X=0090.100-0105.360 | Y=0590.010-0603.970 | 20
P=6017 | X=0090.100-0105.360 | Y=0604.010-0617.970 | 25
P=6017 | X=0090.100-0105.360 | Y=0632.010-0645.970 | 76
P=6017 | X=0090.100-0167.340 | Y=0646.010-0659.970 | Xã Tân Hưng
P=6017 | X=0090.100-0105.360 | Y=0660.010-0673.970 | 40
P=6017 | X=0090.100-0105.360 | Y=0674.010-0687.970 | 30
P=6017 | X=0090.100-0105.360 | Y=0688.010-0701.970 | 15
