TABLE=076 | AREA=Xã Tân Hưng
--- SEQUENCE=4 | SECTION=agricultural | PAGES=1990-1997 | LINES=1149 ---
P=1990 | X=0187.450-0260.660 | Y=0078.850-0090.010 | tờ bản đồ số 72)
P=1990 | X=0279.950-0369.400 | Y=0096.850-0108.010 | Ngã ba Suối Nghiên
P=1990 | X=0187.450-0274.680 | Y=0102.600-0113.760 | Ngã tư (thửa đất số
P=1990 | X=0090.700-0169.720 | Y=0108.350-0119.510 | 17Đường ĐT 756
P=1990 | X=0279.950-0394.760 | Y=0108.350-0119.510 | (đường ĐT 756 và đường
P=1990 | X=0422.250-0438.930 | Y=0108.350-0119.510 | 420
P=1990 | X=0462.400-0479.080 | Y=0108.350-0119.510 | 336
P=1990 | X=0505.700-0522.380 | Y=0108.350-0119.510 | 202
P=1990 | X=0187.450-0277.320 | Y=0114.100-0125.260 | 08, tờ bản đồ số 72)
P=1990 | X=0279.950-0323.270 | Y=0119.850-0131.010 | ĐT 756C)
P=1990 | X=0187.450-0276.900 | Y=0137.850-0149.010 | Ngã ba Suối Nghiên
P=1990 | X=0090.700-0169.720 | Y=0149.350-0160.510 | 18Đường ĐT 756
P=1990 | X=0187.450-0384.290 | Y=0149.350-0160.510 | (đường ĐT 756 và Ranh giới xã Tân Hưng
P=1990 | X=0422.250-0438.930 | Y=0149.350-0160.510 | 420
P=1990 | X=0462.400-0479.080 | Y=0149.350-0160.510 | 336
P=1990 | X=0505.700-0522.380 | Y=0149.350-0160.510 | 202
P=1990 | X=0187.450-0263.460 | Y=0160.850-0172.010 | đường ĐT 756C)
P=1990 | X=0187.450-0274.040 | Y=0178.850-0190.010 | Ngã ba giao đường
P=1990 | X=0090.700-0176.940 | Y=0190.350-0201.510 | 19Đường ĐT 756C
P=1990 | X=0187.450-0383.710 | Y=0190.350-0201.510 | ĐT 756 và đường Ranh giới xã Tân Quan
P=1990 | X=0422.250-0438.930 | Y=0190.350-0201.510 | 420
P=1990 | X=0462.400-0479.080 | Y=0190.350-0201.510 | 336
P=1990 | X=0505.700-0522.380 | Y=0190.350-0201.510 | 202
P=1990 | X=0187.450-0227.440 | Y=0201.850-0213.010 | ĐT 756C
P=1990 | X=0279.950-0399.260 | Y=0219.850-0231.010 | - Phía Tây: Đường bê tông
P=1990 | X=0279.950-0387.610 | Y=0231.350-0242.510 | (thửa đất số 144, tờ bản
P=1990 | X=0279.950-0327.180 | Y=0242.850-0254.010 | đồ số 100)
P=1990 | X=0102.600-0174.740 | Y=0245.850-0257.010 | Đường huyện lộ
P=1990 | X=0090.700-0101.820 | Y=0251.600-0262.760 | 20
P=1990 | X=0187.450-0270.130 | Y=0251.600-0262.760 | Đường Quốc lộ 14
P=1990 | X=0422.250-0438.930 | Y=0251.600-0262.760 | 242
P=1990 | X=0462.400-0479.080 | Y=0251.600-0262.760 | 194
P=1990 | X=0505.700-0522.380 | Y=0251.600-0262.760 | 116
P=1990 | X=0102.600-0130.930 | Y=0257.350-0268.510 | ĐH 13
P=1990 | X=0279.950-0384.280 | Y=0260.350-0271.510 | - Phía Đông: Đường bê
P=1990 | X=0279.950-0384.820 | Y=0271.850-0283.010 | tông (thửa đất số 24, tờ
P=1990 | X=0279.950-0346.630 | Y=0283.350-0294.510 | bản đồ số 100)
P=1990 | X=0187.450-0270.650 | Y=0301.350-0312.510 | - Phía Tây: Đường
P=1990 | X=0187.450-0277.460 | Y=0312.850-0324.010 | bê tông (thửa đất số
P=1990 | X=0187.450-0265.660 | Y=0324.350-0335.510 | 144, tờ bản đồ số
P=1990 | X=0187.450-0207.460 | Y=0335.850-0347.010 | 100)
P=1990 | X=0102.600-0174.740 | Y=0338.850-0350.010 | Đường huyện lộ
P=1990 | X=0279.950-0393.830 | Y=0338.850-0350.010 | Hết ranh thửa đất số 203,
P=1990 | X=0090.700-0101.820 | Y=0344.600-0355.760 | 21
P=1990 | X=0422.250-0438.930 | Y=0344.600-0355.760 | 242
P=1990 | X=0462.400-0479.080 | Y=0344.600-0355.760 | 194
P=1990 | X=0505.700-0522.380 | Y=0344.600-0355.760 | 116
P=1990 | X=0102.600-0130.930 | Y=0350.350-0361.510 | ĐH 13
P=1990 | X=0187.450-0349.830 | Y=0350.350-0364.510 | - Phía Đông: Đường tờ bản đồ số 65
P=1990 | X=0187.450-0277.460 | Y=0364.850-0376.010 | bê tông (thửa đất số
P=1990 | X=0187.450-0260.100 | Y=0376.350-0387.510 | 24, tờ bản đồ số
P=1990 | X=0187.450-0207.460 | Y=0387.850-0399.010 | 100)
P=1990 | X=0187.450-0270.130 | Y=0405.850-0417.010 | Đường Quốc lộ 14
P=1990 | X=0102.600-0270.770 | Y=0417.350-0428.510 | Đường liên xã Nha (Giáp ranh đất nhà
P=1990 | X=0090.700-0101.820 | Y=0423.100-0434.260 | 22
P=1990 | X=0279.950-0384.380 | Y=0423.100-0434.260 | Giáp ranh xã Tân Quan
P=1990 | X=0422.250-0438.930 | Y=0423.100-0434.260 | 242
P=1990 | X=0462.400-0479.080 | Y=0423.100-0434.260 | 194
P=1990 | X=0505.700-0522.380 | Y=0423.100-0434.260 | 116
