TABLE=077 | AREA=Xã Tân Quan
--- SEQUENCE=7 | SECTION=non-agricultural | PAGES=5203-5279 | LINES=2931 ---
P=5203 | X=0090.100-0124.430 | Y=0072.010-0085.970 | 1.500
P=5203 | X=0090.100-0124.430 | Y=0086.010-0099.970 | 1.100
P=5203 | X=0090.100-0113.000 | Y=0100.010-0113.970 | 900
P=5203 | X=0090.100-0113.000 | Y=0128.010-0141.970 | 103
P=5203 | X=0090.100-0170.690 | Y=0142.010-0155.970 | Đường ĐH 12
P=5203 | X=0090.100-0297.590 | Y=0156.010-0169.970 | Hết ranh thửa 990 tờ bản đồ số 31
P=5203 | X=0090.100-0229.020 | Y=0170.010-0183.970 | Giáp ranh xã Tân Quan
P=5203 | X=0090.100-0124.430 | Y=0184.010-0197.970 | 1.100
P=5203 | X=0090.100-0113.000 | Y=0198.010-0211.970 | 770
P=5203 | X=0090.100-0113.000 | Y=0212.010-0225.970 | 660
P=5203 | X=0090.100-0113.000 | Y=0240.010-0253.970 | 104
P=5203 | X=0090.100-0170.690 | Y=0254.010-0267.970 | Đường ĐH 15
P=5203 | X=0090.100-0197.810 | Y=0268.010-0281.970 | Đường Quốc lộ 13
P=5203 | X=0090.100-0469.680 | Y=0282.010-0295.970 | Đường đi trung tâm hành chính huyện cũ đi phường Minh Hưng
P=5203 | X=0090.100-0124.430 | Y=0296.010-0309.970 | 2.400
P=5203 | X=0090.100-0124.430 | Y=0310.010-0323.970 | 1.700
P=5203 | X=0090.100-0124.430 | Y=0324.010-0337.970 | 1.400
P=5203 | X=0090.100-0113.000 | Y=0352.010-0365.970 | 105
P=5203 | X=0090.100-0170.690 | Y=0366.010-0379.970 | Đường ĐH 15
P=5203 | X=0090.100-0469.680 | Y=0380.010-0393.970 | Đường đi trung tâm hành chính huyện cũ đi phường Minh Hưng
P=5203 | X=0090.100-0274.030 | Y=0394.010-0407.970 | Giáp ranh phường Chơn Thành
P=5203 | X=0090.100-0124.430 | Y=0408.010-0421.970 | 1.700
P=5203 | X=0090.100-0124.430 | Y=0422.010-0435.970 | 1.200
P=5203 | X=0090.100-0124.430 | Y=0436.010-0449.970 | 1.000
P=5203 | X=0090.100-0113.000 | Y=0464.010-0477.970 | 106
P=5203 | X=0090.100-0170.690 | Y=0478.010-0491.970 | Đường ĐH 15
P=5203 | X=0090.100-0197.810 | Y=0492.010-0505.970 | Đường Quốc lộ 13
P=5203 | X=0090.100-0321.050 | Y=0506.010-0519.970 | Hết ranh thửa đất 118 tờ bản đồ số 28
P=5203 | X=0090.100-0124.430 | Y=0520.010-0533.970 | 2.400
P=5203 | X=0090.100-0124.430 | Y=0534.010-0547.970 | 1.700
P=5203 | X=0090.100-0124.430 | Y=0548.010-0561.970 | 1.400
P=5203 | X=0090.100-0113.000 | Y=0576.010-0589.970 | 107
P=5203 | X=0090.100-0170.690 | Y=0590.010-0603.970 | Đường ĐH 15
P=5203 | X=0090.100-0321.050 | Y=0604.010-0617.970 | Hết ranh thửa đất 118 tờ bản đồ số 28
P=5203 | X=0090.100-0267.280 | Y=0618.010-0631.970 | Ngã ba tiếp giáp đường số 10
P=5203 | X=0090.100-0124.430 | Y=0632.010-0645.970 | 1.700
P=5203 | X=0090.100-0124.430 | Y=0646.010-0659.970 | 1.200
P=5203 | X=0090.100-0124.430 | Y=0660.010-0673.970 | 1.000
P=5203 | X=0090.100-0113.000 | Y=0688.010-0701.970 | 108
P=5203 | X=0090.100-0494.510 | Y=0702.010-0715.970 | Đường Trung tâm hành chính thị xã Chơn Thành cũ đi phường Minh
P=5204 | X=0090.100-0121.910 | Y=0072.010-0085.970 | Hưng
P=5204 | X=0090.100-0242.620 | Y=0086.010-0099.970 | Ngã ba đường Quốc lộ 13
P=5204 | X=0090.100-0363.470 | Y=0100.010-0113.970 | Ngã tư tiếp giáp đường ĐH03 và Đường số 21
P=5204 | X=0090.100-0132.060 | Y=0114.010-0127.970 | 12.000
P=5204 | X=0090.100-0124.430 | Y=0128.010-0141.970 | 8.400
P=5204 | X=0090.100-0124.430 | Y=0142.010-0155.970 | 7.200
P=5204 | X=0090.100-0113.000 | Y=0170.010-0183.970 | 109
P=5204 | X=0090.100-0494.510 | Y=0184.010-0197.970 | Đường Trung tâm hành chính thị xã Chơn Thành cũ đi phường Minh
P=5204 | X=0090.100-0121.910 | Y=0198.010-0211.970 | Hưng
P=5204 | X=0090.100-0363.470 | Y=0212.010-0225.970 | Ngã tư tiếp giáp đường ĐH03 và Đường số 21
P=5204 | X=0090.100-0516.580 | Y=0226.010-0239.970 | Phía Tây hết ranh thửa đất số 667, Phía Đông hết ranh thửa đất số 320
P=5204 | X=0090.100-0183.670 | Y=0240.010-0253.970 | tờ bản đồ số 31
P=5204 | X=0090.100-0124.430 | Y=0254.010-0267.970 | 6.400
P=5204 | X=0090.100-0124.430 | Y=0268.010-0281.970 | 4.500
P=5204 | X=0090.100-0124.430 | Y=0282.010-0295.970 | 3.800
P=5204 | X=0090.100-0113.000 | Y=0310.010-0323.970 | 110
P=5204 | X=0090.100-0494.510 | Y=0324.010-0337.970 | Đường Trung tâm hành chính thị xã Chơn Thành cũ đi phường Minh
P=5204 | X=0090.100-0121.910 | Y=0338.010-0351.970 | Hưng
P=5204 | X=0090.100-0516.580 | Y=0352.010-0365.970 | Phía Tây hết ranh thửa đất số 667, Phía Đông hết ranh thửa đất số 320
P=5204 | X=0090.100-0183.670 | Y=0366.010-0379.970 | tờ bản đồ số 31
P=5204 | X=0090.100-0271.450 | Y=0380.010-0393.970 | Ranh giới phường Chơn Thành
P=5204 | X=0090.100-0124.430 | Y=0394.010-0407.970 | 6.400
P=5204 | X=0090.100-0124.430 | Y=0408.010-0421.970 | 4.500
P=5204 | X=0090.100-0124.430 | Y=0422.010-0435.970 | 3.800
P=5204 | X=0090.100-0113.000 | Y=0450.010-0463.970 | 111
P=5204 | X=0090.100-0149.930 | Y=0464.010-0477.970 | Đường N1
P=5204 | X=0090.100-0197.810 | Y=0478.010-0491.970 | Đường Quốc lộ 13
P=5204 | X=0090.100-0197.330 | Y=0492.010-0505.970 | Giáp Đường số 19
P=5204 | X=0090.100-0124.430 | Y=0506.010-0519.970 | 1.500
P=5204 | X=0090.100-0124.430 | Y=0520.010-0533.970 | 1.100
P=5204 | X=0090.100-0113.000 | Y=0534.010-0547.970 | 900
P=5204 | X=0090.100-0113.000 | Y=0562.010-0575.970 | 112
P=5204 | X=0090.100-0149.930 | Y=0576.010-0589.970 | Đường N1
P=5204 | X=0090.100-0197.330 | Y=0590.010-0603.970 | Giáp Đường số 19
P=5204 | X=0090.100-0149.370 | Y=0604.010-0617.970 | Hết tuyến
P=5204 | X=0090.100-0124.430 | Y=0618.010-0631.970 | 1.200
P=5204 | X=0090.100-0113.000 | Y=0632.010-0645.970 | 840
P=5204 | X=0090.100-0113.000 | Y=0646.010-0659.970 | 720
P=5204 | X=0090.100-0113.000 | Y=0674.010-0687.970 | 113
P=5204 | X=0090.100-0158.330 | Y=0688.010-0701.970 | Đường số 1
P=5204 | X=0090.100-0158.330 | Y=0702.010-0715.970 | Đường số 6
P=5205 | X=0090.100-0148.980 | Y=0072.010-0085.970 | Suối Lạnh
P=5205 | X=0090.100-0124.430 | Y=0086.010-0099.970 | 1.200
P=5205 | X=0090.100-0113.000 | Y=0100.010-0113.970 | 870
P=5205 | X=0090.100-0113.000 | Y=0114.010-0127.970 | 740
P=5205 | X=0090.100-0113.000 | Y=0142.010-0155.970 | 114
P=5205 | X=0090.100-0158.330 | Y=0156.010-0169.970 | Đường số 2
P=5205 | X=0090.100-0158.330 | Y=0170.010-0183.970 | Đường số 6
P=5205 | X=0090.100-0257.860 | Y=0184.010-0197.970 | Đường Minh Hưng- Đồng Nơ
P=5205 | X=0090.100-0124.430 | Y=0198.010-0211.970 | 1.200
P=5205 | X=0090.100-0113.000 | Y=0212.010-0225.970 | 870
P=5205 | X=0090.100-0113.000 | Y=0226.010-0239.970 | 740
P=5205 | X=0090.100-0113.000 | Y=0254.010-0267.970 | 115
P=5205 | X=0090.100-0158.330 | Y=0268.010-0281.970 | Đường số 3
P=5205 | X=0090.100-0158.330 | Y=0282.010-0295.970 | Đường số 6
P=5205 | X=0090.100-0148.980 | Y=0296.010-0309.970 | Suối Lạnh
P=5205 | X=0090.100-0124.430 | Y=0310.010-0323.970 | 1.200
P=5205 | X=0090.100-0113.000 | Y=0324.010-0337.970 | 870
P=5205 | X=0090.100-0113.000 | Y=0338.010-0351.970 | 740
P=5205 | X=0090.100-0113.000 | Y=0366.010-0379.970 | 116
P=5205 | X=0090.100-0158.330 | Y=0380.010-0393.970 | Đường số 4
P=5205 | X=0090.100-0170.690 | Y=0394.010-0407.970 | Đường ĐH 04
P=5205 | X=0090.100-0148.980 | Y=0408.010-0421.970 | Suối Lạnh
P=5205 | X=0090.100-0124.430 | Y=0422.010-0435.970 | 1.200
P=5205 | X=0090.100-0113.000 | Y=0436.010-0449.970 | 870
P=5205 | X=0090.100-0113.000 | Y=0450.010-0463.970 | 740
P=5205 | X=0090.100-0113.000 | Y=0478.010-0491.970 | 117
P=5205 | X=0090.100-0158.330 | Y=0492.010-0505.970 | Đường số 5
P=5205 | X=0090.100-0158.330 | Y=0506.010-0519.970 | Đường số 4
P=5205 | X=0090.100-0149.370 | Y=0520.010-0533.970 | Hết tuyến
P=5205 | X=0090.100-0124.430 | Y=0534.010-0547.970 | 1.200
P=5205 | X=0090.100-0113.000 | Y=0548.010-0561.970 | 870
P=5205 | X=0090.100-0113.000 | Y=0562.010-0575.970 | 740
P=5205 | X=0090.100-0113.000 | Y=0590.010-0603.970 | 118
P=5205 | X=0090.100-0158.330 | Y=0604.010-0617.970 | Đường số 6
P=5205 | X=0090.100-0165.960 | Y=0618.010-0631.970 | Đường số 32
P=5205 | X=0090.100-0220.580 | Y=0632.010-0645.970 | Ranh giới xã Tân Khai
P=5205 | X=0090.100-0113.000 | Y=0646.010-0659.970 | 980
P=5205 | X=0090.100-0113.000 | Y=0660.010-0673.970 | 680
P=5205 | X=0090.100-0113.000 | Y=0674.010-0687.970 | 590
P=5205 | X=0090.100-0113.000 | Y=0702.010-0715.970 | 119
P=5206 | X=0090.100-0158.330 | Y=0072.010-0085.970 | Đường số 7
P=5206 | X=0090.100-0170.690 | Y=0086.010-0099.970 | Đường ĐH 04
P=5206 | X=0090.100-0158.330 | Y=0100.010-0113.970 | Đường số 5
P=5206 | X=0090.100-0124.430 | Y=0114.010-0127.970 | 1.200
P=5206 | X=0090.100-0113.000 | Y=0128.010-0141.970 | 870
P=5206 | X=0090.100-0113.000 | Y=0142.010-0155.970 | 740
P=5206 | X=0090.100-0113.000 | Y=0170.010-0183.970 | 120
P=5206 | X=0090.100-0158.330 | Y=0184.010-0197.970 | Đường số 8
P=5206 | X=0090.100-0170.690 | Y=0198.010-0211.970 | Đường ĐH 04
P=5206 | X=0090.100-0385.830 | Y=0212.010-0225.970 | Ranh giới xã Minh Thạnh, Thành phố Hồ Chí Minh
P=5206 | X=0090.100-0124.430 | Y=0226.010-0239.970 | 1.200
P=5206 | X=0090.100-0113.000 | Y=0240.010-0253.970 | 870
P=5206 | X=0090.100-0113.000 | Y=0254.010-0267.970 | 740
P=5206 | X=0090.100-0113.000 | Y=0282.010-0295.970 | 121
P=5206 | X=0090.100-0158.330 | Y=0296.010-0309.970 | Đường số 9
P=5206 | X=0090.100-0170.690 | Y=0310.010-0323.970 | Đường ĐH 04
P=5206 | X=0090.100-0385.830 | Y=0324.010-0337.970 | Ranh giới xã Minh Thạnh, Thành phố Hồ Chí Minh
P=5206 | X=0090.100-0124.430 | Y=0338.010-0351.970 | 1.200
P=5206 | X=0090.100-0113.000 | Y=0352.010-0365.970 | 870
P=5206 | X=0090.100-0113.000 | Y=0366.010-0379.970 | 740
P=5206 | X=0090.100-0113.000 | Y=0394.010-0407.970 | 122
P=5206 | X=0090.100-0165.960 | Y=0408.010-0421.970 | Đường số 10
P=5206 | X=0090.100-0157.870 | Y=0422.010-0435.970 | Toàn tuyến
P=5206 | X=0090.100-0124.430 | Y=0450.010-0463.970 | 1.100
P=5206 | X=0090.100-0113.000 | Y=0464.010-0477.970 | 770
P=5206 | X=0090.100-0113.000 | Y=0478.010-0491.970 | 660
P=5206 | X=0090.100-0113.000 | Y=0506.010-0519.970 | 123
P=5206 | X=0090.100-0165.960 | Y=0520.010-0533.970 | Đường số 11
P=5206 | X=0090.100-0157.870 | Y=0534.010-0547.970 | Toàn tuyến
P=5206 | X=0090.100-0124.430 | Y=0562.010-0575.970 | 1.200
P=5206 | X=0090.100-0113.000 | Y=0576.010-0589.970 | 870
P=5206 | X=0090.100-0113.000 | Y=0590.010-0603.970 | 740
P=5206 | X=0090.100-0113.000 | Y=0618.010-0631.970 | 124
P=5206 | X=0090.100-0165.960 | Y=0632.010-0645.970 | Đường số 12
P=5206 | X=0090.100-0157.870 | Y=0646.010-0659.970 | Toàn tuyến
P=5206 | X=0090.100-0124.430 | Y=0674.010-0687.970 | 1.200
P=5206 | X=0090.100-0113.000 | Y=0688.010-0701.970 | 870
P=5206 | X=0090.100-0113.000 | Y=0702.010-0715.970 | 740
P=5207 | X=0090.100-0113.000 | Y=0086.010-0099.970 | 125
P=5207 | X=0090.100-0165.960 | Y=0100.010-0113.970 | Đường số 13
P=5207 | X=0090.100-0158.330 | Y=0114.010-0127.970 | Đường số 2
P=5207 | X=0090.100-0149.370 | Y=0128.010-0141.970 | Hết tuyến
P=5207 | X=0090.100-0124.430 | Y=0142.010-0155.970 | 1.200
P=5207 | X=0090.100-0113.000 | Y=0156.010-0169.970 | 870
P=5207 | X=0090.100-0113.000 | Y=0170.010-0183.970 | 740
P=5207 | X=0090.100-0113.000 | Y=0198.010-0211.970 | 126
P=5207 | X=0090.100-0165.960 | Y=0212.010-0225.970 | Đường số 14
P=5207 | X=0090.100-0158.330 | Y=0226.010-0239.970 | Đường số 1
P=5207 | X=0090.100-0220.580 | Y=0240.010-0253.970 | Ranh giới xã Tân Khai
P=5207 | X=0090.100-0124.430 | Y=0254.010-0267.970 | 1.200
P=5207 | X=0090.100-0113.000 | Y=0268.010-0281.970 | 870
P=5207 | X=0090.100-0113.000 | Y=0282.010-0295.970 | 740
P=5207 | X=0090.100-0113.000 | Y=0310.010-0323.970 | 127
P=5207 | X=0090.100-0165.960 | Y=0324.010-0337.970 | Đường số 15
P=5207 | X=0090.100-0170.690 | Y=0338.010-0351.970 | Đường ĐH 15
P=5207 | X=0090.100-0149.370 | Y=0352.010-0365.970 | Hết tuyến
P=5207 | X=0090.100-0124.430 | Y=0366.010-0379.970 | 1.200
