TABLE=078 | AREA=Xã Minh Đức
--- SEQUENCE=4 | SECTION=agricultural | PAGES=1998-2009 | LINES=1904 ---
P=1998 | X=0317.050-0406.380 | Y=0078.850-0090.010 | Đường HCT 3 (ranh
P=1998 | X=0091.500-0178.630 | Y=0084.600-0095.760 | 124 Đường HCT 22
P=1998 | X=0227.350-0290.570 | Y=0084.600-0095.760 | Đường HCT 1
P=1998 | X=0430.000-0446.680 | Y=0084.600-0095.760 | 280
P=1998 | X=0467.950-0484.630 | Y=0084.600-0095.760 | 224
P=1998 | X=0505.700-0522.380 | Y=0084.600-0095.760 | 157
P=1998 | X=0317.050-0377.050 | Y=0090.350-0101.510 | xã Minh Đức)
P=1998 | X=0091.500-0178.630 | Y=0108.350-0119.510 | 125 Đường HCT 23
P=1998 | X=0227.350-0296.130 | Y=0108.350-0119.510 | Đường HCT 21
P=1998 | X=0317.050-0385.830 | Y=0108.350-0119.510 | Đường HCT 25
P=1998 | X=0430.000-0446.680 | Y=0108.350-0119.510 | 280
P=1998 | X=0467.950-0484.630 | Y=0108.350-0119.510 | 224
P=1998 | X=0505.700-0522.380 | Y=0108.350-0119.510 | 157
P=1998 | X=0091.500-0178.630 | Y=0126.350-0137.510 | 126 Đường HCT 24
P=1998 | X=0227.350-0296.130 | Y=0126.350-0137.510 | Đường HCT 21
P=1998 | X=0317.050-0380.270 | Y=0126.350-0137.510 | Đường HCT 4
P=1998 | X=0430.000-0446.680 | Y=0126.350-0137.510 | 280
P=1998 | X=0467.950-0484.630 | Y=0126.350-0137.510 | 224
P=1998 | X=0505.700-0522.380 | Y=0126.350-0137.510 | 157
P=1998 | X=0227.350-0302.830 | Y=0144.350-0155.510 | Kênh hậu đường
P=1998 | X=0091.500-0178.630 | Y=0155.850-0167.010 | 127 Đường HCT 25
P=1998 | X=0227.350-0303.990 | Y=0155.850-0167.010 | Cao Bá Quát (Hồ
P=1998 | X=0317.050-0370.300 | Y=0155.850-0167.010 | Cuối đường
P=1998 | X=0430.000-0446.680 | Y=0155.850-0167.010 | 280
P=1998 | X=0467.950-0484.630 | Y=0155.850-0167.010 | 224
P=1998 | X=0505.700-0522.380 | Y=0155.850-0167.010 | 157
P=1998 | X=0227.350-0261.220 | Y=0167.350-0178.510 | Sa Cát)
P=1998 | X=0091.500-0178.630 | Y=0185.350-0196.510 | 128 Đường HCT 26
P=1998 | X=0227.350-0261.780 | Y=0185.350-0196.510 | HCT 23
P=1998 | X=0317.050-0351.480 | Y=0185.350-0196.510 | HCT 27
P=1998 | X=0430.000-0446.680 | Y=0185.350-0196.510 | 280
P=1998 | X=0467.950-0484.630 | Y=0185.350-0196.510 | 224
P=1998 | X=0505.700-0522.380 | Y=0185.350-0196.510 | 157
P=1998 | X=0227.350-0316.710 | Y=0203.350-0214.510 | Đường Nguyễn Văn
P=1998 | X=0091.500-0178.630 | Y=0209.100-0220.260 | 129 Đường HCT 27
