TABLE=079 | AREA=Xã Phước Sơn
--- SEQUENCE=3 | SECTION=agricultural | PAGES=1753-1814 | LINES=4051 ---
P=1753 | X=0114.950-0405.700 | Y=0078.600-0089.760 | Nguyễn Bá Học) đến Ranh giới xã Phước Sơn (bên phải hết ranh
P=1753 | X=0114.950-0401.960 | Y=0090.100-0101.260 | thửa đất số 7, tờ BĐ số 40, BĐ ĐC xã Đắk Lua. Bên trái hết ranh
P=1753 | X=0114.950-0402.520 | Y=0101.600-0112.760 | thửa đất số 14, tờ BĐ số 40, BĐ ĐC xã Đắk Lua) có hiện trạng là
P=1753 | X=0114.950-0250.430 | Y=0113.100-0124.260 | đường nhựa, bê tông xi măng:
P=1753 | X=0114.950-0400.290 | Y=0130.600-0141.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1753 | X=0114.950-0338.140 | Y=0148.100-0159.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1753 | X=0114.950-0399.860 | Y=0165.850-0177.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1753 | X=0114.950-0373.990 | Y=0177.350-0188.510 | Đường ấp 7 Đabongkua đoạn từ Ranh giới xã Phước Sơn
P=1753 | X=0114.950-0402.800 | Y=0188.850-0200.010 | (Trường Tiểu học Nguyễn Bá Học) đến Ranh giới xã Phước Sơn
P=1753 | X=0114.950-0386.980 | Y=0200.350-0211.510 | (bên phải hết ranh thửa đất số 7, tờ BĐ số 40, BĐ ĐC xã Đắk
P=1753 | X=0099.700-0386.970 | Y=0211.850-0223.260 | 5 Lua. Bên trái hết ranh thửa đất số 14, tờ BĐ số 40, BĐ ĐC xã
P=1753 | X=0453.050-0464.170 | Y=0212.100-0223.260 | 60
P=1753 | X=0505.300-0521.980 | Y=0212.100-0223.260 | 140
P=1753 | X=0114.950-0364.830 | Y=0223.350-0234.510 | Đắk Lua) có hiện trạng là đường nhựa, bê tông xi măng:
P=1753 | X=0114.950-0345.780 | Y=0240.850-0252.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1753 | X=0114.950-0391.610 | Y=0258.350-0269.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1753 | X=0114.950-0399.860 | Y=0276.100-0287.260 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1753 | X=0114.950-0373.990 | Y=0287.600-0298.760 | Đường ấp 7 Đabongkua đoạn từ Ranh giới xã Phước Sơn
P=1753 | X=0114.950-0402.800 | Y=0299.100-0310.260 | (Trường Tiểu học Nguyễn Bá Học) đến Ranh giới xã Phước Sơn
P=1753 | X=0114.950-0386.980 | Y=0310.600-0321.760 | (bên phải hết ranh thửa đất số 7, tờ BĐ số 40, BĐ ĐC xã Đắk
P=1753 | X=0114.950-0386.970 | Y=0322.100-0333.260 | Lua. Bên trái hết ranh thửa đất số 14, tờ BĐ số 40, BĐ ĐC xã
P=1753 | X=0099.700-0364.830 | Y=0333.600-0348.010 | 6 Đắk Lua) có hiện trạng là đường nhựa, bê tông xi măng:
P=1753 | X=0453.050-0464.170 | Y=0336.850-0348.010 | 45
P=1753 | X=0510.900-0522.020 | Y=0336.850-0348.010 | 45
P=1753 | X=0114.950-0346.130 | Y=0351.100-0362.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1753 | X=0114.950-0401.420 | Y=0368.600-0379.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1753 | X=0114.950-0175.990 | Y=0380.100-0391.260 | đến ≤1.000m.
P=1753 | X=0114.950-0337.800 | Y=0397.600-0408.760 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1753 | X=0114.950-0399.860 | Y=0415.350-0426.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1753 | X=0114.950-0373.990 | Y=0426.850-0438.010 | Đường ấp 7 Đabongkua đoạn từ Ranh giới xã Phước Sơn
P=1753 | X=0114.950-0402.800 | Y=0438.350-0449.510 | (Trường Tiểu học Nguyễn Bá Học) đến Ranh giới xã Phước Sơn
P=1753 | X=0114.950-0386.980 | Y=0449.850-0461.010 | (bên phải hết ranh thửa đất số 7, tờ BĐ số 40, BĐ ĐC xã Đắk
P=1753 | X=0099.700-0386.970 | Y=0461.350-0472.760 | 7 Lua. Bên trái hết ranh thửa đất số 14, tờ BĐ số 40, BĐ ĐC xã
P=1753 | X=0453.050-0464.170 | Y=0461.600-0472.760 | 30
P=1753 | X=0510.900-0522.020 | Y=0461.600-0472.760 | 30
P=1753 | X=0114.950-0364.830 | Y=0472.850-0484.010 | Đắk Lua) có hiện trạng là đường nhựa, bê tông xi măng:
P=1753 | X=0114.950-0400.290 | Y=0490.350-0501.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1753 | X=0114.950-0338.140 | Y=0507.850-0519.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1753 | X=0228.350-0311.160 | Y=0525.600-0536.760 | Đoạn từ phần giáp
P=1753 | X=0099.700-0186.530 | Y=0537.100-0548.260 | 8 Đường Đắc Lua
P=1753 | X=0228.350-0290.570 | Y=0537.100-0548.260 | ranh tỉnh Bình
P=1753 | X=0316.800-0372.910 | Y=0537.100-0548.260 | Cua Đá ấp 2
P=1753 | X=0447.450-0464.130 | Y=0537.100-0548.260 | 130
P=1753 | X=0505.300-0521.980 | Y=0537.100-0548.260 | 120
P=1753 | X=0228.350-0258.810 | Y=0548.600-0559.760 | Phước
P=1753 | X=0114.950-0403.090 | Y=0566.350-0577.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đắc Lua
P=1753 | X=0114.950-0403.210 | Y=0577.850-0589.010 | đoạn từ Đoạn từ phần giáp ranh tỉnh Bình Phước đến Cua Đá ấp
P=1753 | X=0114.950-0329.850 | Y=0589.350-0600.510 | 2 có hiện trạng là đường nhựa, bê tông xi măng:
P=1753 | X=0099.700-0105.260 | Y=0595.350-0606.510 | 9
P=1753 | X=0453.050-0464.170 | Y=0595.350-0606.510 | 80
P=1753 | X=0510.900-0522.020 | Y=0595.350-0606.510 | 80
P=1753 | X=0114.950-0345.780 | Y=0606.850-0618.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
