TABLE=080 | AREA=Xã Nghĩa Trung
--- SEQUENCE=1 | SECTION=agricultural | PAGES=6-19 | LINES=883 ---
P=0006 | X=0089.950-0177.150 | Y=0078.600-0089.760 | 80. Xã Nghĩa Trung
P=0006 | X=0089.950-0160.490 | Y=0096.350-0107.510 | 81. Xã Bù Đăng
P=0006 | X=0089.950-0160.360 | Y=0114.100-0125.260 | 82. Xã Thọ Sơn
P=0006 | X=0089.950-0166.050 | Y=0131.850-0143.010 | 83. Xã Đắk Nhau
P=0006 | X=0089.950-0157.130 | Y=0149.600-0160.760 | 84. Xã Bom Bo
P=0006 | X=0089.950-0174.400 | Y=0167.350-0178.510 | 85. Xã Thiện Hưng
P=0006 | X=0089.950-0161.030 | Y=0185.100-0196.260 | 86. Xã Tân Tiến
P=0006 | X=0089.950-0179.860 | Y=0202.850-0214.010 | 87. Xã Hưng Phước
P=0006 | X=0089.950-0150.790 | Y=0220.600-0231.760 | 88. Xã Đắk Ơ
P=0006 | X=0089.950-0168.820 | Y=0238.350-0249.510 | 89. Xã Phú Nghĩa
P=0006 | X=0089.950-0151.600 | Y=0256.100-0267.260 | 90. Xã Đa Kia
P=0006 | X=0089.950-0174.350 | Y=0273.850-0285.010 | 91. Xã Bù Gia Mập
P=0006 | X=0089.950-0168.270 | Y=0291.600-0302.760 | 92. Xã Phú Riềng
P=0006 | X=0089.950-0168.260 | Y=0309.350-0320.510 | 93. Xã Phú Trung
P=0006 | X=0089.950-0159.390 | Y=0327.100-0338.260 | 94. Xã Long Hà
P=0006 | X=0089.950-0162.140 | Y=0344.850-0356.010 | 95. Xã Bình Tân
P=0006 | X=0089.950-0450.880 | Y=0362.600-0373.760 | PHỤ LỤC IV: BẢNG GIÁ ĐẤT CÁC KHU CÔNG NGHIỆP, CỤM CÔNG NGHIỆP
P=0006 | X=0089.950-0440.340 | Y=0380.350-0391.510 | PHỤ LỤC V: BẢNG GIÁ ĐẤT TRONG KHU CÔNG NGHỆ CAO CÔNG NGHỆ
P=0006 | X=0089.950-0191.580 | Y=0391.850-0403.010 | SINH HỌC ĐỒNG NAI
P=0006 | X=0089.950-0339.360 | Y=0409.600-0420.760 | PHỤ LỤC VI: BẢNG GIÁ ĐẤT CÁC KHU TÁI ĐỊNH CƯ
P=0006 | X=0089.950-0357.140 | Y=0427.350-0438.510 | PHỤ LỤC VII: CÁC TUYẾN ĐƯỜNG GIAO THÔNG CHÍNH
