TABLE=084 | AREA=Xã Bom Bo
--- SEQUENCE=12 | SECTION=agricultural | PAGES=6019-6019 | LINES=39 ---
P=6019 | X=0090.100-0105.360 | Y=0072.010-0085.970 | 32
P=6019 | X=0090.100-0105.360 | Y=0086.010-0099.970 | 13
P=6019 | X=0090.100-0105.360 | Y=0100.010-0113.970 | 10
P=6019 | X=0090.100-0105.360 | Y=0128.010-0141.970 | 84
P=6019 | X=0090.100-0156.080 | Y=0142.010-0155.970 | Xã Bom Bo
P=6019 | X=0090.100-0105.360 | Y=0156.010-0169.970 | 48
P=6019 | X=0090.100-0105.360 | Y=0170.010-0183.970 | 34
P=6019 | X=0090.100-0105.360 | Y=0184.010-0197.970 | 15
P=6019 | X=0090.100-0105.360 | Y=0198.010-0211.970 | 13
P=6019 | X=0090.100-0105.360 | Y=0226.010-0239.970 | 85
P=6019 | X=0090.100-0178.300 | Y=0240.010-0253.970 | Xã Thiện Hưng
P=6019 | X=0090.100-0105.360 | Y=0254.010-0267.970 | 40
P=6019 | X=0090.100-0105.360 | Y=0268.010-0281.970 | 30
P=6019 | X=0090.100-0105.360 | Y=0282.010-0295.970 | 13
P=6019 | X=0090.100-0105.360 | Y=0296.010-0309.970 | 20
P=6019 | X=0090.100-0105.360 | Y=0324.010-0337.970 | 86
P=6019 | X=0090.100-0161.150 | Y=0338.010-0351.970 | Xã Tân Tiến
P=6019 | X=0090.100-0105.360 | Y=0352.010-0365.970 | 40
P=6019 | X=0090.100-0105.360 | Y=0366.010-0379.970 | 30
P=6019 | X=0090.100-0105.360 | Y=0380.010-0393.970 | 13
P=6019 | X=0090.100-0105.360 | Y=0394.010-0407.970 | 18
P=6019 | X=0090.100-0105.360 | Y=0422.010-0435.970 | 87
P=6019 | X=0090.100-0181.430 | Y=0436.010-0449.970 | Xã Hưng Phước
P=6019 | X=0090.100-0105.360 | Y=0450.010-0463.970 | 40
P=6019 | X=0090.100-0105.360 | Y=0464.010-0477.970 | 30
P=6019 | X=0090.100-0105.360 | Y=0478.010-0491.970 | 13
P=6019 | X=0090.100-0105.360 | Y=0492.010-0505.970 | 20
P=6019 | X=0090.100-0105.360 | Y=0520.010-0533.970 | 88
P=6019 | X=0090.100-0147.810 | Y=0534.010-0547.970 | Xã Đắk Ơ
P=6019 | X=0090.100-0105.360 | Y=0548.010-0561.970 | 45
P=6019 | X=0090.100-0105.360 | Y=0562.010-0575.970 | 32
P=6019 | X=0090.100-0105.360 | Y=0576.010-0589.970 | 20
P=6019 | X=0090.100-0105.360 | Y=0590.010-0603.970 | 20
P=6019 | X=0090.100-0105.360 | Y=0618.010-0631.970 | 89
P=6019 | X=0090.100-0170.550 | Y=0632.010-0645.970 | Xã Phú Nghĩa
P=6019 | X=0090.100-0105.360 | Y=0646.010-0659.970 | 45
P=6019 | X=0090.100-0105.360 | Y=0660.010-0673.970 | 32
P=6019 | X=0090.100-0105.360 | Y=0674.010-0687.970 | 20
P=6019 | X=0090.100-0105.360 | Y=0688.010-0701.970 | 20
