TABLE=085 | AREA=Xã Thiện Hưng
--- SEQUENCE=9 | SECTION=non-agricultural | PAGES=5740-5745 | LINES=170 ---
P=5740 | X=0090.100-0171.330 | Y=0072.010-0085.970 | Xã Lộc Thạnh
P=5740 | X=0090.100-0113.000 | Y=0086.010-0099.970 | 500
P=5740 | X=0090.100-0105.360 | Y=0114.010-0127.970 | 54
P=5740 | X=0090.100-0158.930 | Y=0128.010-0141.970 | Thiện Hưng
P=5740 | X=0090.100-0178.300 | Y=0142.010-0155.970 | Xã Thiện Hưng
P=5740 | X=0090.100-0113.000 | Y=0156.010-0169.970 | 500
P=5740 | X=0090.100-0105.360 | Y=0184.010-0197.970 | 55
P=5740 | X=0090.100-0163.470 | Y=0198.010-0211.970 | Phước Thiện
P=5740 | X=0090.100-0181.430 | Y=0212.010-0225.970 | Xã Hưng Phước
P=5740 | X=0090.100-0113.000 | Y=0226.010-0239.970 | 500
P=5740 | X=0090.100-0105.360 | Y=0254.010-0267.970 | 56
P=5740 | X=0090.100-0184.150 | Y=0268.010-0281.970 | Cao su Sông Bé
P=5740 | X=0090.100-0181.430 | Y=0282.010-0295.970 | Xã Hưng Phước
P=5740 | X=0090.100-0113.000 | Y=0296.010-0309.970 | 500
P=5740 | X=0090.100-0105.360 | Y=0324.010-0337.970 | 57
P=5740 | X=0090.100-0162.610 | Y=0338.010-0351.970 | Phú Nghĩa 2
P=5740 | X=0090.100-0170.550 | Y=0352.010-0365.970 | Xã Phú Nghĩa
P=5740 | X=0090.100-0113.000 | Y=0366.010-0379.970 | 500
P=5740 | X=0090.100-0105.360 | Y=0394.010-0407.970 | 58
P=5740 | X=0090.100-0162.610 | Y=0408.010-0421.970 | Phú Nghĩa 3
P=5740 | X=0090.100-0170.550 | Y=0422.010-0435.970 | Xã Phú Nghĩa
P=5740 | X=0090.100-0113.000 | Y=0436.010-0449.970 | 500
P=5740 | X=0090.100-0105.360 | Y=0464.010-0477.970 | 59
P=5740 | X=0090.100-0145.070 | Y=0478.010-0491.970 | Bù Nho 1
P=5740 | X=0090.100-0169.940 | Y=0492.010-0505.970 | Xã Phú Riềng
P=5740 | X=0090.100-0113.000 | Y=0506.010-0519.970 | 580
P=5740 | X=0090.100-0105.360 | Y=0534.010-0547.970 | 60
P=5740 | X=0090.100-0153.790 | Y=0548.010-0561.970 | Thuận Phú
P=5740 | X=0090.100-0168.060 | Y=0562.010-0575.970 | Xã Thuận Lợi
P=5740 | X=0090.100-0113.000 | Y=0576.010-0589.970 | 580
P=5740 | X=0090.100-0105.360 | Y=0604.010-0617.970 | 61
P=5740 | X=0090.100-0142.360 | Y=0618.010-0631.970 | Đức Liễu
P=5740 | X=0090.100-0183.170 | Y=0632.010-0645.970 | Xã Nghĩa Trung
P=5740 | X=0090.100-0113.000 | Y=0646.010-0659.970 | 580
P=5740 | X=0090.100-0105.360 | Y=0674.010-0687.970 | 62
P=5740 | X=0090.100-0166.010 | Y=0688.010-0701.970 | Minh Hưng 1
P=5740 | X=0090.100-0160.940 | Y=0702.010-0715.970 | Xã Bù Đăng
P=5741 | X=0090.100-0113.000 | Y=0072.010-0085.970 | 500
P=5741 | X=0090.100-0105.360 | Y=0100.010-0113.970 | 63
P=5741 | X=0090.100-0166.010 | Y=0114.010-0127.970 | Minh Hưng 2
P=5741 | X=0090.100-0160.940 | Y=0128.010-0141.970 | Xã Bù Đăng
P=5741 | X=0090.100-0113.000 | Y=0142.010-0155.970 | 500
P=5741 | X=0090.100-0145.850 | Y=0184.010-0197.970 | Phụ lục V
P=5741 | X=0090.100-0505.330 | Y=0198.010-0211.970 | BẢNG GIÁ ĐẤT TRONG KHU CÔNG NGHỆ CAO CÔNG NGHỆ SINH HỌC
P=5741 | X=0090.100-0151.610 | Y=0212.010-0225.970 | ĐỒNG NAI
P=5741 | X=0090.100-0420.990 | Y=0226.010-0239.970 | (Ban hành kèm theo Nghị quyết số 28/2025/NQ-HĐND)
P=5741 | X=0090.100-0255.030 | Y=0240.010-0253.970 | Đơn vị tính: 1.000 đồng/m2
P=5741 | X=0090.100-0104.740 | Y=0254.010-0267.970 | TT
P=5741 | X=0090.100-0153.940 | Y=0268.010-0281.970 | Tên đường
P=5741 | X=0090.100-0133.520 | Y=0282.010-0295.970 | Giá đất
P=5741 | X=0090.100-0244.650 | Y=0338.010-0351.970 | Giá đất nông nghiệp khác
P=5741 | X=0090.100-0257.130 | Y=0352.010-0365.970 | Giá đất thương mại, dịch vụ
P=5741 | X=0090.100-0504.830 | Y=0366.010-0379.970 | Giá đất sản xuất, kinh doanh phi nông nghiệp không phải đất thương
P=5741 | X=0090.100-0163.670 | Y=0380.010-0393.970 | mại, dịch vụ
P=5741 | X=0090.100-0097.730 | Y=0408.010-0421.970 | 1
P=5741 | X=0090.100-0149.930 | Y=0422.010-0435.970 | Đường N1
P=5741 | X=0090.100-0113.000 | Y=0436.010-0449.970 | 170
P=5741 | X=0090.100-0124.430 | Y=0450.010-0463.970 | 1.100
P=5741 | X=0090.100-0124.430 | Y=0464.010-0477.970 | 1.000
P=5741 | X=0090.100-0097.730 | Y=0492.010-0505.970 | 2
P=5741 | X=0090.100-0150.190 | Y=0506.010-0519.970 | Đường D1
P=5741 | X=0090.100-0113.000 | Y=0520.010-0533.970 | 180
P=5741 | X=0090.100-0124.430 | Y=0534.010-0547.970 | 1.200
P=5741 | X=0090.100-0124.430 | Y=0548.010-0561.970 | 1.100
P=5741 | X=0090.100-0097.730 | Y=0576.010-0589.970 | 3
P=5741 | X=0090.100-0297.210 | Y=0590.010-0603.970 | Đường N9 (đoạn có lộ giới 42 mét)
P=5741 | X=0090.100-0113.000 | Y=0604.010-0617.970 | 180
P=5741 | X=0090.100-0124.430 | Y=0618.010-0631.970 | 1.200
P=5741 | X=0090.100-0124.430 | Y=0632.010-0645.970 | 1.100
P=5741 | X=0090.100-0097.730 | Y=0660.010-0673.970 | 4
P=5741 | X=0090.100-0297.210 | Y=0674.010-0687.970 | Đường N9 (đoạn có lộ giới 30 mét)
P=5741 | X=0090.100-0113.000 | Y=0688.010-0701.970 | 160
P=5741 | X=0090.100-0113.000 | Y=0702.010-0715.970 | 990
P=5742 | X=0090.100-0113.000 | Y=0072.010-0085.970 | 900
P=5742 | X=0090.100-0097.730 | Y=0100.010-0113.970 | 5
P=5742 | X=0090.100-0235.240 | Y=0114.010-0127.970 | Các tuyến đường còn lại
P=5742 | X=0090.100-0113.000 | Y=0128.010-0141.970 | 160
P=5742 | X=0090.100-0113.000 | Y=0142.010-0155.970 | 990
P=5742 | X=0090.100-0113.000 | Y=0156.010-0169.970 | 900
P=5742 | X=0090.100-0149.380 | Y=0198.010-0211.970 | Phụ lục VI
P=5742 | X=0090.100-0316.400 | Y=0212.010-0225.970 | BẢNG GIÁ ĐẤT CÁC KHU TÁI ĐỊNH CƯ
P=5742 | X=0090.100-0420.990 | Y=0226.010-0239.970 | (Ban hành kèm theo Nghị quyết số 28/2025/NQ-HĐND)
P=5742 | X=0090.100-0255.030 | Y=0240.010-0253.970 | Đơn vị tính: 1.000 đồng/m2
P=5742 | X=0090.100-0104.740 | Y=0254.010-0267.970 | TT
P=5742 | X=0090.100-0205.430 | Y=0268.010-0281.970 | Tên khu tái định cư
P=5742 | X=0090.100-0133.520 | Y=0282.010-0295.970 | Giá đất
P=5742 | X=0090.100-0192.890 | Y=0324.010-0337.970 | Phường Biên Hòa
P=5742 | X=0090.100-0097.730 | Y=0366.010-0379.970 | 1
P=5742 | X=0090.100-0349.410 | Y=0380.010-0393.970 | Khu tái định cư 4,20 ha (phường Tân Hạnh)
P=5742 | X=0090.100-0225.480 | Y=0436.010-0449.970 | Đường Phạm Văn Diêu
P=5742 | X=0090.100-0132.060 | Y=0450.010-0463.970 | 15.200
P=5742 | X=0090.100-0197.070 | Y=0492.010-0505.970 | Các đường còn lại
P=5742 | X=0090.100-0132.060 | Y=0506.010-0519.970 | 10.600
P=5742 | X=0090.100-0097.730 | Y=0534.010-0547.970 | 2
P=5742 | X=0090.100-0340.050 | Y=0548.010-0561.970 | Khu tái định cư 2,10 ha phường Tân Hạnh
P=5742 | X=0090.100-0471.020 | Y=0604.010-0617.970 | Các đường trong Khu tái định cư 2,10 ha phường Tân Hạnh (cũ)
P=5742 | X=0090.100-0132.060 | Y=0618.010-0631.970 | 10.600
P=5742 | X=0090.100-0097.730 | Y=0646.010-0659.970 | 3
P=5742 | X=0090.100-0256.720 | Y=0660.010-0673.970 | Khu dân cư Tân Hạnh 01 ha
P=5743 | X=0090.100-0352.720 | Y=0072.010-0085.970 | Các đường trong Khu dân cư Tân Hạnh 1 ha
P=5743 | X=0090.100-0132.060 | Y=0086.010-0099.970 | 10.600
P=5743 | X=0090.100-0097.730 | Y=0114.010-0127.970 | 4
P=5743 | X=0090.100-0318.890 | Y=0128.010-0141.970 | Khu dân cư 01 ha phường Hóa An (cũ)
P=5743 | X=0090.100-0407.520 | Y=0184.010-0197.970 | Đường Huỳnh Mẫn Đạt (đường vào Mỏ đá BBCC (cũ))
P=5743 | X=0090.100-0132.060 | Y=0198.010-0211.970 | 16.500
P=5743 | X=0090.100-0197.070 | Y=0240.010-0253.970 | Các đường còn lại
P=5743 | X=0090.100-0132.060 | Y=0254.010-0267.970 | 11.600
P=5743 | X=0090.100-0097.730 | Y=0282.010-0295.970 | 5
P=5743 | X=0090.100-0379.610 | Y=0296.010-0309.970 | Khu tái định cư Phước Hữu (phường Bửu Hòa cũ)
P=5743 | X=0090.100-0352.030 | Y=0352.010-0365.970 | Các đường trong Khu tái định cư Phước Hữu
P=5743 | X=0090.100-0132.060 | Y=0366.010-0379.970 | 17.600
P=5743 | X=0090.100-0097.730 | Y=0394.010-0407.970 | 6
P=5743 | X=0090.100-0355.680 | Y=0408.010-0421.970 | Khu Tái định cư phường Bửu Hòa (cũ) 1,8 ha
P=5743 | X=0090.100-0283.870 | Y=0464.010-0477.970 | Các đường trong Khu tái định cư
P=5743 | X=0090.100-0132.060 | Y=0478.010-0491.970 | 17.600
P=5743 | X=0090.100-0196.380 | Y=0520.010-0533.970 | Phường Trấn Biên
P=5743 | X=0090.100-0097.730 | Y=0562.010-0575.970 | 1
P=5743 | X=0090.100-0517.540 | Y=0576.010-0589.970 | Khu dân cư phục vụ tái định cư số 21 (nối khu tái định cư khu F với Khu
P=5743 | X=0090.100-0360.240 | Y=0590.010-0603.970 | dân cư Đình Tân Lại) (phường Bửu Long (cũ))
P=5743 | X=0090.100-0511.460 | Y=0646.010-0659.970 | Đường N4 (từ đường Nguyễn Du đến đường D5 (khu dân cư Bửu Long)
P=5743 | X=0090.100-0132.060 | Y=0660.010-0673.970 | 23.100
P=5743 | X=0090.100-0510.670 | Y=0702.010-0715.970 | Đường Nguyễn Bỉnh Khiêm (từ đường Nguyễn Đình Chiểu đến hết Văn
P=5744 | X=0090.100-0184.750 | Y=0072.010-0085.970 | Miếu Trấn Biên)
P=5744 | X=0090.100-0132.060 | Y=0086.010-0099.970 | 23.100
P=5744 | X=0090.100-0296.290 | Y=0128.010-0141.970 | Đường D2 (phường Bửu Long (cũ))
P=5744 | X=0090.100-0132.060 | Y=0142.010-0155.970 | 23.100
P=5744 | X=0090.100-0303.660 | Y=0184.010-0197.970 | Đường N12 (phường Bửu Long (cũ))
P=5744 | X=0090.100-0132.060 | Y=0198.010-0211.970 | 23.100
P=5744 | X=0090.100-0197.070 | Y=0240.010-0253.970 | Các đường còn lại
P=5744 | X=0090.100-0132.060 | Y=0254.010-0267.970 | 16.200
P=5744 | X=0090.100-0097.730 | Y=0282.010-0295.970 | 2
P=5744 | X=0090.100-0316.980 | Y=0296.010-0309.970 | Khu tái định cư phường Bửu Long (cũ)
P=5744 | X=0090.100-0296.290 | Y=0352.010-0365.970 | Đường D2 (phường Bửu Long (cũ))
P=5744 | X=0090.100-0132.060 | Y=0366.010-0379.970 | 23.100
P=5744 | X=0090.100-0303.660 | Y=0408.010-0421.970 | Đường N12 (phường Bửu Long (cũ))
P=5744 | X=0090.100-0132.060 | Y=0422.010-0435.970 | 23.100
P=5744 | X=0090.100-0197.070 | Y=0464.010-0477.970 | Các đường còn lại
P=5744 | X=0090.100-0132.060 | Y=0478.010-0491.970 | 16.200
P=5744 | X=0090.100-0097.730 | Y=0506.010-0519.970 | 3
P=5744 | X=0090.100-0439.550 | Y=0520.010-0533.970 | Khu dân cư phục vụ tái định cư KP1 phường Bửu Long (cũ)
P=5744 | X=0090.100-0515.820 | Y=0576.010-0589.970 | Các đường trong Khu dân cư phục vụ tái định cư KP1 phường Bửu Long
P=5744 | X=0090.100-0113.640 | Y=0590.010-0603.970 | (cũ)
P=5744 | X=0090.100-0132.060 | Y=0604.010-0617.970 | 16.200
P=5744 | X=0090.100-0097.730 | Y=0632.010-0645.970 | 4
P=5744 | X=0090.100-0506.480 | Y=0646.010-0659.970 | Hạ tầng khu dân cư, thương mại và tái định cư 6,3 ha tại phường Bửu
P=5744 | X=0090.100-0146.660 | Y=0660.010-0673.970 | Long (cũ)
P=5745 | X=0090.100-0436.030 | Y=0072.010-0085.970 | Đường 10 (từ đường Huỳnh Văn Nghệ đến bến đò trạm 1)
P=5745 | X=0090.100-0132.060 | Y=0086.010-0099.970 | 23.100
P=5745 | X=0090.100-0197.070 | Y=0128.010-0141.970 | Các đường còn lại
P=5745 | X=0090.100-0132.060 | Y=0142.010-0155.970 | 16.200
P=5745 | X=0090.100-0097.730 | Y=0170.010-0183.970 | 5
P=5745 | X=0090.100-0358.610 | Y=0184.010-0197.970 | Khu tái định cư 3,2 ha phường Bửu Long (cũ)
P=5745 | X=0090.100-0462.220 | Y=0240.010-0253.970 | Các đường trong Khu tái định cư 3,2 ha phường Bửu Long (cũ)
P=5745 | X=0090.100-0132.060 | Y=0254.010-0267.970 | 16.200
P=5745 | X=0090.100-0097.730 | Y=0282.010-0295.970 | 6
P=5745 | X=0090.100-0316.980 | Y=0296.010-0309.970 | Khu tái định cư phường Bửu Long (cũ)
P=5745 | X=0090.100-0296.290 | Y=0352.010-0365.970 | Đường D2 (phường Bửu Long (cũ))
P=5745 | X=0090.100-0132.060 | Y=0366.010-0379.970 | 23.100
P=5745 | X=0090.100-0303.660 | Y=0408.010-0421.970 | Đường N12 (phường Bửu Long (cũ))
P=5745 | X=0090.100-0132.060 | Y=0422.010-0435.970 | 23.100
P=5745 | X=0090.100-0197.070 | Y=0464.010-0477.970 | Các đường còn lại
P=5745 | X=0090.100-0132.060 | Y=0478.010-0491.970 | 16.200
P=5745 | X=0090.100-0097.730 | Y=0506.010-0519.970 | 7
P=5745 | X=0090.100-0330.650 | Y=0520.010-0533.970 | Khu tái định cư phường Quang Vinh (cũ)
P=5745 | X=0090.100-0361.910 | Y=0576.010-0589.970 | Đường Đông Tây 3 (phường Quang Vinh (cũ))
P=5745 | X=0090.100-0132.060 | Y=0590.010-0603.970 | 21.300
