TABLE=087 | AREA=Xã Hưng Phước
--- SEQUENCE=13 | SECTION=agricultural | PAGES=6034-6034 | LINES=38 ---
P=6034 | X=0090.100-0105.360 | Y=0072.010-0085.970 | 32
P=6034 | X=0090.100-0105.360 | Y=0100.010-0113.970 | 86
P=6034 | X=0090.100-0161.150 | Y=0114.010-0127.970 | Xã Tân Tiến
P=6034 | X=0090.100-0105.360 | Y=0128.010-0141.970 | 50
P=6034 | X=0090.100-0105.360 | Y=0142.010-0155.970 | 40
P=6034 | X=0090.100-0105.360 | Y=0156.010-0169.970 | 32
P=6034 | X=0090.100-0105.360 | Y=0170.010-0183.970 | 32
P=6034 | X=0090.100-0105.360 | Y=0198.010-0211.970 | 87
P=6034 | X=0090.100-0181.430 | Y=0212.010-0225.970 | Xã Hưng Phước
P=6034 | X=0090.100-0105.360 | Y=0226.010-0239.970 | 50
P=6034 | X=0090.100-0105.360 | Y=0240.010-0253.970 | 40
P=6034 | X=0090.100-0105.360 | Y=0254.010-0267.970 | 32
P=6034 | X=0090.100-0105.360 | Y=0268.010-0281.970 | 32
P=6034 | X=0090.100-0105.360 | Y=0296.010-0309.970 | 88
P=6034 | X=0090.100-0147.810 | Y=0310.010-0323.970 | Xã Đắk Ơ
P=6034 | X=0090.100-0105.360 | Y=0324.010-0337.970 | 60
P=6034 | X=0090.100-0105.360 | Y=0338.010-0351.970 | 48
P=6034 | X=0090.100-0105.360 | Y=0352.010-0365.970 | 38
P=6034 | X=0090.100-0105.360 | Y=0366.010-0379.970 | 38
P=6034 | X=0090.100-0105.360 | Y=0394.010-0407.970 | 89
P=6034 | X=0090.100-0170.550 | Y=0408.010-0421.970 | Xã Phú Nghĩa
P=6034 | X=0090.100-0105.360 | Y=0422.010-0435.970 | 60
P=6034 | X=0090.100-0105.360 | Y=0436.010-0449.970 | 48
P=6034 | X=0090.100-0105.360 | Y=0450.010-0463.970 | 38
P=6034 | X=0090.100-0105.360 | Y=0464.010-0477.970 | 38
P=6034 | X=0090.100-0105.360 | Y=0492.010-0505.970 | 90
P=6034 | X=0090.100-0148.430 | Y=0506.010-0519.970 | Xã Đa Kia
P=6034 | X=0090.100-0105.360 | Y=0520.010-0533.970 | 55
P=6034 | X=0090.100-0105.360 | Y=0534.010-0547.970 | 44
P=6034 | X=0090.100-0105.360 | Y=0548.010-0561.970 | 35
P=6034 | X=0090.100-0105.360 | Y=0590.010-0603.970 | 91
P=6034 | X=0090.100-0178.160 | Y=0604.010-0617.970 | Xã Bù Gia Mập
P=6034 | X=0090.100-0105.360 | Y=0618.010-0631.970 | 50
P=6034 | X=0090.100-0105.360 | Y=0632.010-0645.970 | 40
P=6034 | X=0090.100-0105.360 | Y=0646.010-0659.970 | 32
P=6034 | X=0090.100-0105.360 | Y=0660.010-0673.970 | 32
P=6034 | X=0090.100-0105.360 | Y=0688.010-0701.970 | 92
P=6034 | X=0090.100-0169.940 | Y=0702.010-0715.970 | Xã Phú Riềng
