TABLE=091 | AREA=Xã Bù Gia Mập
--- SEQUENCE=12 | SECTION=agricultural | PAGES=6020-6020 | LINES=35 ---
P=6020 | X=0090.100-0105.360 | Y=0072.010-0085.970 | 90
P=6020 | X=0090.100-0148.430 | Y=0086.010-0099.970 | Xã Đa Kia
P=6020 | X=0090.100-0105.360 | Y=0100.010-0113.970 | 40
P=6020 | X=0090.100-0105.360 | Y=0114.010-0127.970 | 30
P=6020 | X=0090.100-0105.360 | Y=0128.010-0141.970 | 20
P=6020 | X=0090.100-0105.360 | Y=0170.010-0183.970 | 91
P=6020 | X=0090.100-0178.160 | Y=0184.010-0197.970 | Xã Bù Gia Mập
P=6020 | X=0090.100-0105.360 | Y=0198.010-0211.970 | 40
P=6020 | X=0090.100-0105.360 | Y=0212.010-0225.970 | 30
P=6020 | X=0090.100-0105.360 | Y=0226.010-0239.970 | 20
P=6020 | X=0090.100-0105.360 | Y=0240.010-0253.970 | 20
P=6020 | X=0090.100-0105.360 | Y=0268.010-0281.970 | 92
P=6020 | X=0090.100-0169.940 | Y=0282.010-0295.970 | Xã Phú Riềng
P=6020 | X=0090.100-0105.360 | Y=0296.010-0309.970 | 48
P=6020 | X=0090.100-0105.360 | Y=0310.010-0323.970 | 34
P=6020 | X=0090.100-0105.360 | Y=0324.010-0337.970 | 15
P=6020 | X=0090.100-0105.360 | Y=0366.010-0379.970 | 93
P=6020 | X=0090.100-0170.750 | Y=0380.010-0393.970 | Xã Phú Trung
P=6020 | X=0090.100-0105.360 | Y=0394.010-0407.970 | 45
P=6020 | X=0090.100-0105.360 | Y=0408.010-0421.970 | 32
P=6020 | X=0090.100-0105.360 | Y=0422.010-0435.970 | 15
P=6020 | X=0090.100-0105.360 | Y=0464.010-0477.970 | 94
P=6020 | X=0090.100-0158.850 | Y=0478.010-0491.970 | Xã Long Hà
P=6020 | X=0090.100-0105.360 | Y=0492.010-0505.970 | 45
P=6020 | X=0090.100-0105.360 | Y=0506.010-0519.970 | 32
P=6020 | X=0090.100-0105.360 | Y=0520.010-0533.970 | 15
P=6020 | X=0090.100-0105.360 | Y=0562.010-0575.970 | 95
P=6020 | X=0090.100-0162.280 | Y=0576.010-0589.970 | Xã Bình Tân
P=6020 | X=0090.100-0105.360 | Y=0590.010-0603.970 | 45
P=6020 | X=0090.100-0105.360 | Y=0604.010-0617.970 | 32
P=6020 | X=0090.100-0105.360 | Y=0618.010-0631.970 | 15
P=6020 | X=0090.100-0265.540 | Y=0660.010-0673.970 | 2. Giá đất nông nghiệp tối đa
P=6020 | X=0090.100-0255.030 | Y=0674.010-0687.970 | Đơn vị tính: 1.000 đồng/m2
P=6020 | X=0090.100-0112.350 | Y=0688.010-0701.970 | STT
P=6020 | X=0090.100-0183.580 | Y=0702.010-0715.970 | Tên xã, phường
