TABLE=093 | AREA=Xã Phú Trung
--- SEQUENCE=13 | SECTION=agricultural | PAGES=6035-6035 | LINES=18 ---
P=6035 | X=0090.100-0105.360 | Y=0072.010-0085.970 | 81
P=6035 | X=0090.100-0105.360 | Y=0086.010-0099.970 | 65
P=6035 | X=0090.100-0105.360 | Y=0100.010-0113.970 | 52
P=6035 | X=0090.100-0105.360 | Y=0142.010-0155.970 | 93
P=6035 | X=0090.100-0170.750 | Y=0156.010-0169.970 | Xã Phú Trung
P=6035 | X=0090.100-0105.360 | Y=0170.010-0183.970 | 77
P=6035 | X=0090.100-0105.360 | Y=0184.010-0197.970 | 62
P=6035 | X=0090.100-0105.360 | Y=0198.010-0211.970 | 49
P=6035 | X=0090.100-0105.360 | Y=0240.010-0253.970 | 94
P=6035 | X=0090.100-0158.850 | Y=0254.010-0267.970 | Xã Long Hà
P=6035 | X=0090.100-0105.360 | Y=0268.010-0281.970 | 77
P=6035 | X=0090.100-0105.360 | Y=0282.010-0295.970 | 62
P=6035 | X=0090.100-0105.360 | Y=0296.010-0309.970 | 49
P=6035 | X=0090.100-0105.360 | Y=0338.010-0351.970 | 95
P=6035 | X=0090.100-0162.280 | Y=0352.010-0365.970 | Xã Bình Tân
P=6035 | X=0090.100-0105.360 | Y=0366.010-0379.970 | 77
P=6035 | X=0090.100-0105.360 | Y=0380.010-0393.970 | 62
P=6035 | X=0090.100-0105.360 | Y=0394.010-0407.970 | 49
